INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2021-03-31T08:00:00-00:00,2021-03-31T09:00:00-00:00,2021-03-31,2,0,Hourly,NR,AS_CAISO,DAM,NS_CLR_PRC,0,1
2021-03-31T08:00:00-00:00,2021-03-31T09:00:00-00:00,2021-03-31,2,0,Hourly,NR,AS_NP26_EXP,DAM,NS_CLR_PRC,0,1
2021-03-31T13:00:00-00:00,2021-03-31T14:00:00-00:00,2021-03-31,7,0,Hourly,NR,AS_SP26,DAM,NS_CLR_PRC,0,1
2021-03-31T14:00:00-00:00,2021-03-31T15:00:00-00:00,2021-03-31,8,0,Hourly,NR,AS_CAISO,DAM,NS_CLR_PRC,0,1
2021-03-31T14:00:00-00:00,2021-03-31T15:00:00-00:00,2021-03-31,8,0,Hourly,NR,AS_SP26_EXP,DAM,NS_CLR_PRC,0,1
2021-03-31T15:00:00-00:00,2021-03-31T16:00:00-00:00,2021-03-31,9,0,Hourly,NR,AS_NP26,DAM,NS_CLR_PRC,0,1
2021-03-31T15:00:00-00:00,2021-03-31T16:00:00-00:00,2021-03-31,9,0,Hourly,NR,AS_SP26,DAM,NS_CLR_PRC,0,1
2021-03-31T16:00:00-00:00,2021-03-31T17:00:00-00:00,2021-03-31,10,0,Hourly,NR,AS_CAISO_EXP,DAM,NS_CLR_PRC,0.15,1
2021-03-31T16:00:00-00:00,2021-03-31T17:00:00-00:00,2021-03-31,10,0,Hourly,NR,AS_NP26_EXP,DAM,NS_CLR_PRC,0,1
2021-03-31T19:00:00-00:00,2021-03-31T20:00:00-00:00,2021-03-31,13,0,Hourly,NR,AS_CAISO,DAM,NS_CLR_PRC,0,1
2021-03-31T20:00:00-00:00,2021-03-31T21:00:00-00:00,2021-03-31,14,0,Hourly,NR,AS_CAISO,DAM,NS_CLR_PRC,0,1
2021-03-31T20:00:00-00:00,2021-03-31T21:00:00-00:00,2021-03-31,14,0,Hourly,NR,AS_SP26,DAM,NS_CLR_PRC,0,1
2021-04-01T02:00:00-00:00,2021-04-01T03:00:00-00:00,2021-03-31,20,0,Hourly,NR,AS_SP26_EXP,DAM,NS_CLR_PRC,0,1
2021-03-31T08:00:00-00:00,2021-03-31T09:00:00-00:00,2021-03-31,2,0,Hourly,NR,AS_SP26,DAM,NS_CLR_PRC,0,1
2021-03-31T12:00:00-00:00,2021-03-31T13:00:00-00:00,2021-03-31,6,0,Hourly,NR,AS_CAISO_EXP,DAM,NS_CLR_PRC,0.15,1
2021-03-31T13:00:00-00:00,2021-03-31T14:00:00-00:00,2021-03-31,7,0,Hourly,NR,AS_SP26_EXP,DAM,NS_CLR_PRC,0,1
2021-03-31T14:00:00-00:00,2021-03-31T15:00:00-00:00,2021-03-31,8,0,Hourly,NR,AS_NP26_EXP,DAM,NS_CLR_PRC,0,1
2021-03-31T18:00:00-00:00,2021-03-31T19:00:00-00:00,2021-03-31,12,0,Hourly,NR,AS_CAISO,DAM,NS_CLR_PRC,0,1
2021-03-31T20:00:00-00:00,2021-03-31T21:00:00-00:00,2021-03-31,14,0,Hourly,NR,AS_NP26,DAM,NS_CLR_PRC,0,1
