INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2024-08-23T14:00:00-00:00,2024-08-23T15:00:00-00:00,2024-08-23,8,0,Hourly,RD,AS_SP26_EXP,DAM,RD_CLR_PRC,1.46,1
2024-08-23T17:00:00-00:00,2024-08-23T18:00:00-00:00,2024-08-23,11,0,Hourly,RD,AS_NP26_EXP,DAM,RD_CLR_PRC,1.03901,1
2024-08-23T18:00:00-00:00,2024-08-23T19:00:00-00:00,2024-08-23,12,0,Hourly,RD,AS_CAISO,DAM,RD_CLR_PRC,0,1
2024-08-23T19:00:00-00:00,2024-08-23T20:00:00-00:00,2024-08-23,13,0,Hourly,RD,AS_SP26_EXP,DAM,RD_CLR_PRC,0,1
2024-08-23T21:00:00-00:00,2024-08-23T22:00:00-00:00,2024-08-23,15,0,Hourly,RD,AS_SP26_EXP,DAM,RD_CLR_PRC,0,1
2024-08-23T22:00:00-00:00,2024-08-23T23:00:00-00:00,2024-08-23,16,0,Hourly,RD,AS_CAISO,DAM,RD_CLR_PRC,0,1
2024-08-23T22:00:00-00:00,2024-08-23T23:00:00-00:00,2024-08-23,16,0,Hourly,RD,AS_SP26,DAM,RD_CLR_PRC,0,1
2024-08-24T01:00:00-00:00,2024-08-24T02:00:00-00:00,2024-08-23,19,0,Hourly,RD,AS_CAISO,DAM,RD_CLR_PRC,0,1
2024-08-24T01:00:00-00:00,2024-08-24T02:00:00-00:00,2024-08-23,19,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,3.9,1
2024-08-24T04:00:00-00:00,2024-08-24T05:00:00-00:00,2024-08-23,22,0,Hourly,RD,AS_CAISO,DAM,RD_CLR_PRC,0,1
2024-08-23T19:00:00-00:00,2024-08-23T20:00:00-00:00,2024-08-23,13,0,Hourly,RD,AS_NP26,DAM,RD_CLR_PRC,0,1
2024-08-23T21:00:00-00:00,2024-08-23T22:00:00-00:00,2024-08-23,15,0,Hourly,RD,AS_NP26,DAM,RD_CLR_PRC,0,1
2024-08-23T23:00:00-00:00,2024-08-24T00:00:00-00:00,2024-08-23,17,0,Hourly,RD,AS_CAISO,DAM,RD_CLR_PRC,0,1
2024-08-23T23:00:00-00:00,2024-08-24T00:00:00-00:00,2024-08-23,17,0,Hourly,RD,AS_NP26_EXP,DAM,RD_CLR_PRC,0,1
2024-08-24T00:00:00-00:00,2024-08-24T01:00:00-00:00,2024-08-23,18,0,Hourly,RD,AS_NP26,DAM,RD_CLR_PRC,0,1
