INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2023-09-08T20:00:00-00:00,2023-09-08T21:00:00-00:00,2023-09-08,14,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
2023-09-08T20:00:00-00:00,2023-09-08T21:00:00-00:00,2023-09-08,14,0,Hourly,RU,AS_SP26_EXP,DAM,RU_CLR_PRC,0,1
2023-09-09T00:00:00-00:00,2023-09-09T01:00:00-00:00,2023-09-08,18,0,Hourly,RU,AS_NP26_EXP,DAM,RU_CLR_PRC,0,1
2023-09-09T00:00:00-00:00,2023-09-09T01:00:00-00:00,2023-09-08,18,0,Hourly,RU,AS_SP26,DAM,RU_CLR_PRC,0,1
2023-09-09T01:00:00-00:00,2023-09-09T02:00:00-00:00,2023-09-08,19,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
2023-09-09T01:00:00-00:00,2023-09-09T02:00:00-00:00,2023-09-08,19,0,Hourly,RU,AS_SP26_EXP,DAM,RU_CLR_PRC,10.72372,1
2023-09-09T02:00:00-00:00,2023-09-09T03:00:00-00:00,2023-09-08,20,0,Hourly,RU,AS_SP26,DAM,RU_CLR_PRC,0,1
2023-09-09T03:00:00-00:00,2023-09-09T04:00:00-00:00,2023-09-08,21,0,Hourly,RU,AS_SP26_EXP,DAM,RU_CLR_PRC,1.06,1
2023-09-09T04:00:00-00:00,2023-09-09T05:00:00-00:00,2023-09-08,22,0,Hourly,RU,AS_SP26_EXP,DAM,RU_CLR_PRC,0,1
2023-09-09T05:00:00-00:00,2023-09-09T06:00:00-00:00,2023-09-08,23,0,Hourly,RU,AS_NP26,DAM,RU_CLR_PRC,0,1
2023-09-09T01:00:00-00:00,2023-09-09T02:00:00-00:00,2023-09-08,19,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,9.27628,1
2023-09-09T03:00:00-00:00,2023-09-09T04:00:00-00:00,2023-09-08,21,0,Hourly,RU,AS_NP26_EXP,DAM,RU_CLR_PRC,0,1
2023-09-09T06:00:00-00:00,2023-09-09T07:00:00-00:00,2023-09-08,24,0,Hourly,RU,AS_SP26,DAM,RU_CLR_PRC,0,1
2023-09-08T10:00:00-00:00,2023-09-08T11:00:00-00:00,2023-09-08,4,0,Hourly,RU,AS_NP26,DAM,RU_CLR_PRC,0,1
2023-09-08T11:00:00-00:00,2023-09-08T12:00:00-00:00,2023-09-08,5,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
2023-09-08T12:00:00-00:00,2023-09-08T13:00:00-00:00,2023-09-08,6,0,Hourly,RU,AS_SP26_EXP,DAM,RU_CLR_PRC,0.15,1
2023-09-08T17:00:00-00:00,2023-09-08T18:00:00-00:00,2023-09-08,11,0,Hourly,RU,AS_NP26_EXP,DAM,RU_CLR_PRC,0.15,1
2023-09-08T17:00:00-00:00,2023-09-08T18:00:00-00:00,2023-09-08,11,0,Hourly,RU,AS_SP26_EXP,DAM,RU_CLR_PRC,0.07,1
2023-09-08T18:00:00-00:00,2023-09-08T19:00:00-00:00,2023-09-08,12,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
2023-09-08T19:00:00-00:00,2023-09-08T20:00:00-00:00,2023-09-08,13,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
2023-09-08T21:00:00-00:00,2023-09-08T22:00:00-00:00,2023-09-08,15,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,0.88926,1
2023-09-08T21:00:00-00:00,2023-09-08T22:00:00-00:00,2023-09-08,15,0,Hourly,RU,AS_NP26_EXP,DAM,RU_CLR_PRC,2.45548,1
2023-09-08T22:00:00-00:00,2023-09-08T23:00:00-00:00,2023-09-08,16,0,Hourly,RU,AS_NP26_EXP,DAM,RU_CLR_PRC,5.07866,1
2023-09-09T00:00:00-00:00,2023-09-09T01:00:00-00:00,2023-09-08,18,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
2023-09-09T00:00:00-00:00,2023-09-09T01:00:00-00:00,2023-09-08,18,0,Hourly,RU,AS_SP26_EXP,DAM,RU_CLR_PRC,0,1
2023-09-09T01:00:00-00:00,2023-09-09T02:00:00-00:00,2023-09-08,19,0,Hourly,RU,AS_NP26,DAM,RU_CLR_PRC,0,1
2023-09-09T02:00:00-00:00,2023-09-09T03:00:00-00:00,2023-09-08,20,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,8.73,1
2023-09-09T04:00:00-00:00,2023-09-09T05:00:00-00:00,2023-09-08,22,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
2023-09-09T06:00:00-00:00,2023-09-09T07:00:00-00:00,2023-09-08,24,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,0.99,1
2023-09-08T08:00:00-00:00,2023-09-08T09:00:00-00:00,2023-09-08,2,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
2023-09-08T08:00:00-00:00,2023-09-08T09:00:00-00:00,2023-09-08,2,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,1.05,1
2023-09-08T09:00:00-00:00,2023-09-08T10:00:00-00:00,2023-09-08,3,0,Hourly,RU,AS_CAISO,DAM,RU_CLR_PRC,0,1
