INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,ANC_TYPE,ANC_REGION,GRP,MARKET_RUN_ID,RESULT_TYPE,UOM,POS,XML_DATA_ITEM,MW,GROUP
2020-05-21T09:00:00-00:00,2020-05-21T10:00:00-00:00,2020-05-21,3,0,NR,AS_CAISO,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,1091.37,1
2020-05-21T09:00:00-00:00,2020-05-21T10:00:00-00:00,2020-05-21,3,0,NR,AS_NP26_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,256.63,1
2020-05-21T09:00:00-00:00,2020-05-21T10:00:00-00:00,2020-05-21,3,0,NR,AS_SP26_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,834.74,1
2020-05-21T09:00:00-00:00,2020-05-21T10:00:00-00:00,2020-05-21,3,0,NR,AS_CAISO_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,1091.37,1
2020-05-21T10:00:00-00:00,2020-05-21T11:00:00-00:00,2020-05-21,4,0,NR,AS_NP26,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,249.46,1
2020-05-21T10:00:00-00:00,2020-05-21T11:00:00-00:00,2020-05-21,4,0,NR,AS_SP26,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,865.74,1
2020-05-21T10:00:00-00:00,2020-05-21T11:00:00-00:00,2020-05-21,4,0,NR,AS_CAISO,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,1115.2,1
2020-05-21T10:00:00-00:00,2020-05-21T11:00:00-00:00,2020-05-21,4,0,NR,AS_NP26_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,249.46,1
2020-05-21T10:00:00-00:00,2020-05-21T11:00:00-00:00,2020-05-21,4,0,NR,AS_SP26_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,865.74,1
2020-05-21T10:00:00-00:00,2020-05-21T11:00:00-00:00,2020-05-21,4,0,NR,AS_CAISO_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,1115.2,1
2020-05-21T19:00:00-00:00,2020-05-21T20:00:00-00:00,2020-05-21,13,0,NR,AS_SP26_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,563.4,1
2020-05-21T19:00:00-00:00,2020-05-21T20:00:00-00:00,2020-05-21,13,0,NR,AS_CAISO_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,798.84,1
2020-05-21T20:00:00-00:00,2020-05-21T21:00:00-00:00,2020-05-21,14,0,NR,AS_NP26,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,214.48,1
2020-05-21T20:00:00-00:00,2020-05-21T21:00:00-00:00,2020-05-21,14,0,NR,AS_SP26,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,581.32,1
2020-05-21T20:00:00-00:00,2020-05-21T21:00:00-00:00,2020-05-21,14,0,NR,AS_CAISO,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,795.8,1
2020-05-21T20:00:00-00:00,2020-05-21T21:00:00-00:00,2020-05-21,14,0,NR,AS_NP26_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,214.48,1
2020-05-21T20:00:00-00:00,2020-05-21T21:00:00-00:00,2020-05-21,14,0,NR,AS_SP26_EXP,Regional Detail,DAM,AS_BUY_MW,1,1,NS_PROC_MW,581.32,1
