Time Stamp,Name,spin_10,nonsync_10,op_30,reg_cap
2025-01-01 00:00:00,CAPITL,3.69,3.69,2.48,5.98
2025-01-01 00:00:00,CENTRL,2.48,2.48,2.48,5.98
2025-01-01 00:00:00,DUNWOD,3.69,3.69,2.48,5.98
2025-01-01 00:00:00,GENESE,2.48,2.48,2.48,5.98
2025-01-01 00:00:00,HUD VL,3.69,3.69,2.48,5.98
2025-01-01 00:00:00,LONGIL,3.69,3.69,2.48,5.98
2025-01-01 00:00:00,MHK VL,2.48,2.48,2.48,5.98
2025-01-01 00:00:00,MILLWD,3.69,3.69,2.48,5.98
2025-01-01 00:00:00,N.Y.C.,3.71,3.71,2.5,5.98
2025-01-01 00:00:00,NORTH,2.48,2.48,2.48,5.98
2025-01-01 00:00:00,WEST,2.48,2.48,2.48,5.98
2025-01-01 01:00:00,CAPITL,3.71,3.71,2.5,3.02
2025-01-01 01:00:00,CENTRL,2.5,2.5,2.5,3.02
2025-01-01 01:00:00,DUNWOD,3.71,3.71,2.5,3.02
2025-01-01 01:00:00,GENESE,2.5,2.5,2.5,3.02
2025-01-01 01:00:00,HUD VL,3.71,3.71,2.5,3.02
2025-01-01 01:00:00,LONGIL,3.71,3.71,2.5,3.02
2025-01-01 01:00:00,MHK VL,2.5,2.5,2.5,3.02
2025-01-01 01:00:00,MILLWD,3.71,3.71,2.5,3.02
2025-01-01 01:00:00,N.Y.C.,3.71,3.71,2.5,3.02
2025-01-01 01:00:00,NORTH,2.5,2.5,2.5,3.02
2025-01-01 01:00:00,WEST,2.5,2.5,2.5,3.02
2025-01-01 02:00:00,CAPITL,3.71,3.71,2.48,3.0
2025-01-01 02:00:00,CENTRL,2.48,2.48,2.48,3.0
2025-01-01 02:00:00,DUNWOD,3.71,3.71,2.48,3.0
2025-01-01 02:00:00,GENESE,2.48,2.48,2.48,3.0
2025-01-01 02:00:00,HUD VL,3.71,3.71,2.48,3.0
2025-01-01 02:00:00,LONGIL,3.71,3.71,2.48,3.0
2025-01-01 02:00:00,MHK VL,2.48,2.48,2.48,3.0
2025-01-01 02:00:00,MILLWD,3.71,3.71,2.48,3.0
2025-01-01 02:00:00,N.Y.C.,3.71,3.71,2.48,3.0
2025-01-01 02:00:00,NORTH,2.48,2.48,2.48,3.0
2025-01-01 02:00:00,WEST,2.48,2.48,2.48,3.0
2025-01-01 03:00:00,CAPITL,3.69,3.69,2.48,3.0
2025-01-01 03:00:00,CENTRL,2.48,2.48,2.48,3.0
2025-01-01 03:00:00,DUNWOD,3.69,3.69,2.48,3.0
2025-01-01 03:00:00,GENESE,2.48,2.48,2.48,3.0
2025-01-01 03:00:00,HUD VL,3.69,3.69,2.48,3.0
2025-01-01 03:00:00,LONGIL,3.69,3.69,2.48,3.0
2025-01-01 03:00:00,MHK VL,2.48,2.48,2.48,3.0
2025-01-01 03:00:00,MILLWD,3.69,3.69,2.48,3.0
2025-01-01 03:00:00,N.Y.C.,3.71,3.71,2.5,3.0
2025-01-01 03:00:00,NORTH,2.48,2.48,2.48,3.0
2025-01-01 03:00:00,WEST,2.48,2.48,2.48,3.0
2025-01-01 04:00:00,CAPITL,3.69,3.69,2.48,3.0
2025-01-01 04:00:00,CENTRL,2.48,2.48,2.48,3.0
2025-01-01 04:00:00,DUNWOD,3.69,3.69,2.48,3.0
2025-01-01 04:00:00,GENESE,2.48,2.48,2.48,3.0
2025-01-01 04:00:00,HUD VL,3.69,3.69,2.48,3.0
2025-01-01 04:00:00,LONGIL,3.69,3.69,2.48,3.0
2025-01-01 04:00:00,MHK VL,2.48,2.48,2.48,3.0
2025-01-01 04:00:00,MILLWD,3.69,3.69,2.48,3.0
2025-01-01 04:00:00,N.Y.C.,3.71,3.71,2.5,3.0
2025-01-01 04:00:00,NORTH,2.48,2.48,2.48,3.0
2025-01-01 04:00:00,WEST,2.48,2.48,2.48,3.0
2025-01-01 05:00:00,CAPITL,3.71,3.71,2.5,4.0
2025-01-01 05:00:00,CENTRL,2.5,2.5,2.5,4.0
2025-01-01 05:00:00,DUNWOD,3.71,3.71,2.5,4.0
2025-01-01 05:00:00,GENESE,2.5,2.5,2.5,4.0
2025-01-01 05:00:00,HUD VL,3.71,3.71,2.5,4.0
2025-01-01 05:00:00,LONGIL,3.71,3.71,2.5,4.0
2025-01-01 05:00:00,MHK VL,2.5,2.5,2.5,4.0
2025-01-01 05:00:00,MILLWD,3.71,3.71,2.5,4.0
2025-01-01 05:00:00,N.Y.C.,3.71,3.71,2.5,4.0
2025-01-01 05:00:00,NORTH,2.5,2.5,2.5,4.0
2025-01-01 05:00:00,WEST,2.5,2.5,2.5,4.0
2025-01-01 06:00:00,CAPITL,3.69,3.69,2.48,13.05
2025-01-01 06:00:00,CENTRL,2.48,2.48,2.48,13.05
2025-01-01 06:00:00,DUNWOD,3.71,3.71,2.5,13.05
2025-01-01 06:00:00,GENESE,2.48,2.48,2.48,13.05
2025-01-01 06:00:00,HUD VL,3.71,3.71,2.5,13.05
2025-01-01 06:00:00,LONGIL,3.71,3.71,2.5,13.05
2025-01-01 06:00:00,MHK VL,2.48,2.48,2.48,13.05
2025-01-01 06:00:00,MILLWD,3.71,3.71,2.5,13.05
2025-01-01 06:00:00,N.Y.C.,3.71,3.71,2.5,13.05
2025-01-01 06:00:00,NORTH,2.48,2.48,2.48,13.05
2025-01-01 06:00:00,WEST,2.48,2.48,2.48,13.05
2025-01-01 07:00:00,CAPITL,3.71,3.71,3.0,24.52
2025-01-01 07:00:00,CENTRL,3.0,3.0,3.0,24.52
2025-01-01 07:00:00,DUNWOD,3.71,3.71,3.0,24.52
2025-01-01 07:00:00,GENESE,3.0,3.0,3.0,24.52
2025-01-01 07:00:00,HUD VL,3.71,3.71,3.0,24.52
2025-01-01 07:00:00,LONGIL,3.71,3.71,3.0,24.52
2025-01-01 07:00:00,MHK VL,3.0,3.0,3.0,24.52
2025-01-01 07:00:00,MILLWD,3.71,3.71,3.0,24.52
2025-01-01 07:00:00,N.Y.C.,3.71,3.71,3.0,24.52
