datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,51217,EASTERN HUB,,,HUB,,18.030000,18.660129,0.000000,0.628462,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,51287,WEST INT HUB,,,HUB,,18.030000,17.972361,0.000000,-0.059305,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,51288,WESTERN HUB,,,HUB,,18.030000,18.131267,0.000000,0.099600,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,4669664,NEW JERSEY HUB,,,HUB,,18.030000,18.491619,0.000000,0.459952,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,33092311,CHICAGO GEN HUB,,,HUB,,18.030000,17.040404,0.000000,-0.991263,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,33092313,CHICAGO HUB,,,HUB,,18.030000,17.240090,0.000000,-0.791576,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,33092315,N ILLINOIS HUB,,,HUB,,18.030000,17.164550,0.000000,-0.867116,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,34497125,AEP GEN HUB,,,HUB,,18.030000,17.505351,0.000000,-0.526316,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,34497127,AEP-DAYTON HUB,,,HUB,,18.030000,17.721424,0.000000,-0.310243,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,34497151,OHIO HUB,,,HUB,,18.030000,17.708717,0.000000,-0.322950,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,35010337,DOMINION HUB,,,HUB,,18.030000,17.921395,0.000000,-0.110272,True,1
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,116013751,ATSI GEN HUB,,,HUB,,18.030000,18.113482,0.000000,0.081816,True,1
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,51217,EASTERN HUB,,,HUB,,17.770000,18.266424,0.000000,0.498924,True,1
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,51287,WEST INT HUB,,,HUB,,17.770000,17.742871,0.000000,-0.024629,True,1
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,51288,WESTERN HUB,,,HUB,,17.770000,17.824705,0.000000,0.057205,True,1
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,4669664,NEW JERSEY HUB,,,HUB,,17.770000,18.129392,0.000000,0.361892,True,1
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,33092311,CHICAGO GEN HUB,,,HUB,,17.770000,16.890051,0.000000,-0.877449,True,1
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,33092313,CHICAGO HUB,,,HUB,,17.770000,17.080564,0.000000,-0.686936,True,1
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,33092315,N ILLINOIS HUB,,,HUB,,17.770000,17.007673,0.000000,-0.759827,True,1
