datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Coal,13131,0.160,False
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Gas,29709,0.370,False
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Hydro,859,0.010,True
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Multiple Fuels,3,0.000,False
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Nuclear,33961,0.420,False
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Oil,192,0.000,False
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Other,220,0.000,False
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Other Renewables,669,0.010,True
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Solar,8,0.000,True
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Storage,0,0.000,False
12/31/2022 5:00:00 AM,12/31/2022 12:00:00 AM,Wind,1633,0.020,True
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Coal,13351,0.160,False
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Gas,31816,0.380,False
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Hydro,1007,0.010,True
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Multiple Fuels,3,0.000,False
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Nuclear,33954,0.410,False
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Oil,193,0.000,False
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Other,201,0.000,False
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Other Renewables,669,0.010,True
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Solar,8,0.000,True
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Storage,0,0.000,False
12/31/2022 4:00:00 AM,12/30/2022 11:00:00 PM,Wind,1479,0.020,True
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Coal,13607,0.160,False
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Gas,34408,0.400,False
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Hydro,1784,0.020,True
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Multiple Fuels,3,0.000,False
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Nuclear,33923,0.390,False
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Oil,193,0.000,False
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Other,200,0.000,False
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Other Renewables,663,0.010,True
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Solar,8,0.000,True
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Storage,0,0.000,False
12/31/2022 3:00:00 AM,12/30/2022 10:00:00 PM,Wind,1500,0.020,True
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Coal,14026,0.160,False
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Gas,35371,0.400,False
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Hydro,2064,0.020,True
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Multiple Fuels,314,0.000,False
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Nuclear,33974,0.380,False
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Oil,188,0.000,False
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Other,353,0.000,False
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Other Renewables,661,0.010,True
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Solar,8,0.000,True
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Storage,0,0.000,False
12/31/2022 2:00:00 AM,12/30/2022 9:00:00 PM,Wind,1498,0.020,True
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Coal,14359,0.160,False
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Gas,37030,0.410,False
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Hydro,2172,0.020,True
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Multiple Fuels,313,0.000,False
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Nuclear,33971,0.380,False
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Oil,185,0.000,False
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Other,310,0.000,False
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Other Renewables,670,0.010,True
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Solar,8,0.000,True
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Storage,0,0.000,False
12/31/2022 1:00:00 AM,12/30/2022 8:00:00 PM,Wind,1429,0.020,True
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Coal,14492,0.160,False
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Gas,38112,0.420,False
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Hydro,2475,0.030,True
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Multiple Fuels,313,0.000,False
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Nuclear,33962,0.370,False
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Oil,183,0.000,False
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Other,220,0.000,False
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Other Renewables,666,0.010,True
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Solar,8,0.000,True
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Storage,0,0.000,False
12/31/2022 12:00:00 AM,12/30/2022 7:00:00 PM,Wind,1292,0.010,True
12/30/2022 11:00:00 PM,12/30/2022 6:00:00 PM,Coal,14291,0.150,False
12/30/2022 11:00:00 PM,12/30/2022 6:00:00 PM,Gas,38687,0.420,False
