Plant_Code,Plant_Name,Plant_Group,Zone,Nameplate_MW,Plant_Avg_HR_MMBtu_MWh,Pct_Must_Run,Pct_Committed,Pct_Economic,Pct_Peaking,Must_Run_Source,Committed_Source,Peaking_Source,Mixed_Facility
10034,Gilroy Power Plant,CC_CHP,NP15,101.0,6.687,35.0,12.9,48.6,3.5,chp_sector_default,campd,campd,
10213,El Segundo Cogen,CC_CHP,SP15,171.6,10.405,70.0,30.0,0.0,0.0,chp_sector_default,class_default,class_default,
10262,California Institute of Technology,CC_CHP,SP15,11.1,6.406,65.0,35.0,0.0,0.0,chp_sector_default,class_default,class_default,
10294,King City Power Plant,CC_CHP,NP15,115.0,7.855,35.0,9.6,49.9,5.5,chp_sector_default,campd,campd,
10342,Marathon Bay Area Cogen,CC_CHP,NP15,103.5,6.02,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
10405,Kingsburg Cogen,CC_CHP,NP15,33.8,10.031,35.0,11.8,53.2,0.0,chp_sector_default,campd,campd,
50061,San Diego State University,CC_CHP,SP15,11.1,6.36,65.0,35.0,0.0,0.0,chp_sector_default,class_default,class_default,
50216,Watson Cogeneration,CC_CHP,SP15,398.0,6.45,65.0,35.0,0.0,0.0,chp_sector_default,class_default,class_default,
50849,PE Berkeley,CC_CHP,NP15,24.0,6.529,65.0,35.0,0.0,0.0,chp_sector_default,class_default,class_default,
50850,CamChino Leasing LLC,CC_CHP,SP15,29.0,6.531,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
50851,CSUCI Site Authority,CC_CHP,SP15,28.3,6.741,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
52109,Richmond Cogen,CC_CHP,NP15,130.4,6.3,65.0,35.0,0.0,0.0,chp_sector_default,class_default,class_default,
54749,Goal Line LP,CC_CHP,SP15,49.4,7.348,35.0,18.2,42.9,3.9,chp_sector_default,campd,campd,
54912,Martinez Refining,CC_CHP,NP15,80.0,6.138,70.0,30.0,0.0,0.0,chp_sector_default,class_default,class_default,
55084,Crockett Cogen Project,CC_CHP,NP15,247.0,6.882,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
55217,Los Medanos Energy Center,CC_CHP,NP15,559.0,6.647,35.0,40.3,23.1,1.6,chp_sector_default,campd,campd,
55400,Elk Hills Power LLC,CC_CHP,ZP26,525.0,6.541,35.0,65.0,0.0,0.0,chp_sector_default,campd,campd,
56356,Clearwater Power Plant,CC_CHP,SP15,28.0,7.028,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
57122,UCI Facilities Management Central Plant,CC_CHP,SP15,19.0,6.349,65.0,35.0,0.0,0.0,chp_sector_default,class_default,class_default,
57584,University of California San Diego Hybri,CC_CHP,SP15,30.0,6.095,65.0,35.0,0.0,0.0,chp_sector_default,class_default,class_default,
58198,Parnassus Central Utility Plant,CC_CHP,NP15,12.5,6.668,65.0,35.0,0.0,0.0,chp_sector_default,class_default,class_default,
260,Dynegy Moss Landing Power Plant Hybrid,CC_REGULAR,NP15,1020.0,7.277,0.0,16.8,82.6,0.6,none,campd,campd,
358,Mountainview Generating Station,CC_REGULAR,SP15,1018.0,7.668,0.0,17.4,79.5,3.1,none,campd,campd,
422,Glenarm,CC_REGULAR,SP15,84.0,10.39,0.0,45.0,47.0,8.0,none,class_default,class_default,CC+CT
10169,Carson Cogeneration,CC_REGULAR,SP15,49.3,8.688,0.0,10.1,89.9,0.0,none,campd,campd,
50541,Harbor Cogen,CC_REGULAR,SP15,101.7,12.478,0.0,45.0,47.0,8.0,none,class_default,class_default,
50748,Agnews Power Plant,CC_REGULAR,NP15,28.0,10.295,0.0,45.0,47.0,8.0,none,class_default,class_default,
55077,Desert Star Energy Center,CC_REGULAR,SP15,310.0,7.642,0.0,45.0,47.0,8.0,none,class_default,class_default,
55151,La Paloma Generating Plant,CC_REGULAR,ZP26,1010.0,7.645,0.0,10.1,87.0,2.9,none,campd,campd,
55182,Sunrise Power LLC,CC_REGULAR,ZP26,561.0,7.074,0.0,28.5,69.0,2.5,none,campd,campd,
55295,Blythe Energy Inc,CC_REGULAR,SP15,514.0,8.086,0.0,24.8,50.2,25.0,none,campd,campd,
55333,Delta Energy Center,CC_REGULAR,NP15,842.0,7.193,0.0,30.5,66.5,3.0,none,campd,campd,
55345,Otay Mesa Generating Project,CC_REGULAR,SP15,592.7,7.135,0.0,27.2,69.0,3.8,none,campd,campd,
55393,Metcalf Energy Center,CC_REGULAR,NP15,557.0,7.369,0.0,33.9,64.4,1.7,none,campd,campd,
55518,High Desert Power Plant,CC_REGULAR,SP15,889.2,7.209,0.0,35.4,64.5,0.1,none,campd,campd,
55656,"Pastoria Energy Facility, LLC",CC_REGULAR,SP15,757.0,7.691,0.0,22.4,76.5,1.1,none,campd,campd,
55748,Los Esteros Critical Energy Center,CC_REGULAR,NP15,300.0,9.106,0.0,15.3,81.1,3.6,none,campd,campd,
55933,Tracy Combined Cycle Power Plant,CC_REGULAR,NP15,320.1,8.669,0.0,29.4,68.8,1.8,none,campd,campd,
55985,Palomar Energy,CC_REGULAR,SP15,581.4,7.068,0.0,35.0,63.3,1.7,none,campd,campd,
56026,Donald Von Raesfeld Power Plant,CC_REGULAR,NP15,147.8,8.16,0.0,62.9,35.7,1.4,none,campd,campd,
56041,Malburg,CC_REGULAR,SP15,139.0,8.649,0.0,25.2,49.8,25.0,none,campd,campd,
56467,Russell City Energy Center,CC_REGULAR,NP15,605.0,7.433,0.0,25.0,70.8,4.2,none,campd,campd,
56476,Gateway Generating Station,CC_REGULAR,NP15,563.4,7.325,0.0,39.8,58.1,2.1,none,campd,campd,
56532,Colusa Generating Station,CC_REGULAR,NP15,640.0,7.326,0.0,31.2,67.4,1.4,none,campd,campd,
57564,Algonquin Power Sanger LLC,CC_REGULAR,NP15,61.5,10.255,0.0,17.9,82.1,0.0,none,campd,campd,
57901,El Segundo Energy Center LLC,CC_REGULAR,SP15,510.0,6.7,0.0,45.0,47.0,8.0,none,class_default,class_default,
57978,Lodi Energy Center,CC_REGULAR,NP15,273.0,7.102,0.0,38.5,60.5,1.0,none,campd,campd,
62115,AES Alamitos Energy Center,CC_REGULAR,SP15,603.0,6.3,0.0,23.7,76.2,0.1,none,campd,campd,
62116,AES Huntington Beach Energy Project,CC_REGULAR,SP15,630.0,6.3,0.0,23.3,76.6,0.1,none,campd,campd,
10684,Argus Cogen Plant,COAL,ZP26,50.0,5.613,45.0,5.0,48.0,2.0,class_default,class_default,class_default,
10115,Grossmont Hospital,CT_CHP,SP15,4.2,10.398,65.0,30.0,0.0,5.0,chp_sector_default,class_default,class_default,
