Plant_Code,Plant_Name,Plant_Group,Zone,Nameplate_MW,Plant_Avg_HR_MMBtu_MWh,Pct_Must_Run,Pct_Committed,Pct_Economic,Pct_Peaking,Must_Run_Source,Committed_Source,Peaking_Source,Mixed_Facility
7991,West Campus Cogeneration Facility,CC_CHP,MISO-East,131.8,8.0,35.0,20.5,39.2,5.3,chp_sector_default,campd,campd,
10745,Midland Cogeneration Venture,CC_CHP,MISO-East,1479.4,6.893,35.0,32.8,25.9,6.3,chp_sector_default,campd,campd,
10789,Sabine River Operations,CC_CHP,MISO-South,502.0,7.5,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
10819,Ada Cogeneration LP,CC_CHP,MISO-East,30.0,7.117,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
50152,Dow St Charles Operations,CC_CHP,MISO-South,270.0,5.324,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
50431,University of Michigan,CC_CHP,MISO-East,45.5,4.691,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
50973,Motiva Enterprises Port Arthur Refinery,CC_CHP,MISO-South,183.4,8.184,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,CC+CT
54915,Michigan Power LP,CC_CHP,MISO-East,128.0,5.946,35.0,65.0,0.0,0.0,chp_sector_default,campd,campd,
55010,LSP-Cottage Grove LP,CC_CHP,MISO-West,251.0,7.534,35.0,28.7,32.9,3.4,chp_sector_default,campd,campd,
55075,Pine Bluff Energy Center,CC_CHP,MISO-South,179.0,5.697,35.0,65.0,0.0,0.0,chp_sector_default,campd,campd,
55088,Dearborn Industrial Generation,CC_CHP,MISO-East,350.0,6.346,35.0,50.3,11.3,3.4,chp_sector_default,campd,campd,CC+CT
55089,Taft Cogeneration Facility,CC_CHP,MISO-South,738.9,7.018,35.0,41.4,19.5,4.1,chp_sector_default,campd,campd,
55117,RS Cogen,CC_CHP,MISO-South,415.4,6.376,35.0,45.7,14.6,4.7,chp_sector_default,campd,campd,
55259,Whiting Clean Energy,CC_CHP,MISO-Indiana,513.0,7.177,35.0,37.8,22.2,5.0,chp_sector_default,campd,campd,
55404,Carville Energy LLC,CC_CHP,MISO-South,521.0,6.471,35.0,42.2,17.4,5.4,chp_sector_default,campd,campd,
55419,Plaquemine Cogeneration Plant,CC_CHP,MISO-South,890.8,6.276,35.0,65.0,0.0,0.0,chp_sector_default,campd,campd,
55558,Combined Locks Energy Center,CC_CHP,MISO-East,51.9,7.845,35.0,65.0,0.0,0.0,chp_sector_default,campd,campd,
56309,Trigen St. Louis,CC_CHP,MISO-Plains,29.2,5.126,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,CC+CT+ST
57953,Roquette America,CC_CHP,MISO-Plains,38.0,5.265,35.0,45.0,12.0,8.0,chp_sector_default,class_default,class_default,
