plant_code,plant_name,unit_id,gross_mwh,steady_hours,cap_mw,hr_gross,hr_gross_hsl
260,Moss Landing Power Plant,1A,9301632.0,38397,264.0,7.09161855221307,6.949808750652161
260,Moss Landing Power Plant,2A,8651845.0,35576,260.0,7.0747890515476834,6.981863751621929
260,Moss Landing Power Plant,3A,8115131.0,33627,261.0,7.151826441759044,7.0330009879692845
260,Moss Landing Power Plant,4A,7681562.0,31663,260.0,7.08469228722904,6.9772105436957315
358,Mountainview Generating Station,3-1,5072139.0,23866,274.0,7.1789286913596495,6.858702838030786
358,Mountainview Generating Station,3-2,4615539.0,21253,277.0,7.1896536555149355,7.004498102406892
358,Mountainview Generating Station,4-1,4884677.0,23098,274.0,7.185357340162157,6.8673709888110785
358,Mountainview Generating Station,4-2,4335024.0,20081,275.0,7.126805566365903,6.845807231262823
422,Glenarm,GT5,132051.0,3065,61.0,9.302937074486632,7.713134146911675
10169,Carson Cogeneration Company,D1,139576.0,3730,48.0,9.59350207348015,8.019075098180652
55077,Desert Star Energy Center,EDE1,4474447.0,21320,245.0,7.3841654711153675,7.1093578188310484
55077,Desert Star Energy Center,EDE2,3570878.0,17102,246.0,7.413869938100045,7.144380570473415
55151,La Paloma Generating Plant,CTG-1,3118384.0,15433,252.0,7.257090466427892,7.017345942098934
55151,La Paloma Generating Plant,CTG-2,3258678.0,16733,251.0,7.377786865790168,7.0486968140051705
55151,La Paloma Generating Plant,CTG-3,2913743.0,16106,250.0,7.297020398414857,6.903282670539705
55151,La Paloma Generating Plant,CTG-4,2914353.0,15625,252.0,7.356550598893135,6.9829348696845
55182,Sunrise Power Company,CTG1,9508116.0,38208,289.0,6.852076168839074,6.913488454987015
55182,Sunrise Power Company,CTG2,9130284.0,36485,292.0,6.767085993564591,6.837065501474432
55295,Blythe Energy,1,3280621.0,22980,235.0,10.430187183090938,7.670363934365164
55295,Blythe Energy,2,3764071.0,26392,212.0,10.741890927210783,8.58912186367746
55333,"Delta Energy Center, LLC",1,10245160.0,39328,287.0,6.848718360613248,6.832426617218744
55333,"Delta Energy Center, LLC",2,9250357.0,36282,280.0,6.857671896129182,6.870117846077816
55333,"Delta Energy Center, LLC",3,8836146.0,34390,279.0,7.0114563213366505,6.990982039598701
55345,"Otay Mesa Energy Center, LLC",CTG-1,6962589.0,28102,291.0,6.930834458807213,6.990457666307782
55345,"Otay Mesa Energy Center, LLC",CTG-2,7328362.0,29772,294.0,6.949683926193785,6.971710001995205
55393,Metcalf Energy Center,1,8893269.0,35119,290.0,7.089131933368403,7.0683912791445405
55393,Metcalf Energy Center,2,8808054.0,34548,290.0,7.105074174911829,7.112146597812326
55518,High Desert Power Project,CTG1,9019715.0,36006,291.0,7.129019505885829,6.965994247840332
55518,High Desert Power Project,CTG2,9069506.0,36351,290.0,7.107702479082785,6.925230936922014
55518,High Desert Power Project,CTG3,9311059.0,37375,290.0,7.136234073447966,6.989504016809525
55656,Pastoria Energy Facility,CT001,8678936.0,40741,265.0,8.528614658502347,7.013299722646552
55656,Pastoria Energy Facility,CT002,8000748.0,36804,264.0,8.421519968990058,7.016083287891398
55656,Pastoria Energy Facility,CT004,9732919.0,40297,266.0,7.409430058591931,7.34095068728398
55748,Los Esteros Critical Energy Facility,CTG1,428709.0,6689,79.0,8.168420279355365,7.759283162020495
55748,Los Esteros Critical Energy Facility,CTG2,412914.0,6413,76.0,7.944720322758936,7.693816478547962
55748,Los Esteros Critical Energy Facility,CTG3,436961.0,6885,79.0,8.215090441842852,7.772959454204814
55748,Los Esteros Critical Energy Facility,CTG4,423643.0,6654,77.0,8.21178286801378,7.824401965355234
55933,Tracy Combined Cycle Power Plant,TPP1,2947343.0,22486,164.0,8.015954916177803,8.167653487410096
55933,Tracy Combined Cycle Power Plant,TPP2,2887301.0,22009,163.0,8.00575165402847,8.169639017940197
55985,Palomar Energy Center,CTG1,5155600.0,21461,276.0,6.94700880323304,6.813711815456383
55985,Palomar Energy Center,CTG2,6297887.0,26269,278.0,6.930019754691638,6.784870142707753
56026,Donald Von Raesfeld,PCT1,2611523.0,41569,73.0,7.668063278236978,7.836424935725652
56026,Donald Von Raesfeld,PCT2,2754089.0,43845,73.0,7.807282390023655,7.970485084828689
56041,Malburg Generating Station,M1,1687188.0,42815,62.0,8.134592825516508,7.500738352781745
56041,Malburg Generating Station,M2,1713440.0,42462,62.0,8.09420606366763,7.542301635583057
56467,Russell City Energy Company LLC,CT1,4267484.0,16179,301.0,7.148835290564531,7.061133901692126
56467,Russell City Energy Company LLC,CT2,4202711.0,15850,302.0,7.11176404245345,7.007603621530197
56476,Gateway Generating Station,GT1,10391952.0,43417,281.0,7.171252562224696,7.133180765964708
56476,Gateway Generating Station,GT2,10510082.0,44077,280.0,7.189035796224998,7.116123698064615
56532,Colusa Generating Station,CT1,9834050.0,35950,319.0,7.127530480374386,7.137260290684363
56532,Colusa Generating Station,CT2,9971815.0,36634,318.0,7.081209589046768,7.125834212889818
57564,Algonquin Power Sanger,8,378361.0,10388,40.0,10.395234075471059,9.956207571595465
57901,El Segundo,5,949090.0,3897,265.0,8.416256742507818,7.9438143452354275
57901,El Segundo,7,1007648.0,4215,261.25,8.223623853475129,7.784874699959858
57978,Lodi Energy Center,CT1,4689973.0,26271,199.0,10.584135575915235,10.316890514911101
62115,AES Alamitos,CT1,7304361.0,24115,344.0,6.831287021765235,6.690824063841085
62115,AES Alamitos,CT2,7456858.0,24616,345.0,6.8135059843011785,6.669829785634101
62116,AES Huntington Beach,CT1,8505834.0,26786,345.0,6.774468374984032,6.681020201268625
62116,AES Huntington Beach,CT2,8400155.0,26296,345.0,6.751162086115229,6.641661512584429
