plant_code,plant_name,unit_id,gross_mwh,steady_hours,cap_mw,hr_gross,hr_gross_hsl
862,"Grand Tower Energy Center, LLC",CT01,1031756.0,4475,254.0,8.892130151485992,7.908226551099984
862,"Grand Tower Energy Center, LLC",CT02,1171228.0,4832,264.0,8.68447928360366,7.6852862503992325
991,IPL - Eagle Valley Generating Station,GT1,16553171.0,50208,359.0,6.371087836581979,6.354997507606863
991,IPL - Eagle Valley Generating Station,GT2,16632289.0,50454,359.0,6.33252565273745,6.312690976386948
1007,Noblesville,CT3,2661660.0,42144,73.0,10.322149220699545,9.800350057429258
1007,Noblesville,CT4,2712127.0,43361,72.0,10.51513261913885,9.963680130776657
1007,Noblesville,CT5,2283184.0,36712,72.0,10.42902931319313,9.90632824933464
1396,Coughlin Power Station,6-1,8965460.0,43695,232.0,7.305554397319337,7.204398576684615
1396,Coughlin Power Station,7-1,8458442.0,42526,225.0,7.356998525016842,7.270147275685527
1396,Coughlin Power Station,7-2,8909135.0,45082,224.0,7.319571100958766,7.233497211651733
1403,Ninemile Point,6A,14421939.0,51982,307.0,6.823147253193315,6.808757510197371
1403,Ninemile Point,6B,14441771.0,52103,307.0,6.768979215217168,6.589791724154277
1904,Black Dog,5,8736733.0,34764,309.0,7.529175526992665,7.455471414635535
1912,High Bridge,7,10179295.0,39366,302.0,7.301574113548487,7.208318106623476
1912,High Bridge,8,9876218.0,38222,302.0,7.24701598196998,7.190233918419935
1927,Riverside (1927),10,6722843.0,29634,257.0,6.95254285337128,6.847916257395687
1927,Riverside (1927),9,7252384.0,31818,256.0,6.946223827418777,6.845127289553925
2070,Moselle Generation Complex,6,5323902.0,39812,154.0,8.298367329583067,8.218339444105993
2070,Moselle Generation Complex,7,5151158.0,39526,152.0,8.30893707247755,8.192000799589502
4040,Port Washington Generating Station,11,13831398.0,50975,323.0,6.7705986036523225,6.7986719966153215
4040,Port Washington Generating Station,12,13999645.0,51613,324.0,6.754206004615628,6.789700643879304
4040,Port Washington Generating Station,21,13809334.0,51104,320.0,6.729334180102551,6.758144515393673
4040,Port Washington Generating Station,22,13814531.0,50802,321.0,6.735783477534906,6.765833444100465
6061,R D Morrow Senior Generating Plant,3,9143928.0,18670,575.0,5.534547946115041,5.394107656633422
6358,Hutchinson - Plant 2,1,117036.0,2331,49.0,11.024375252227363,10.291771674337888
7985,Greater Des Moines Energy Center,1,3428469.0,21662,187.0,10.896034990041173,10.337639623953827
7985,Greater Des Moines Energy Center,2,3316994.0,20913,188.0,10.822792177088195,10.186389477231746
8031,Emery Station,11,8333357.0,32476,296.0,7.426473786013067,7.474344357260801
8031,Emery Station,12,8812318.0,34540,297.0,7.446491639191031,7.48496546538994
55011,Whitewater Cogeneration Facility,01,5876533.0,26236,260.0,7.838619205124353,7.6739000770745
55087,Zeeland Generating Station,CC3,12771790.0,49492,297.0,7.220713368452508,7.266994801466911
55087,Zeeland Generating Station,CC4,12569390.0,49239,293.0,7.530426275690723,7.539489841184786
55173,Acadia Power Station,CT1,11055704.0,47247,287.0,6.798375229733778,6.314906926066416
55173,Acadia Power Station,CT2,11007196.0,47132,286.0,6.691082722705678,6.248239664761552
55173,Acadia Power Station,CT3,9705553.0,39578,289.0,7.212882242965901,7.054173571202643
55173,Acadia Power Station,CT4,9529041.0,38522,286.0,7.18976123909628,7.114370402986299
55218,Hinds Energy Facility,H01,10888871.0,46522,258.0,6.9023288353497545,6.755327508803528
55218,Hinds Energy Facility,H02,10770296.0,45971,258.0,6.857924455605085,6.701847900612404
55220,Attala Generating Plant,A01,8944007.0,37644,257.0,7.032399356959987,6.995700974249511
55220,Attala Generating Plant,A02,8862397.0,38093,261.0,7.125196880475574,6.90051912737693
55221,Oswald Generating Station,G1,674664.0,13034,55.0,7.7092098684925565,7.631331475991121
55221,Oswald Generating Station,G2,745275.0,14119,56.0,7.54013539801257,7.432140543732973
55221,Oswald Generating Station,G3,649257.0,12113,58.0,7.608983620212339,7.981514739913472
55221,Oswald Generating Station,G4,534029.0,9715,56.0,7.3825051481420525,7.549018512271233
55221,Oswald Generating Station,G5,706298.0,13351,56.0,7.461529450617475,7.607493697649834
55221,Oswald Generating Station,G6,725272.0,13870,56.0,7.528408803586625,7.361473867279264
55221,Oswald Generating Station,G7,1472805.0,15005,112.0,9.039460152947555,8.816355679522939
