plant_code,plant_name,unit_id,gross_mwh,steady_hours,cap_mw,hr_gross,hr_gross_hsl
2500,Ravenswood Generating Station,UCC001,12149052.0,49790,273.0,7.164953407302579,7.0911675266597864
2539,Bethlehem Energy Center (Albany),10001,9322914.0,48091,279.0,8.80729218505381,6.590184942581476
2539,Bethlehem Energy Center (Albany),10002,9243684.0,48544,278.0,9.052773638765263,6.659015102289955
2539,Bethlehem Energy Center (Albany),10003,9825521.0,51549,279.0,8.977277051965457,6.670114868221155
7314,Richard M Flynn (Holtsville),001,2024198.0,24210,104.0,12.418767309603174,11.619668390682662
10190,"Castleton Power, LLC",1,885151.0,14957,70.0,9.046473355127143,9.169065844643054
10620,Carthage Energy,1,29458.0,601,59.0,8.95042575056889,8.374855853597392
10621,"Syracuse, LLC",1,128828.0,1715,95.0,8.023112019505444,7.707955806946133
50292,Bethpage Energy Center,GT1,592572.0,22199,30.0,8.558687804461158,8.696697435897438
50292,Bethpage Energy Center,GT2,987772.0,36713,29.0,9.133674391383364,8.368555667259557
50292,Bethpage Energy Center,GT4,1568038.0,24849,80.0,8.549051579666468,8.549542911585617
50744,Sterling Power Plant,00001,44646.0,1214,44.0,11.490847148075302,10.872725615314499
50978,Carr Street Generating Station,A,464818.0,13804,41.0,11.711914307381742,11.237479008964785
50978,Carr Street Generating Station,B,333772.0,10198,41.0,12.194218503238128,11.796229842626774
54034,Rensselaer Cogen,1GTDBS,229201.0,3146,83.0,8.786644189269103,8.58477516163273
54574,"Saranac Power Partners, LP",00001,844058.0,9368,135.0,9.229123656191664,8.908123496568313
54574,"Saranac Power Partners, LP",00002,445123.0,4697,128.0,8.816233081648708,8.605563280139044
54592,Massena Energy Facility,001,63818.0,1250,54.0,13.231413671373556,12.777221902017292
54593,Batavia Energy,1,47747.0,1266,43.0,12.368858582732859,11.759709836283776
55375,Astoria Energy,CT1,12976756.0,52500,311.0,6.7723829922055625,6.786219711715597
55375,Astoria Energy,CT2,12500701.0,51234,307.0,6.833048601943866,6.807187942639455
55375,Astoria Energy,CT3,11460308.0,45478,312.0,7.463700424595021,7.396132918506459
55375,Astoria Energy,CT4,11604581.0,45935,312.0,7.375567905474673,7.313908184425023
55405,Athens Generating Company,1,6556127.0,20077,367.0,6.90273950564705,6.798836398443051
55405,Athens Generating Company,2,6356732.0,19672,362.0,6.91814354011902,6.783462278390306
55405,Athens Generating Company,3,7579652.0,23349,366.0,7.020987922599823,6.892791221074256
56188,Pinelawn Power,00001,778752.0,11434,78.0,8.144181669542093,8.210738576909662
56196,Poletti 500 MW CC,CTG7A,10480071.0,47302,280.0,6.8751306622336354,6.6068792591465275
56196,Poletti 500 MW CC,CTG7B,10383926.0,47844,279.0,7.062444473810329,6.588155317512573
56234,Caithness Long Island Energy Center,0001,16453848.0,53103,357.0,6.579762404165822,6.624898159587262
56940,Valley Energy Center,1,16292261.0,51774,346.0,6.9071473965934596,7.0575581103496745
56940,Valley Energy Center,2,15884801.0,50087,350.0,6.874496444597207,7.0244821356670615
57185,Cricket Valley Energy Center,U001,10152735.0,32665,365.0,6.859909504039957,6.796297398480508
57185,Cricket Valley Energy Center,U002,10564709.0,33764,366.0,6.844154361471278,6.798857258346687
57185,Cricket Valley Energy Center,U003,8512908.0,27436,367.0,6.813810134533812,6.775614124391333
