plant_code,plant_group,plant_name,n_units,n_unit_years,years_covered,class_capacity_mw,gross_mwh,window_hours,parasitic_factor,factor_source,heat_rate_gross,heat_rate,model_heat_rate_egrid,model_over_measured,flag,iso,years,source
10745,CC_CHP,Midland Cogeneration Venture,12,36,2023-2024-2025,1479.4,24202261.0,264249,0.975,class_default,10.9537,11.2345,6.8927,0.6135,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55419,CC_CHP,Plaquemine Cogen Facility,4,12,2023-2024-2025,890.8,30262973.0,96296,0.975,class_default,5.6283,5.7727,6.2764,1.0873,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55089,CC_CHP,Taft Cogeneration Facility,3,9,2023-2024-2025,738.9,11005675.0,73196,0.975,class_default,12.0524,12.3615,7.0181,0.5677,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55404,CC_CHP,Carville Energy Center,2,6,2023-2024-2025,521.0,9720636.0,42146,0.975,class_default,7.735,7.9333,6.4715,0.8157,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55259,CC_CHP,"Whiting Clean Energy, Inc.",2,6,2023-2024-2025,513.0,6772766.0,48396,0.97,pooled,11.5728,11.9307,7.1766,0.6015,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
1393,ST_CHP,R S Nelson,1,3,2023-2024-2025,424.7,4440996.0,9840,0.95,class_default,11.1488,11.7356,11.5,0.9799,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55117,CC_CHP,R S Cogen LLC,2,6,2023-2024-2025,415.4,6700298.0,37786,0.975,class_default,9.5665,9.8118,6.3758,0.6498,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55088,CC_CHP,Dearborn Industrial Generation,2,6,2023-2024-2025,350.0,7501128.0,42743,0.975,class_default,10.1306,10.3904,6.3464,0.6108,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55010,CC_CHP,Cottage Grove Cogeneration,1,3,2023-2024-2025,251.0,2844591.0,13536,0.975,class_default,7.8602,8.0617,7.5336,0.9345,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55075,CC_CHP,Pine Bluff Energy Center,1,3,2023-2024-2025,179.0,4962722.0,20609,0.975,class_default,6.8879,7.0645,5.6968,0.8064,ok,MISO,2023-2024-2025,"EPA CAMPD unit-level hourly opTime + grossLoad + heatInput (data/raw/campd-unit-level); per unit-YEAR heat_rate = sum(heatInput)/sum(grossLoad) over hours with opTime >= 0.99 and grossLoad > 0.5 x p95.0 of that unit-year's gross load (>= 50 qualifying hours), converted to a NET basis by the plant's OWN same-year parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; pooled then class default where a year has no measured row); (plant, class) value is the window-generation-weighted mean across its unit-years. Units are attributed to a class by CAMPD unitType family (CC / CT / ST). Physical band [5.5, 30.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
