plant_code,plant_name,unit_id,gross_mwh,steady_hours,cap_mw,hr_gross,hr_gross_hsl
594,Indian River,4,1372395.0,5270,420.0,10.340880967968271,9.97317096302184
602,Brandon Shores,1,7231111.0,18502,687.0,10.43355639264534,9.466522797272782
602,Brandon Shores,2,8226938.0,21618,689.0,9.864721978952106,9.326747978733698
876,Kincaid Generating Station,1,9994306.0,26188,577.0,9.876369986322478,9.39118478333582
876,Kincaid Generating Station,2,10821924.0,27392,593.0,9.774304888621575,9.23114379780054
879,Powerton,51,5387520.0,19444,411.0,11.04431089363622,10.393724404931971
879,Powerton,52,5258087.0,18638,412.0,11.014551796212324,10.412212168310397
879,Powerton,61,4809489.0,17721,411.0,11.100093852768625,10.484853497510091
879,Powerton,62,4478113.0,16279,411.0,11.022620036956136,10.46998929756291
883,Waukegan,7,2655191.0,11637,345.0,10.16121675386346,9.528049451876178
883,Waukegan,8,2887121.0,11620,373.0,10.990138838037545,11.277350174650172
884,Will County,4,2190162.0,7387,527.0,10.693795624939753,10.646576220927697
983,Clifty Creek,1,6919608.0,45905,216.0,10.106375308593359,9.727537808725929
983,Clifty Creek,2,7668568.0,49648,217.0,10.084162947645897,9.6455685799973
983,Clifty Creek,3,7120461.0,46967,216.0,10.066795309159144,9.554114759445792
983,Clifty Creek,4,7384110.0,48236,216.0,9.764883563879922,9.496362510240981
983,Clifty Creek,5,7709150.0,49648,217.0,9.777770827079545,9.408630539325141
983,Clifty Creek,6,4180581.0,31097,217.0,9.840661954087045,9.4638102238087
1040,Whitewater Valley,1,96895.0,4688,32.0,11.148097911145427,11.172626660108214
1040,Whitewater Valley,2,217475.0,5439,61.0,11.172384142936906,11.035377932647558
1384,John S. Cooper,1,791501.0,10043,115.0,9.839464041682534,9.790582671302994
1384,John S. Cooper,2,2380477.0,14734,225.0,9.63616089192379,9.497882775954757
1554,Herbert A Wagner,2,18918.0,225,123.0,11.674762034267065,13.280483870967743
1554,Herbert A Wagner,3,696542.0,3621,312.0,10.542317082462375,8.855953402386492
1571,Chalk Point,1,904830.0,3646,353.0,11.02344460446342,10.4133282366882
1571,Chalk Point,2,643273.0,2583,353.0,10.832391212221198,10.525817935076557
1572,Dickerson,1,172617.0,1545,175.0,9.633157919577119,9.406034041931477
1572,Dickerson,2,138082.0,1318,184.0,9.786539705674576,9.518523638374344
1572,Dickerson,3,67817.0,643,180.0,9.665346861727231,9.384443611839641
1573,Morgantown,1,3113313.0,8165,630.0,10.114778318296736,9.545799729249836
