plant_code,unit_id,plant_name,plant_class,hsl_mw,lsl_mw,lsl_frac,online_hours,total_hours,online_frac,n_runs,median_run_hours,p75_run_hours
2494,CT02-1,Gowanus Generating Station,CT_PEAKER,14.0,14.0,1.0,163,26304,0.006196776155717762,38,4.0,5.75
2494,CT02-2,Gowanus Generating Station,CT_PEAKER,14.0,14.0,1.0,167,26304,0.006348844282238443,42,3.0,5.0
2494,CT02-3,Gowanus Generating Station,CT_PEAKER,17.0,16.0,0.9411764705882353,228,26304,0.008667883211678832,49,4.0,6.0
2494,CT02-4,Gowanus Generating Station,CT_PEAKER,14.0,12.0,0.8571428571428571,166,26304,0.006310827250608273,41,3.0,5.0
2494,CT02-5,Gowanus Generating Station,CT_PEAKER,15.0,15.0,1.0,201,26304,0.007641423357664234,43,4.0,6.0
2494,CT02-6,Gowanus Generating Station,CT_PEAKER,17.0,16.0,0.9411764705882353,181,26304,0.0068810827250608275,44,3.0,5.0
2494,CT02-7,Gowanus Generating Station,CT_PEAKER,17.0,15.75,0.9264705882352942,236,26304,0.008972019464720194,52,4.0,5.0
2494,CT02-8,Gowanus Generating Station,CT_PEAKER,15.0,12.0,0.8,205,26304,0.007793491484184915,51,3.0,5.0
2494,CT03-1,Gowanus Generating Station,CT_PEAKER,17.0,15.0,0.8823529411764706,462,26304,0.017563868613138685,65,4.0,8.0
2494,CT03-2,Gowanus Generating Station,CT_PEAKER,17.0,15.0,0.8823529411764706,728,26304,0.02767639902676399,86,4.0,10.0
2494,CT03-3,Gowanus Generating Station,CT_PEAKER,17.0,15.0,0.8823529411764706,724,26304,0.02752433090024331,73,5.0,12.0
2494,CT03-4,Gowanus Generating Station,CT_PEAKER,17.0,14.0,0.8235294117647058,477,26304,0.01813412408759124,65,4.0,8.0
2494,CT03-5,Gowanus Generating Station,CT_PEAKER,17.0,16.0,0.9411764705882353,478,26304,0.01817214111922141,58,3.0,7.75
2494,CT03-7,Gowanus Generating Station,CT_PEAKER,17.0,16.0,0.9411764705882353,772,26304,0.029349148418491483,87,5.0,13.0
2494,CT03-8,Gowanus Generating Station,CT_PEAKER,17.0,15.0,0.8823529411764706,455,26304,0.017297749391727495,64,4.0,8.25
2499,CT01-1,Narrows Generating Station,CT_PEAKER,17.0,16.0,0.9411764705882353,614,26304,0.023342457420924573,121,4.0,7.0
2499,CT01-2,Narrows Generating Station,CT_PEAKER,16.0,14.0,0.875,346,26304,0.013153892944038929,73,4.0,7.0
2499,CT01-3,Narrows Generating Station,CT_PEAKER,16.0,15.0,0.9375,403,26304,0.015320863746958638,82,4.0,7.0
2499,CT01-4,Narrows Generating Station,CT_PEAKER,17.0,16.0,0.9411764705882353,537,26304,0.02041514598540146,103,5.0,7.0
2499,CT01-5,Narrows Generating Station,CT_PEAKER,17.0,16.0,0.9411764705882353,685,26304,0.026041666666666668,139,4.0,6.0
