plant_code,plant_name,unit_id,gross_mwh,loaded_hours,cap_mw,hr_gross
913,Venice,CT03,120442.0,465,169.0,9.603384680016804
913,Venice,CT04,141178.0,621,169.0,9.755411328034894
913,Venice,CT05,19429.0,103,108.0,12.61697011676232
913,Venice,CT2A,5097.0,101,26.0,9.317589432654831
913,Venice,CT2B,4749.0,88,26.0,9.230233598409542
976,Marion,5,218509.0,1803,76.0,14.216595985743172
976,Marion,6,238737.0,1932,77.0,14.39490390215492
990,IPL - Harding Street Station (EW Stout),GT4,591933.0,5196,76.0,12.324936489874638
990,IPL - Harding Street Station (EW Stout),GT5,525207.0,4270,76.0,12.368303024712272
990,IPL - Harding Street Station (EW Stout),GT6,1086347.0,5769,168.0,9.863847273560427
1001,Cayuga,4,111129.0,885,90.0,12.657913666598095
1068,Marshalltown CTs,1A,37755.0,668,27.0,12.399895251991001
1068,Marshalltown CTs,1B,71584.0,1449,30.0,12.867763350039434
1068,Marshalltown CTs,2A,118251.0,2327,30.0,12.477586014255442
1068,Marshalltown CTs,2B,122109.0,2445,29.0,12.563652479409347
1068,Marshalltown CTs,3A,65874.0,1187,31.0,11.495732559541755
1068,Marshalltown CTs,3B,80144.0,1527,31.0,11.556885514180708
1206,Summit Lake,1G,19456.0,288,30.0,16.227680406140458
1206,Summit Lake,2G,19043.0,495,31.0,16.078189710382123
1383,Robert Reid,RT,44743.0,212,57.0,15.21249356444139
1400,Teche Power Station,4,28781.0,680,41.0,11.859880190382405
1464,Big Cajun 1,CTG1,220129.0,1549,94.0,12.870534659373448
1464,Big Cajun 1,CTG2,262297.0,1634,93.0,12.76726901986918
1728,Delray,CTG111,179901.0,2380,74.0,11.828363143962036
1728,Delray,CTG121,209488.0,2511,78.0,11.357964889700554
1730,Hancock Peakers,CTG121,36034.0,786,44.0,14.484195966159486
1730,Hancock Peakers,CTG122,27217.0,563,44.0,14.476554508748318
1904,Black Dog,6,2535336.0,7984,219.0,10.341736430429552
1913,Inver Hills,1,47470.0,215,49.0,14.627580244642692
1913,Inver Hills,2,57045.0,434,48.0,14.157498734177214
