plant_code,plant_name,unit_id,gross_mwh,loaded_hours,cap_mw,hr_gross
1660,Potter,4,57786.0,397,57.0,9.150120764762827
1660,Potter,5,63488.0,390,56.0,9.204068360346028
1678,Waters River,1,5547.0,231,19.0,12.234572127139364
1678,Waters River,2,11133.0,163,41.0,12.541348537431826
6635,Alfred L Pierce Generating Station,AP-1,25287.0,154,84.0,11.586236602290779
52026,Dartmouth Power,2,43913.0,2089,21.0,11.174030809944645
55517,"Wallingford Energy, LLC",CT01,61999.0,993,46.0,9.75866475950349
55517,"Wallingford Energy, LLC",CT02,62323.0,973,46.0,10.016152391434861
55517,"Wallingford Energy, LLC",CT03,66433.0,1107,45.0,9.757905451654926
55517,"Wallingford Energy, LLC",CT04,56927.0,916,46.0,10.002196486713581
55517,"Wallingford Energy, LLC",CT05,65714.0,1003,46.0,9.96470784982935
55517,"Wallingford Energy, LLC",CT06,58595.0,929,47.0,9.844138841502227
55517,"Wallingford Energy, LLC",CT07,59376.0,902,47.0,9.912938738406408
56629,Waterbury Generation,10,178130.0,1356,88.0,9.179832302715853
59882,Exelon West Medway II,J4,360662.0,1977,106.0,8.367889317770567
59882,Exelon West Medway II,J5,269473.0,1392,106.0,8.398818342228514
