plant_code,plant_name,unit_id,gross_mwh,loaded_hours,cap_mw,hr_gross
2490,Arthur Kill,CT0001,6934.0,323,16.0,14.949842204923208
2494,Gowanus Generating Station,CT02-1,7437.0,181,19.0,14.174651625746515
2494,Gowanus Generating Station,CT02-2,7657.0,327,18.0,15.002878932316493
2494,Gowanus Generating Station,CT02-3,8582.0,408,18.0,14.971187917513797
2494,Gowanus Generating Station,CT02-4,8055.0,217,20.0,14.932462891698737
2494,Gowanus Generating Station,CT02-5,7773.0,375,17.0,15.162946279612948
2494,Gowanus Generating Station,CT02-6,7508.0,352,18.0,14.801815097540288
2494,Gowanus Generating Station,CT02-7,9321.0,426,19.0,14.980753663642707
2494,Gowanus Generating Station,CT02-8,6279.0,284,17.0,14.618263810597522
2494,Gowanus Generating Station,CT03-1,11228.0,547,17.0,16.66177093788335
2494,Gowanus Generating Station,CT03-2,15815.0,808,17.0,17.01388701327932
2494,Gowanus Generating Station,CT03-3,16602.0,726,19.0,17.268291501896538
2494,Gowanus Generating Station,CT03-4,10990.0,563,17.0,16.595434829754936
2494,Gowanus Generating Station,CT03-5,11433.0,591,17.0,16.539424860853433
2494,Gowanus Generating Station,CT03-7,16073.0,859,17.0,16.802154147433207
2494,Gowanus Generating Station,CT03-8,11096.0,567,17.0,16.1397362447303
2499,Narrows Generating Station,CT01-1,22745.0,1166,17.0,15.464777161634833
2499,Narrows Generating Station,CT01-2,18247.0,981,17.0,15.316223607224623
2499,Narrows Generating Station,CT01-3,21136.0,1111,17.0,15.265199449793673
2499,Narrows Generating Station,CT01-4,20003.0,1050,17.0,15.236071019473084
2499,Narrows Generating Station,CT01-5,25377.0,1285,18.0,15.629149650603503
2499,Narrows Generating Station,CT01-6,15009.0,732,17.0,15.199311341608569
2499,Narrows Generating Station,CT01-7,20151.0,1058,17.0,15.470887366215528
2499,Narrows Generating Station,CT01-8,14820.0,782,17.0,15.112654767647532
2499,Narrows Generating Station,CT02-1,24432.0,1270,18.0,15.370047005165915
2499,Narrows Generating Station,CT02-2,28634.0,1533,17.0,16.20223147047166
2499,Narrows Generating Station,CT02-3,37178.0,2047,17.0,16.36052685859092
2499,Narrows Generating Station,CT02-4,42312.0,2290,18.0,16.52755117786236
2499,Narrows Generating Station,CT02-5,46924.0,2498,19.0,16.451594541000812
2499,Narrows Generating Station,CT02-6,33927.0,1793,17.0,16.736093984335945
2499,Narrows Generating Station,CT02-7,24915.0,1302,17.0,15.37029125321573
2499,Narrows Generating Station,CT02-8,29327.0,1462,17.0,16.25220301400238
2500,Ravenswood Generating Station,CT0010,7668.0,171,22.0,15.153083893598362
2500,Ravenswood Generating Station,CT0011,2693.0,66,20.25,12.26814449917898
2503,59th Street,CT0001,2604.0,160,14.0,15.029732142857142
2511,E F Barrett,U00004,33509.0,1488,14.0,16.301757360875598
2511,E F Barrett,U00005,56463.0,2972,15.0,16.59809516657906
2511,E F Barrett,U00006,40377.0,1839,15.0,16.63432719517697
2511,E F Barrett,U00007,36716.0,1415,16.0,16.913130158098838
2511,E F Barrett,U00008,31726.0,1168,14.0,16.578717006348146
2511,E F Barrett,U00009,38113.0,1448,14.0,16.560553978765903
2511,E F Barrett,U00011,36320.0,1432,14.0,16.658844784526277
2511,E F Barrett,U00012,73949.0,1965,21.0,16.191192187711923
2511,E F Barrett,U00013,71614.0,1859,21.0,16.1032548694334
2511,E F Barrett,U00014,93488.0,3063,21.0,16.160240690281565
2511,E F Barrett,U00015,93486.0,3063,21.0,16.160240690281565
2511,E F Barrett,U00016,96105.0,2705,21.0,15.755453433789594
2511,E F Barrett,U00017,99380.0,2859,21.0,15.777819597663854
2511,E F Barrett,U00018,81431.0,2525,21.0,16.45231265074385
2511,E F Barrett,U00019,82200.0,2560,21.0,16.47154427077855
2517,Port Jefferson Energy Center,UGT002,303928.0,6252,46.0,9.476716833729691
2517,Port Jefferson Energy Center,UGT003,280708.0,5723,46.0,9.67138723211432
2628,Hillburn,001,5639.0,93,36.0,14.995906402339944
2632,Shoemaker,1,4881.0,88,37.0,14.931944573514768
2679,Freeport Power Plant No. 2,5,239289.0,5616,43.0,9.897103265370857
7869,Glenwood Landing Energy Center,UGT012,537926.0,11215,48.0,9.751819134257161
7869,Glenwood Landing Energy Center,UGT013,506847.0,10419,48.0,9.693161903741876
7909,Vernon Boulevard,VB01,363063.0,7977,42.0,9.729155591656578
7909,Vernon Boulevard,VB02,418924.0,9440,41.0,9.769956220014386
7910,23rd and 3rd,2301,373155.0,8206,43.0,9.925138015633191
7910,23rd and 3rd,2302,353163.0,7827,43.0,9.988873769792972
7912,Brentwood,BW01,445558.0,8547,48.0,9.689050989942038
7913,Hell Gate,HG01,395424.0,8600,42.0,9.796011558990514
7913,Hell Gate,HG02,315072.0,6912,42.0,10.098097588742753
7914,Harlem River Yard,HR01,392361.0,8619,42.0,9.760881000928885
7914,Harlem River Yard,HR02,311510.0,6661,43.0,9.63008657663947
7915,North 1st,NO1,433497.0,8610,48.0,9.805192855690265
8053,Pouch Terminal,PT01,472265.0,9348,48.0,9.779050990896472
8906,Astoria Generating Station,CT0001,7531.0,61,20.0,10.747199341021417
50292,Bethpage Energy Center,GT3,1059176.0,21038,48.0,10.09218774353017
55243,Astoria Gas Turbine Power,CT2-1A,8186.0,169,23.0,11.585962877030163
55243,Astoria Gas Turbine Power,CT2-1B,8184.0,169,23.0,11.585962877030163
55243,Astoria Gas Turbine Power,CT2-2A,6569.0,177,22.0,11.859954167860213
55243,Astoria Gas Turbine Power,CT2-2B,6569.0,177,22.0,11.859312320916905
55243,Astoria Gas Turbine Power,CT2-3A,11296.0,244,23.0,11.418810876623375
55243,Astoria Gas Turbine Power,CT2-3B,11285.0,241,23.0,11.442431710823577
55243,Astoria Gas Turbine Power,CT2-4A,9698.0,258,23.0,11.418767990788718
55243,Astoria Gas Turbine Power,CT2-4B,9689.0,258,23.0,11.418767990788718
55243,Astoria Gas Turbine Power,CT3-1A,6991.0,198,22.0,11.743970037453181
55243,Astoria Gas Turbine Power,CT3-1B,6873.0,195,22.0,11.76067529829906
55243,Astoria Gas Turbine Power,CT3-2A,7917.0,212,22.0,11.566296121097446
55243,Astoria Gas Turbine Power,CT3-2B,7914.0,212,22.0,11.565507452093682
55243,Astoria Gas Turbine Power,CT3-3A,8120.0,157,23.0,11.896105919003112
55243,Astoria Gas Turbine Power,CT3-3B,8117.0,156,23.0,11.878376684424943
55243,Astoria Gas Turbine Power,CT3-4A,11956.0,329,22.0,11.494692566534107
55243,Astoria Gas Turbine Power,CT3-4B,11956.0,329,22.0,11.494692566534107
55243,Astoria Gas Turbine Power,CT4-1A,9422.0,261,21.0,12.229978247973106
55243,Astoria Gas Turbine Power,CT4-1B,9441.0,261,21.0,12.229978247973106
55243,Astoria Gas Turbine Power,CT4-2A,8102.0,209,22.0,12.17950251136092
55243,Astoria Gas Turbine Power,CT4-2B,8111.0,209,22.0,12.17950251136092
55243,Astoria Gas Turbine Power,CT4-3A,8821.0,219,22.0,12.12919592298981
55243,Astoria Gas Turbine Power,CT4-3B,8814.0,215,22.0,12.144966597558167
55243,Astoria Gas Turbine Power,CT4-4A,7926.0,192,23.0,12.570312103527025
55243,Astoria Gas Turbine Power,CT4-4B,7923.0,192,23.0,12.570312103527025
55699,Bayswater Peaking Facility,1,544220.0,7455,59.0,10.681067730047108
55699,Bayswater Peaking Facility,2,258724.0,3830,58.0,10.728920875527374
55786,Edgewood Energy,CT01,353435.0,7182,47.0,9.913739012571693
55786,Edgewood Energy,CT02,324398.0,6679,47.0,9.97411988992762
56032,Equus  Power I,0001,485362.0,8658,49.0,9.502848174188824
56964,Bayonne Energy Center,GT1,608547.0,7027,63.0,9.289251513803269
56964,Bayonne Energy Center,GT10,665628.0,7182,64.0,9.389733731838783
56964,Bayonne Energy Center,GT2,457707.0,5582,62.0,9.384341320431496
56964,Bayonne Energy Center,GT3,488818.0,6319,62.0,9.486863905292937
56964,Bayonne Energy Center,GT4,602749.0,7650,63.0,9.317227569443684
56964,Bayonne Energy Center,GT5,513868.0,5912,63.0,9.395769029226955
56964,Bayonne Energy Center,GT6,425402.0,5189,62.0,9.390487522606373
56964,Bayonne Energy Center,GT7,593161.0,7399,63.0,9.23552644336915
56964,Bayonne Energy Center,GT8,641852.0,7931,64.0,9.219535624708723
56964,Bayonne Energy Center,GT9,658278.0,7263,64.0,9.4345284107503
