plant_code,plant_name,n_units,class_capacity_mw,gross_mwh,loaded_hours,parasitic_factor,heat_rate_gross,heat_rate,model_heat_rate_egrid,model_over_measured,flag,iso,years,source
55279,Aurora,10,990.2,1357793.0,15237,0.93497,9.4775,10.1366,9.7158,0.9585,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55401,Rolling Hills Generating LLC,4,925.0,5328191.0,25270,0.97,10.8478,11.1833,10.9284,0.9772,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55198,Riverside Generating Company,5,825.0,1855015.0,6752,0.949444,11.1181,11.7101,11.5056,0.9825,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
7839,Ladysmith Combustion Turbine Sta,5,788.9,2746638.0,12300,0.964262,9.828,10.1923,10.1934,1.0001,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
54,Smith Generating Facility,9,755.6,2065406.0,9727,0.963362,11.3668,11.7991,12.4558,1.0557,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55348,"Troy Energy, LLC",4,704.41,3136302.0,14779,0.97,10.3523,10.6725,10.716,1.0041,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55236,"Lee County Generating Station, LLC",8,676.8,291582.0,1028,0.97,12.5758,12.9647,14.1996,1.0952,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
55347,"Armstrong Power, LLC",4,670.7,3611808.0,17674,0.956201,10.1409,10.6054,10.4229,0.9828,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
7835,Rock Springs Generating Facility,4,666.7,849575.0,4457,0.97,10.222,10.5381,10.3571,0.9828,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
7838,Remington Combustion Turbine Station,4,613.7,2527391.0,9827,0.968584,9.2484,9.5484,9.877,1.0344,ok,PJM,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad + heatInput (data/raw/campd-unit-level), unitType == 'Combustion turbine'; per unit heat_rate = sum(heatInput)/sum(grossLoad) over hours >= 0.8 x p95.0 of that unit's gross load (>= 50 qualifying hours), converted to a NET basis by the committed parasitic factor (parasitic_load_factors.parquet, the same map the benchmark's net actual uses; class default 0.01); plant value is the generation-weighted mean across its turbines. Physical band [6.0, 25.0] MMBtu/MWh flags meter defects; only flag=='ok' rows are applied."
