plant_code,plant_name,unit_id,gross_mwh,loaded_hours,cap_mw,hr_gross
54,Smith Generating Facility,SCT1,479047.0,2867,119.0,12.892253482355308
54,Smith Generating Facility,SCT10,620247.0,3505,95.0,8.691875458674653
54,Smith Generating Facility,SCT2,404995.0,2077,125.0,12.871519676533493
54,Smith Generating Facility,SCT3,404770.0,2140,124.0,12.695320750876688
54,Smith Generating Facility,SCT4,388634.0,1680,83.0,12.582086717832249
54,Smith Generating Facility,SCT5,379440.0,2609,74.0,12.466421299435027
54,Smith Generating Facility,SCT6,375919.0,2581,75.0,12.510176255790613
54,Smith Generating Facility,SCT7,376013.0,2401,76.0,12.525297555626134
54,Smith Generating Facility,SCT9,688081.0,3573,94.0,8.673586035043199
1556,Perryman,**51,785977.0,4524,162.0,11.166334827535186
1556,Perryman,6-1,541402.0,7750,62.0,9.856535935577933
1556,Perryman,6-2,403550.0,5978,62.0,9.80809714150441
1556,Perryman,CT1,24104.0,315,52.0,13.946157651535744
1556,Perryman,CT3,16395.0,213,51.0,14.50272907488987
1556,Perryman,CT4,19787.0,266,52.0,14.247254025764898
1560,Westport,CT5,57607.0,396,119.0,14.960133265954376
1571,Chalk Point,**GT3,26178.0,159,88.0,13.793178485994291
1571,Chalk Point,**GT4,37158.0,259,92.39999999999998,13.094182672378057
1571,Chalk Point,**GT5,52574.0,183,116.0,12.387525396180413
1571,Chalk Point,**GT6,57983.0,266,114.0,12.198358558942656
1571,Chalk Point,SMECO,13789.0,112,81.94999999999999,14.474023789498977
1572,Dickerson,GT2,583265.0,2324,150.0,11.645221622283065
1572,Dickerson,GT3,616948.0,2414,151.0,11.545516454610937
2379,Carlls Corner Energy Center,002001,16983.0,418,34.0,19.109971041715582
2379,Carlls Corner Energy Center,003001,18279.0,464,34.0,18.244152646696758
2393,Gilbert Generating Station,9,112706.0,444,160.0,10.332977186831203
2399,Burlington Generating Station,121,67916.0,1248,45.0,9.350596677933366
2399,Burlington Generating Station,122,67544.0,1166,47.0,9.20316873254716
2399,Burlington Generating Station,123,69436.0,1240,46.0,9.126403467506355
2399,Burlington Generating Station,124,72234.0,1306,46.0,9.47769178645139
2401,Essex,35001,8426.0,81,79.0,12.722720532003326
2404,Kearny Generating Station,121,82644.0,847,48.0,9.717420361335977
2404,Kearny Generating Station,122,77775.0,908,47.19999999999982,9.681790752978872
2404,Kearny Generating Station,123,98975.0,1141,48.0,9.9099493802479
2404,Kearny Generating Station,124,90991.0,1004,45.0,10.09635443333645
2404,Kearny Generating Station,131,161690.0,1124,46.0,9.730387062937062
2404,Kearny Generating Station,132,146308.0,1223,44.0,9.881641802763818
2404,Kearny Generating Station,133,153518.0,1134,44.0,9.646765760223994
2404,Kearny Generating Station,134,148860.0,1156,44.0,9.676525162304097
2404,Kearny Generating Station,141,222781.0,1738,45.0,9.755158403505169
2404,Kearny Generating Station,142,200881.0,1534,46.0,9.54474914410678
2406,Linden Generating Station,5,84272.0,681,88.0,11.467256514642703
2406,Linden Generating Station,6,84299.0,751,86.0,11.524824661575844
2406,Linden Generating Station,7,87362.0,805,83.0,11.811658759246805
2406,Linden Generating Station,8,78697.0,711,80.70000000000005,12.23029643108711
2434,Howard M Down,U11,528591.0,8045,61.0,9.531680410818625
2847,Frank M Tait Station,1,512673.0,3720,84.0,12.992973250259162
2847,Frank M Tait Station,2,542813.0,3686,85.0,12.676046367184972
2847,Frank M Tait Station,3,1199113.0,13572,79.0,12.640717433176318
2848,O H Hutchings,H-7,5027.0,196,25.0,21.369122448979596
2869,West Lorain,1A,6274.0,59,54.25,20.63624250499667
2869,West Lorain,1B,6325.0,53,58.39999999999998,19.26280041797283
2869,West Lorain,2,1040567.0,10523,87.0,11.821572851182678
2869,West Lorain,3,1007581.0,9665,88.0,11.840468317586666
2869,West Lorain,4,1071320.0,11316,85.0,11.947822083234673
2869,West Lorain,5,1031428.0,9872,86.0,11.937214365187618
2869,West Lorain,6,1088056.0,10850,87.0,11.745614650609198
2880,Richland Peaking Station,CTG4,762512.0,4232,120.0,12.5252129267297
2880,Richland Peaking Station,CTG5,742479.0,3948,120.0,12.68322547369444
2880,Richland Peaking Station,CTG6,640558.0,3144,120.0,12.570838253225736
3132,Warren,005,73172.0,759,64.0,13.89459362532237
5083,Cumberland Energy Center,004001,136646.0,936,89.0,13.063334125152707
5083,Cumberland Energy Center,05001,508017.0,3942,105.0,8.756129461417023
7032,Gravel Neck Combustion Turbine,3,152656.0,1224,77.0,13.61448382834492
7032,Gravel Neck Combustion Turbine,4,127068.0,889,82.0,13.833190571607751
7032,Gravel Neck Combustion Turbine,5,191803.0,1650,76.0,13.604697479210659
7032,Gravel Neck Combustion Turbine,6,156905.0,1190,79.0,13.478087929030849
7138,Forked River Power,002001,33995.0,792,37.0,13.136734615971903
7138,Forked River Power,003001,27722.0,644,37.0,12.908367414092982
7158,Woodsdale,**GT1,209296.0,1292,75.0,12.789962256126154
7158,Woodsdale,**GT2,256989.0,1564,76.0,12.870773116864642
