plant_code,plant_name,n_units,n_runs,median_run_hours,mean_run_hours,p90_run_hours,years,source
341,Long Beach Generating Station,4,118,4.5,5.559322033898305,11.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
422,Glenarm,2,560,4.0,11.069642857142858,16.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
7449,NCPA Combustion Turbine Project #2,1,67,6.0,6.3283582089552235,9.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
10349,Yuba City Energy Center,1,432,6.0,9.953703703703704,16.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
10350,Greenleaf One,2,137,3.0,3.510948905109489,7.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
10649,Bear Mountain Limited,1,320,9.0,10.2625,15.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
10650,Badger Creek Limited,1,122,9.0,11.163934426229508,14.900000000000006,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
10776,E. F. Oxnard Energy Facility,1,144,4.0,5.375,8.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
50612,McKittrick Limited,1,141,9.0,11.049645390070921,16.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
50865,Salinas River Cogeneration Facility,1,40,215.0,567.325,1667.3000000000004,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
54768,Live Oak Limited,1,218,8.0,8.94954128440367,13.300000000000011,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55499,CalPeak Power - Vaca Dixon,1,206,3.0,3.1893203883495147,5.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55508,CalPeak Power - Panoche,1,302,3.0,4.152317880794702,7.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55510,CalPeak Power - Border,1,470,3.0,3.6936170212765957,7.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55512,Cuyamaca Peak Energy,1,170,4.0,6.3352941176470585,10.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55513,CalPeak Power - Enterprise,1,187,2.0,2.9679144385026737,5.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55538,"Escondido Energy Center, LLC",1,293,3.0,4.037542662116041,7.800000000000011,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55540,Chula Vista Energy Center,2,194,2.0,2.463917525773196,4.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55541,Indigo Generation Facility,3,501,4.0,4.125748502994012,7.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55542,Larkspur Energy Facility,2,700,3.0,4.267142857142857,8.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55625,Creed Energy Center,1,184,3.0,3.7119565217391304,6.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
55626,Lambie Energy Center,1,241,3.0,4.145228215767635,7.0,2023-2024-2025,"EPA CAMPD unit-level hourly grossLoad (data/raw/campd-unit-level), simple-cycle CT units, online >= 1.0 MW"
