plant_code,bucket,pmax_obs_mw,n_online_hours,ramp_up_mw,ramp_dn_mw,basis
0,CC,,23,0.4871,0.6644,class_fraction
260,CC,1066.0,19058,557.0,553.0,plant
358,CC,1150.0,12488,574.0,731.0,plant
422,CC,68.0,955,49.0,57.0,sparse
10034,CC,119.0,1631,73.0,96.0,sparse
10156,CC,49.0,363,45.0,41.0,sparse
10169,CC,41.0,1600,33.0,36.0,sparse
10294,CC,121.0,1480,82.0,100.0,sparse
10405,CC,25.0,965,18.0,17.0,sparse
54749,CC,52.0,928,35.0,40.0,sparse
55151,CC,1025.0,16077,545.0,681.0,plant
55182,CC,619.0,17389,555.0,442.0,plant
55217,CC,634.0,22609,250.0,363.0,plant
55295,CC,518.0,10881,210.0,334.0,plant
55333,CC,889.0,17293,261.0,538.0,plant
55345,CC,622.0,15269,289.0,419.0,plant
55393,CC,601.0,17788,263.0,356.0,plant
55400,CC,539.0,22931,186.0,400.0,plant
55518,CC,891.0,17062,571.0,612.0,plant
55656,CC,739.0,21581,335.0,460.0,plant
55748,CC,310.0,4771,151.0,208.0,plant
55933,CC,346.0,11877,241.0,211.0,plant
55985,CC,570.0,9665,295.0,509.0,plant
56026,CC,152.0,22389,69.0,104.0,plant
56041,CC,151.0,22799,63.0,68.0,plant
56467,CC,631.0,12320,282.0,390.0,plant
56476,CC,582.0,20032,303.0,334.0,plant
56532,CC,656.0,17651,274.0,475.0,plant
57564,CC,40.0,1151,27.0,35.0,sparse
57978,CC,203.0,9941,127.0,140.0,plant
62115,CC,691.0,13532,486.0,610.0,plant
62116,CC,692.0,14166,482.0,575.0,plant
0,CT,,5,0.9083,0.8601,class_fraction
341,CT,244.0,502,169.0,101.0,sparse
422,CT,92.0,4898,80.0,62.0,plant
7449,CT,49.0,424,32.0,44.0,sparse
10294,CT,47.0,1088,43.0,42.0,sparse
10349,CT,49.0,4300,47.0,44.0,plant
10350,CT,60.0,360,49.0,37.0,sparse
10649,CT,49.0,3284,34.0,40.0,sparse
10650,CT,48.0,1362,39.0,38.0,sparse
10776,CT,49.0,774,34.0,35.0,sparse
50612,CT,47.0,1558,33.0,39.0,sparse
50865,CT,38.0,22693,33.0,25.0,plant
54768,CT,48.0,1951,39.0,39.0,sparse
55499,CT,51.0,657,47.0,40.0,sparse
55508,CT,52.0,1254,49.0,40.0,sparse
55510,CT,50.0,1736,44.0,43.0,sparse
55512,CT,45.0,1077,39.0,37.0,sparse
55513,CT,47.0,555,45.0,39.0,sparse
55538,CT,50.0,1183,45.0,43.0,sparse
55540,CT,40.0,239,35.0,28.0,sparse
55541,CT,138.0,996,127.0,97.0,sparse
55542,CT,96.0,2146,84.0,82.0,sparse
55625,CT,50.0,683,44.0,45.0,sparse
55626,CT,48.0,999,42.0,43.0,sparse
55627,CT,49.0,1192,44.0,42.0,sparse
55698,CT,100.0,344,81.0,54.0,sparse
55807,CT,98.0,418,82.0,85.0,sparse
55810,CT,145.0,1851,125.0,129.0,sparse
55847,CT,49.0,4990,45.0,43.0,plant
55855,CT,50.0,748,47.0,43.0,sparse
55951,CT,45.0,749,41.0,40.0,sparse
55963,CT,50.0,2027,47.0,44.0,sparse
56143,CT,198.0,2124,183.0,177.0,sparse
56232,CT,88.0,864,81.0,71.0,sparse
56239,CT,96.0,904,91.0,76.0,sparse
56471,CT,50.0,768,46.0,40.0,sparse
56472,CT,48.0,932,45.0,41.0,sparse
56473,CT,49.0,796,45.0,41.0,sparse
56474,CT,50.0,1650,45.0,40.0,sparse
56475,CT,49.0,964,45.0,42.0,sparse
56639,CT,119.0,692,101.0,99.0,sparse
56803,CT,436.0,11067,396.0,375.0,plant
56914,CT,102.0,1046,93.0,95.0,sparse
57001,CT,50.0,1541,46.0,43.0,sparse
57027,CT,200.0,2875,166.0,137.0,sparse
57267,CT,800.0,1371,634.0,656.0,sparse
57482,CT,839.0,3868,761.0,625.0,sparse
57483,CT,203.0,2489,189.0,177.0,sparse
57515,CT,518.0,3629,462.0,465.0,sparse
57555,CT,344.0,1898,298.0,297.0,sparse
58122,CT,50.0,596,49.0,41.0,sparse
60698,CT,89.0,362,89.0,62.0,sparse
0,ST,,2,0.6882,0.4097,class_fraction
315,ST,1121.0,6101,422.0,358.0,plant
335,ST,238.0,2494,161.0,169.0,sparse
350,ST,1426.0,1377,447.0,726.0,sparse
54238,ST,54.0,23046,54.0,27.0,plant
