plant_code,bucket,pmax_obs_mw,n_online_hours,ramp_up_mw,ramp_dn_mw,basis
0,CC,,27,0.5,0.5904,class_fraction
2493,CC,445.0,26279,169.0,215.0,plant
2500,CC,279.0,23643,136.0,223.0,plant
2539,CC,930.0,24635,480.0,559.0,plant
2682,CC,45.0,3913,33.0,23.0,sparse
7314,CC,112.0,11027,54.0,62.0,plant
10190,CC,77.0,5920,57.0,59.0,plant
10617,CC,101.0,436,43.0,43.0,sparse
10620,CC,66.0,324,37.0,43.0,sparse
10621,CC,100.0,1246,49.0,64.0,sparse
10725,CC,429.0,2724,141.0,192.0,sparse
50006,CC,1272.0,26296,350.0,307.0,plant
50292,CC,141.0,22508,79.0,88.0,plant
50449,CC,59.0,4830,43.0,39.0,plant
50450,CC,62.0,4373,58.0,42.0,plant
50451,CC,59.0,2832,46.0,44.0,sparse
50458,CC,139.0,12028,125.0,124.0,plant
50744,CC,46.0,633,29.0,33.0,sparse
50978,CC,83.0,9078,49.0,49.0,plant
52168,CC,26.0,9972,13.0,17.0,plant
54034,CC,81.0,1701,45.0,59.0,sparse
54041,CC,157.0,4892,55.0,78.0,plant
54076,CC,85.0,2470,42.0,57.0,sparse
54114,CC,142.0,21877,55.0,65.0,plant
54131,CC,50.0,14660,45.0,27.0,plant
54547,CC,1211.0,22627,611.0,593.0,plant
54574,CC,264.0,11638,129.0,140.0,plant
54592,CC,57.0,1060,54.0,43.0,sparse
54593,CC,45.0,658,28.0,31.0,sparse
54914,CC,241.0,25678,80.0,118.0,plant
55375,CC,626.0,25016,372.0,449.0,plant
55405,CC,1124.0,15549,384.0,488.0,plant
56188,CC,81.0,4500,45.0,48.0,plant
56196,CC,700.0,22857,345.0,449.0,plant
56234,CC,373.0,22587,144.0,213.0,plant
56259,CC,652.0,22313,299.0,404.0,plant
56940,CC,722.0,22953,233.0,342.0,plant
57185,CC,1133.0,23740,683.0,445.0,plant
57664,CC,626.0,24329,416.0,454.0,plant
0,CT,,14,0.9173,0.895,class_fraction
2494,CT,255.0,1758,255.0,190.0,sparse
2499,CT,272.0,2765,270.0,238.0,sparse
2511,CT,241.0,7734,221.0,201.0,plant
2514,CT,101.0,323,81.0,78.0,sparse
2517,CT,91.0,4009,87.0,70.0,plant
2628,CT,39.0,158,36.0,34.0,sparse
2632,CT,40.0,128,36.0,32.0,sparse
2679,CT,58.0,2475,42.0,39.0,sparse
7146,CT,269.0,876,191.0,150.0,sparse
7869,CT,96.0,7058,89.0,86.0,plant
7909,CT,84.0,7053,76.0,77.0,plant
7910,CT,86.0,5050,78.0,79.0,plant
7912,CT,48.0,3372,44.0,43.0,sparse
7913,CT,85.0,6579,79.0,76.0,plant
7914,CT,85.0,6761,78.0,77.0,plant
7915,CT,49.0,5282,44.0,45.0,plant
8007,CT,452.0,1551,368.0,284.0,sparse
8053,CT,48.0,4866,45.0,42.0,plant
50292,CT,49.0,11630,45.0,45.0,plant
54149,CT,84.0,23490,50.0,51.0,plant
55699,CT,119.0,5831,103.0,97.0,plant
55786,CT,96.0,3486,90.0,87.0,sparse
55787,CT,95.0,559,85.0,72.0,sparse
55969,CT,58.0,1691,53.0,49.0,sparse
56032,CT,50.0,4621,47.0,45.0,plant
56964,CT,648.0,10237,510.0,579.0,plant
0,ST,,8,0.419,0.4437,class_fraction
2480,ST,322.0,774,149.0,164.0,sparse
2490,ST,901.0,21313,390.0,403.0,plant
2500,ST,1704.0,8511,765.0,713.0,plant
2511,ST,386.0,24333,168.0,180.0,plant
2516,ST,1582.0,25352,641.0,636.0,plant
2517,ST,377.0,8194,137.0,140.0,plant
2527,ST,113.0,24950,58.0,54.0,plant
2594,ST,1218.0,678,623.0,545.0,sparse
2625,ST,1169.0,7871,454.0,574.0,plant
8006,ST,1226.0,3847,415.0,471.0,sparse
8906,ST,1677.0,18477,632.0,738.0,plant
