plant_code,plant_name,unit_id,gross_mwh,steady_hours,cap_mw,pair_ratio,hr_gross,hr_gross_hsl
1217,Earl F Wisdom,1,31984.0,1823,35.0,0.9333333333333333,13.390009449639935,13.259193499849534
1230,Cimarron River,1,125452.0,4364,51.0,0.9788867562380038,12.563164511060076,11.939203010847908
1233,Fort Dodge aka Judson Large,4,309090.0,5633,141.0,0.9482178883658373,11.02656633457394,10.375068648444389
1235,Great Bend Station aka Arthur Mullergren,3,142764.0,4171,71.0,0.7114228456913828,11.39366671372106,10.460886677075202
1271,Coffeyville,4,90497.0,4938,23.0,0.6216216216216216,11.680600049423765,11.507665447289659
1336,Garden City,S-2,220965.0,5710,90.0,0.9249743062692704,10.627236101753557,10.204755696522737
1416,Arsenal Hill Power Plant,5A,754164.0,14830,105.0,0.9545454545454546,11.845414240985436,11.26675478681219
1417,Lieberman Power Plant,3,445689.0,11299,64.0,0.64,11.721354036590183,11.166465363226894
1417,Lieberman Power Plant,4,481423.0,11004,71.0,0.6574074074074074,10.773384522474336,11.257306342260902
2132,Blue Valley,3,25171.0,1447,23.0,0.45098039215686275,11.966703830887928,11.270940695296522
2226,Canaday,1,132683.0,4998,67.0,0.67472306143001,12.210720202119532,11.875811739217195
2291,North Omaha Station,1,53791.0,1297,65.0,1.0317460317460319,12.342110173848468,11.76521142229544
2291,North Omaha Station,2,93147.0,1761,85.0,0.9081196581196582,12.15958203402812,11.515449884296022
2291,North Omaha Station,3,489330.0,8428,84.0,1.0071942446043165,12.043779797611796,11.603742772470104
2446,Maddox,051B,3479852.0,46103,117.0,1.0,10.258274667220125,10.087643933071233
2454,Cunningham,121B,715247.0,14643,64.0,0.9014084507042254,10.649733818291654,10.317486482427155
2454,Cunningham,122B,5033558.0,40414,191.0,1.0437158469945356,9.801643527917824,9.54899807780085
2951,Horseshoe Lake,6,1286750.0,12463,171.0,0.8104265402843602,11.99070940054645,11.25544025359698
2951,Horseshoe Lake,8,2003485.0,11556,363.0,0.9628647214854111,11.796357222654523,10.915479070864283
2952,Muskogee,4,4502836.0,15375,489.0,0.9959266802443992,10.756989053192047,10.35796245261702
2952,Muskogee,5,4828236.0,15572,508.0,1.0200803212851406,10.638917739899306,10.072976150466237
2956,Seminole (2956),1,3814833.0,16212,497.0,0.994,10.855040217261282,10.44565531839396
2956,Seminole (2956),2,4958056.0,19755,515.0,1.0127826941986233,10.501873713616314,10.078095207230989
2956,Seminole (2956),3,6260540.0,24051,518.0,1.0097465886939572,10.392223274798104,9.615584351939093
2963,Northeastern,3302,5300789.0,20673,418.0,0.9631336405529954,11.817555340246045,11.216110476121225
2964,Southwestern,8002,541006.0,21223,71.0,0.8987341772151899,12.365539789232303,11.355114665459196
2964,Southwestern,8003,3605012.0,34556,313.0,1.0064308681672025,11.249935693956028,10.489626236022245
2964,Southwestern,801N,132779.0,9211,26.0,0.4642857142857143,12.61448224287417,11.404229523734303
2965,Tulsa,1402,1054093.0,25246,119.0,0.725609756097561,11.499961989407073,10.709025343334966
2965,Tulsa,1404,1102834.0,30148,116.0,0.7341772151898734,12.132297208402255,11.23005900370968
3008,Mooreland,1,115357.0,2863,49.0,0.98,10.94673464940951,10.8846996233156
3008,Mooreland,2,335122.0,7284,117.0,0.8357142857142857,10.128034352686385,9.527718507328817
3008,Mooreland,3,280827.0,6098,109.0,0.8257575757575758,10.772318062296646,10.046968212340413
3476,Knox Lee Power Plant,3,2642.0,223,12.0,0.48,16.878084351596375,16.006721698113207
3476,Knox Lee Power Plant,5,2262226.0,19807,289.0,0.8450292397660819,10.440436778194973,9.845048745963792
3477,Lone Star Power Plant,1,12768.0,714,27.0,0.54,12.885005113681064,12.13655268022181
3478,Wilkes Power Plant,1,1563851.0,31141,129.0,0.7413793103448276,11.57898035682822,10.379939047241145
3478,Wilkes Power Plant,2,2418694.0,22659,339.0,0.9576271186440678,10.841528690508474,9.692129346838831
3478,Wilkes Power Plant,3,3045134.0,25829,362.0,1.019718309859155,9.860489419627307,9.21227470230254
3482,Jones Station,151B,6101281.0,40744,255.0,1.0493827160493827,10.010607933696969,9.844644081529776
3482,Jones Station,152B,5534162.0,39117,255.0,1.0493827160493827,10.29771472317691,10.057747406913544
3484,Nichols Station,141B,2258129.0,40558,111.0,1.0373831775700935,9.648492613126052,9.035808324509178
3484,Nichols Station,142B,2468501.0,44651,109.0,1.028301886792453,10.796257160383261,10.28093984914611
3484,Nichols Station,143B,4222304.0,39946,254.0,1.040983606557377,10.705519311188446,10.564056823248006
3485,Plant X,111B,182507.0,5401,41.0,1.0789473684210527,13.711178480025483,13.02458379961592
3485,Plant X,112B,392897.0,6467,73.0,0.8111111111111111,11.213184912284284,11.11782126996675
3485,Plant X,113B,255089.0,3442,98.0,1.053763440860215,10.676370886946271,11.064145147855061
3485,Plant X,114B,4127782.0,34833,196.0,1.0315789473684212,9.90433216436779,9.45579856735829
4940,Riverside (4940),1501,2166148.0,11271,404.0,0.8898678414096917,11.831398433924965,10.987907418022255
4940,Riverside (4940),1502,2972572.0,16598,418.0,0.9186813186813186,11.807126233419192,11.112108256431569
6193,Harrington Station,061B,7972577.0,35830,362.0,1.0647058823529412,10.003127122693645,10.207209358792438
6193,Harrington Station,062B,8659587.0,38770,359.0,1.0589970501474926,9.957420787103358,9.539403221789305
6193,Harrington Station,063B,9483671.0,41513,359.0,1.0589970501474926,10.121320751788778,10.12244262658892
7013,East 12th Street,4,45255.0,2909,17.0,0.6589147286821705,12.764551983206276,12.740276269755098
