plant_code,name,status,nameplate_mw,online_hours,window_hours,online_frac,p0,p1,p5,p10,p25,median,committed_pct
3441,Nueces Bay,ok,730.2,2070.0,5088.0,0.407,5.0,6.0,11.5,18.3,36.2,50.8,11.5
3443,Victoria,ok,376.9,1451.0,5088.0,0.285,5.3,9.3,44.7,44.7,44.9,52.8,44.7
3469,T H Wharton,ok,1189.9,1119.0,5088.0,0.22,5.3,6.1,8.4,9.4,16.5,31.6,8.4
3631,Sam Rayburn,ok,192.8,2002.0,5088.0,0.393,5.1,6.1,8.1,12.6,24.3,39.4,8.1
4937,Thomas C Ferguson,ok,574.6,4521.0,5088.0,0.889,5.1,17.4,33.3,36.3,51.6,56.0,33.3
4939,Barney M Davis [CC],ok,730.0,2330.0,5088.0,0.458,5.1,7.2,7.7,11.4,34.8,44.8,7.7
7900,Sand Hill,ok,696.4,4425.0,5088.0,0.87,5.3,13.7,17.9,19.8,25.1,31.6,17.9
50109,Paris Energy Center,ok,265.6,2417.0,5088.0,0.475,5.1,15.2,28.8,41.2,58.2,79.5,28.8
54817,Johnson County,ok,282.6,2737.0,5088.0,0.538,5.8,20.4,36.7,37.1,50.3,78.5,36.7
55062,Tenaska Frontier Generation Station,ok,939.7,4365.0,5088.0,0.858,5.3,16.7,25.7,33.1,48.7,71.6,25.7
55086,Gregory Power Plant,ok,469.8,754.0,5088.0,0.148,6.0,10.8,21.0,21.6,22.4,29.8,21.0
55091,Midlothian Energy Facility,ok,1734.0,3027.0,5088.0,0.595,5.4,7.0,12.1,13.2,26.8,65.8,12.1
55097,Lamar Power Project,ok,1112.6,4089.0,5088.0,0.804,5.1,10.0,31.2,44.8,64.2,70.2,31.2
55098,Frontera Energy Center,ok,529.0,1621.0,5088.0,0.319,5.4,8.0,40.3,59.1,59.4,66.0,40.3
55123,Magic Valley Generating Station,ok,801.0,3091.0,5088.0,0.608,5.6,17.2,27.9,37.3,51.2,66.2,27.9
55132,Tenaska Gateway Generating Station,ok,939.6,2282.0,5088.0,0.449,5.0,5.5,15.2,16.8,32.6,53.1,15.2
55137,Rio Nogales Power Project,ok,940.2,3481.0,5088.0,0.684,5.1,33.7,37.8,49.6,54.1,74.6,37.8
55139,Wolf Hollow I LP,ok,788.4,3063.0,5088.0,0.602,5.3,11.9,38.6,40.2,73.7,81.5,38.6
55144,Hays Energy Project,ok,989.0,3805.0,5088.0,0.748,5.7,12.1,23.3,31.2,54.8,84.1,23.3
55153,Guadalupe Generating Station,ok,1088.2,4842.0,5088.0,0.952,5.7,19.5,44.1,58.4,70.0,87.3,44.1
55168,Bastrop Energy Center,ok,618.7,3697.0,5088.0,0.727,5.1,15.3,32.4,43.7,72.6,87.3,32.4
55172,Thad Hill Energy Center,ok,807.0,4501.0,5088.0,0.885,5.1,14.8,37.3,47.9,59.1,77.0,37.3
55215,Odessa-Ector Power Plant,ok,1152.8,4529.0,5088.0,0.89,5.1,15.2,26.4,39.0,62.9,88.8,26.4
55223,Ennis Power Company LLC,ok,418.0,2759.0,5088.0,0.542,5.4,11.2,42.5,72.1,74.6,76.0,42.5
55226,Freestone Energy Center,ok,1036.0,5087.0,5088.0,1.0,10.9,33.3,40.9,50.3,73.2,92.8,40.9
55230,Jack County,ok,1280.0,4524.0,5088.0,0.889,5.1,13.3,18.1,28.5,48.1,57.9,18.1
55320,Wise County Power LLC,ok,821.7,3105.0,5088.0,0.61,5.3,7.6,25.3,36.8,67.9,79.4,25.3
55480,Forney Energy Center,ok,1894.2,4348.0,5088.0,0.855,5.1,11.8,30.2,40.4,58.9,81.2,30.2
56349,Quail Run Energy Center,ok,550.4,3275.0,5088.0,0.644,5.1,13.1,22.7,31.5,59.9,66.8,22.7
56350,Colorado Bend Energy Center,ok,654.1,3816.0,5088.0,0.75,5.0,13.3,27.3,33.0,49.8,65.1,27.3
56806,Cedar Bayou 4,ok,535.5,3225.0,5088.0,0.634,5.1,7.3,20.9,22.2,31.0,44.1,20.9
58001,Temple Power Station,ok,1606.4,4862.0,5088.0,0.956,5.1,29.4,30.5,33.2,42.9,61.8,30.5
58005,Rayburn Energy Station LLC,ok,803.2,3141.0,5088.0,0.617,6.1,23.1,36.2,42.5,54.5,61.6,36.2
59812,Wolf Hollow II,ok,1231.2,4330.0,5088.0,0.851,5.4,22.6,32.3,38.7,71.6,77.4,32.3
60122,Colorado Bend II,ok,1230.3,4650.0,5088.0,0.914,5.0,31.4,36.6,54.7,77.7,84.5,36.6
