plant_code,leg,hsl_mw,night_p50,day_p50,n_night,n_day
889,MER,1281.0,0.4692,0.847,6224,6220
997,REG,438.0,0.758,0.8311,3400,3396
1082,REG,1597.0,0.4577,0.5279,5276,5344
1091,REG,545.0,0.345,0.9394,2735,2826
1167,REG,229.0,0.2402,0.5808,5161,5192
1393,REG,558.0,0.4534,0.8728,3485,3552
1710,REG,1471.0,0.6254,0.7009,6534,6531
1733,REG,3205.0,0.464,0.6418,6576,6576
1893,REG,1010.0,0.5505,0.7109,6434,6448
1915,REG,550.0,0.7391,0.9527,1440,1452
2103,REG,2578.5,0.5936,0.8094,6572,6570
2107,REG,913.0,0.4765,0.4995,5149,5213
4041,REG,1072.0,0.2799,0.4604,4902,4908
4050,REG,421.0,0.4276,0.9097,5494,5482
4078,REG,970.0,0.4021,0.6155,6115,6126
4271,REG,404.0,0.3193,0.4084,4854,4872
6009,REG,1707.0,0.1646,0.4162,4376,4398
6017,MER,669.0,0.432,0.8804,5894,5906
6034,REG,1509.0,0.4447,0.5765,6155,6155
6055,MER,1091.0,0.2924,0.4766,3783,3846
6090,REG,1661.0,0.4401,0.5406,6270,6270
6098,REG,496.0,0.2883,0.5181,5405,5442
6190,REG,1209.0,0.239,0.3916,6175,6194
6254,REG,755.0,0.445,0.9225,4140,4176
6641,REG,1749.0,0.2853,0.502,5540,5550
6664,REG,804.0,0.4577,0.9925,4885,4916
7343,REG,699.0,0.3891,0.8856,2069,2119
8023,REG,1173.0,0.3095,0.6027,6536,6531
56068,REG,1336.0,0.5793,0.7448,6254,6247
56456,MER,737.0,0.4925,0.867,5453,5475
