scope,nl_bin,nl_pct_lo,nl_pct_hi,n,p25,median,p75
pooled,0,0.0,0.05,18902,150.0,1500.0,1500.0
pooled,1,0.05,0.1,19221,150.0,1500.0,1500.0
pooled,2,0.1,0.15,18294,150.0,1500.0,1500.0
pooled,3,0.15,0.2,17822,150.0,1500.0,1500.0
pooled,4,0.2,0.25,18252,150.0,1500.0,1500.0
pooled,5,0.25,0.3,17653,150.0,1500.0,1500.0
pooled,6,0.3,0.35,17314,150.0,1500.0,1500.0
pooled,7,0.35,0.4,17587,150.0,1500.0,1500.0
pooled,8,0.4,0.45,17697,150.0,1500.0,1500.0
pooled,9,0.45,0.5,17515,150.0,1500.0,1500.0
pooled,10,0.5,0.55,17977,150.0,1500.0,1500.0
pooled,11,0.55,0.6,17918,150.0,1500.0,1500.0
pooled,12,0.6,0.65,17938,150.0,1500.0,1500.0
pooled,13,0.65,0.7,18710,150.0,1500.0,1500.0
pooled,14,0.7,0.75,19022,150.0,1500.0,1500.0
pooled,15,0.75,0.8,20464,150.0,1500.0,1500.0
pooled,16,0.8,0.85,21638,150.0,1500.0,1500.0
pooled,17,0.85,0.9,22907,150.0,1500.0,1500.0
pooled,18,0.9,0.95,24553,1500.0,1500.0,1500.0
pooled,19,0.95,1.0,26307,1500.0,1500.0,1500.0
2023,0,0.0,0.05,7055,150.0,150.0,150.0
2023,1,0.05,0.1,6839,150.0,1500.0,1500.0
2023,2,0.1,0.15,7024,150.0,1500.0,1500.0
2023,3,0.15,0.2,6308,150.0,1500.0,1500.0
2023,4,0.2,0.25,6383,150.0,1500.0,1500.0
2023,5,0.25,0.3,6202,150.0,1500.0,1500.0
2023,6,0.3,0.35,6267,150.0,1500.0,1500.0
2023,7,0.35,0.4,6363,150.0,1500.0,1500.0
2023,8,0.4,0.45,6041,150.0,1500.0,1500.0
2023,9,0.45,0.5,5961,150.0,1500.0,1500.0
2023,10,0.5,0.55,6371,150.0,1500.0,1500.0
2023,11,0.55,0.6,6231,150.0,1500.0,1500.0
2023,12,0.6,0.65,5878,150.0,1500.0,1500.0
2023,13,0.65,0.7,6238,150.0,1500.0,1500.0
2023,14,0.7,0.75,6346,150.0,1500.0,1500.0
2023,15,0.75,0.8,6813,150.0,1500.0,1500.0
2023,16,0.8,0.85,8153,150.0,1500.0,1500.0
2023,17,0.85,0.9,9406,1500.0,1500.0,1500.0
2023,18,0.9,0.95,9439,1500.0,1500.0,3501.0
2023,19,0.95,1.0,9463,1500.0,4000.0,4000.0
2024,0,0.0,0.05,4593,150.0,150.0,1500.0
2024,1,0.05,0.1,4910,150.0,1500.0,1500.0
2024,2,0.1,0.15,4422,150.0,1500.0,1500.0
2024,3,0.15,0.2,4733,150.0,1500.0,1500.0
2024,4,0.2,0.25,5044,150.0,1500.0,1500.0
2024,5,0.25,0.3,4905,150.0,1500.0,1500.0
2024,6,0.3,0.35,4882,150.0,1500.0,1500.0
2024,7,0.35,0.4,5117,150.0,1500.0,1500.0
2024,8,0.4,0.45,5398,150.0,1500.0,1500.0
2024,9,0.45,0.5,5375,150.0,1500.0,1500.0
2024,10,0.5,0.55,5304,150.0,1500.0,1500.0
2024,11,0.55,0.6,5139,150.0,1500.0,1500.0
2024,12,0.6,0.65,5388,150.0,1500.0,1500.0
2024,13,0.65,0.7,5725,150.0,1500.0,1500.0
2024,14,0.7,0.75,6040,150.0,1500.0,1500.0
2024,15,0.75,0.8,6515,150.0,1500.0,1500.0
2024,16,0.8,0.85,6146,150.0,1500.0,1500.0
2024,17,0.85,0.9,5752,150.0,1500.0,1500.0
2024,18,0.9,0.95,6341,150.0,1500.0,1500.0
2024,19,0.95,1.0,6763,26.76,1500.0,1500.0
2025,0,0.0,0.05,7254,1500.0,1500.0,1500.0
2025,1,0.05,0.1,7472,150.0,1500.0,1500.0
2025,2,0.1,0.15,6848,150.0,1500.0,1500.0
2025,3,0.15,0.2,6781,150.0,1500.0,1500.0
2025,4,0.2,0.25,6825,150.0,1500.0,1500.0
2025,5,0.25,0.3,6546,150.0,1500.0,1500.0
2025,6,0.3,0.35,6165,150.0,1500.0,1500.0
2025,7,0.35,0.4,6107,150.0,1500.0,1500.0
2025,8,0.4,0.45,6258,150.0,1500.0,1500.0
2025,9,0.45,0.5,6179,150.0,1500.0,1500.0
2025,10,0.5,0.55,6302,150.0,1500.0,1500.0
2025,11,0.55,0.6,6548,150.0,1500.0,1500.0
2025,12,0.6,0.65,6672,150.0,1500.0,1500.0
2025,13,0.65,0.7,6747,150.0,1500.0,1500.0
2025,14,0.7,0.75,6636,150.0,1500.0,1500.0
2025,15,0.75,0.8,7136,150.0,1500.0,1500.0
2025,16,0.8,0.85,7339,150.0,1500.0,1500.0
2025,17,0.85,0.9,7749,150.0,1500.0,1500.0
2025,18,0.9,0.95,8773,150.0,1500.0,1500.0
2025,19,0.95,1.0,10081,1500.0,1500.0,1500.0
