plant_id,year,gross_mwh,net_mwh,parasitic_factor,parasitic_load_pct,source,flag
9,0,99861.0,0.0,0.97,0.03,class_default,no_net
9,2022,48452.0,47291.0,0.976038,0.023962,measured,ok
9,2023,49416.0,0.0,0.97,0.03,class_default,no_net
9,2024,50445.0,0.0,0.97,0.03,class_default,no_net
54,0,1081563.0,1041937.003,0.963362,0.036638,measured,ok
54,2022,732486.0,710542.996,0.970043,0.029957,measured,ok
54,2023,433471.0,414068.998,0.95524,0.04476,measured,ok
54,2024,648092.0,627868.005,0.968795,0.031205,measured,ok
298,0,12650593.0,11424118.003,0.90305,0.09695,measured,ok
298,2022,7961605.0,7256257.955,0.911406,0.088594,measured,ok
298,2023,6712412.0,6059246.019,0.902693,0.097307,measured,ok
298,2024,5938181.0,5364871.984,0.903454,0.096546,measured,ok
384,0,746958.0,707790.0,0.947563,0.052437,measured,ok
384,2022,573950.0,550371.0,0.958918,0.041082,measured,ok
384,2023,746958.0,707790.0,0.947563,0.052437,measured,ok
591,0,2057.0,436.0,0.97,0.03,class_default,out_of_band
591,2022,1686.0,1493.0,0.885528,0.114472,measured,ok
591,2023,530.0,219.0,0.97,0.03,class_default,out_of_band
591,2024,461.0,217.0,0.97,0.03,class_default,out_of_band
591,2025,1066.0,0.0,0.97,0.03,class_default,no_net
592,0,544.0,-1759.0,0.97,0.03,class_default,no_net
592,2022,6.0,0.0,0.97,0.03,class_default,no_net
592,2023,128.0,-577.0,0.97,0.03,class_default,no_net
592,2024,199.0,-1182.0,0.97,0.03,class_default,no_net
592,2025,217.0,0.0,0.97,0.03,class_default,no_net
593,0,1098292.0,549856.008,0.97,0.03,class_default,out_of_band
593,2022,386889.0,339936.996,0.878642,0.121358,measured,ok
593,2023,267347.0,222294.003,0.831481,0.168519,measured,ok
593,2024,377825.0,327562.005,0.866968,0.133032,measured,ok
593,2025,453120.0,0.0,0.97,0.03,class_default,no_net
594,0,522768.0,394471.998,0.97,0.03,class_default,out_of_band
594,2022,161024.0,108090.0,0.97,0.03,class_default,out_of_band
594,2023,27270.0,-9283.0,0.97,0.03,class_default,no_net
594,2024,206987.0,147883.999,0.97,0.03,class_default,out_of_band
594,2025,288511.0,255870.999,0.886867,0.113133,measured,ok
597,0,493.0,-9137.0,0.97,0.03,class_default,no_net
597,2022,68.0,0.0,0.97,0.03,class_default,no_net
597,2023,58.0,-4977.0,0.97,0.03,class_default,no_net
597,2024,152.0,-4160.0,0.97,0.03,class_default,no_net
597,2025,283.0,0.0,0.97,0.03,class_default,no_net
602,0,6360447.0,5530171.96,0.869463,0.130537,measured,ok
602,2022,2421415.0,2084647.986,0.860921,0.139079,measured,ok
602,2023,1267275.0,1035289.034,0.816941,0.183059,measured,ok
602,2024,2469377.0,2168466.959,0.878143,0.121857,measured,ok
602,2025,2623795.0,2326415.967,0.886661,0.113339,measured,ok
856,2022,2916435.0,2699060.951,0.925466,0.074534,measured,ok
862,2022,0.0,0.0,0.97,0.03,class_default,no_net
874,0,0.0,-27603.0,0.97,0.03,class_default,no_net
874,2022,9909.0,-62183.0,0.97,0.03,class_default,no_net
874,2023,0.0,-27603.0,0.97,0.03,class_default,no_net
876,0,7849988.0,7129020.895,0.908157,0.091843,measured,ok
876,2022,3981246.0,3624856.01,0.910483,0.089517,measured,ok
876,2023,2483295.0,2229159.965,0.897662,0.102338,measured,ok
876,2024,2441655.0,2209869.971,0.905071,0.094929,measured,ok
876,2025,2925038.0,2689990.959,0.919643,0.080357,measured,ok
879,0,7915820.0,6918666.036,0.87403,0.12597,measured,ok
879,2022,5582590.0,5094903.978,0.912642,0.087358,measured,ok
879,2023,1571874.0,1337627.977,0.850977,0.149023,measured,ok
879,2024,2513967.0,2220805.04,0.883387,0.116613,measured,ok
879,2025,3829979.0,3360233.019,0.87735,0.12265,measured,ok
883,0,0.0,-4173.0,0.97,0.03,class_default,no_net
883,2022,1351368.0,1230821.0,0.910796,0.089204,measured,ok
883,2023,0.0,-1621.0,0.97,0.03,class_default,no_net
883,2024,0.0,-1945.0,0.97,0.03,class_default,no_net
883,2025,0.0,-607.0,0.97,0.03,class_default,no_net
884,2022,347473.0,304086.997,0.875138,0.124862,measured,ok
886,0,0.0,-1629.0,0.97,0.03,class_default,no_net
886,2022,0.0,-301.0,0.97,0.03,class_default,no_net
886,2023,0.0,-1020.0,0.97,0.03,class_default,no_net
886,2024,0.0,-609.0,0.97,0.03,class_default,no_net
886,2025,0.0,0.0,0.97,0.03,class_default,no_net
887,2022,3950074.0,3622746.042,0.917134,0.082866,measured,ok
889,0,20771104.0,18895863.948,0.909719,0.090281,measured,ok
889,2022,6542239.0,5923025.015,0.905351,0.094649,measured,ok
889,2023,6492920.0,5898854.019,0.908506,0.091494,measured,ok
889,2024,7151305.0,6487388.951,0.907162,0.092838,measured,ok
889,2025,7126879.0,6509620.978,0.91339,0.08661,measured,ok
913,0,61584.0,40577.0,0.97,0.03,class_default,out_of_band
913,2022,23597.0,21361.0,0.905242,0.094758,measured,ok
913,2023,15123.0,13742.0,0.908682,0.091318,measured,ok
913,2024,27439.0,26835.0,0.977988,0.022012,measured,ok
913,2025,19022.0,0.0,0.97,0.03,class_default,no_net
963,0,2494185.0,2091260.998,0.838455,0.161545,measured,ok
963,2022,1427017.0,1250277.991,0.876148,0.123852,measured,ok
963,2023,767407.0,643131.999,0.838059,0.161941,measured,ok
963,2024,662640.0,547209.996,0.825803,0.174197,measured,ok
963,2025,1064138.0,900919.003,0.846619,0.153381,measured,ok
976,0,2421497.0,2222219.998,0.917705,0.082295,measured,ok
976,2022,847690.0,784259.008,0.925172,0.074828,measured,ok
976,2023,770869.0,708925.996,0.919645,0.080355,measured,ok
976,2024,811498.0,746246.001,0.919591,0.080409,measured,ok
976,2025,839130.0,767048.001,0.914099,0.085901,measured,ok
983,0,17689468.0,15921544.074,0.900058,0.099942,measured,ok
983,2022,6453406.0,5813740.998,0.900879,0.099121,measured,ok
983,2023,5560649.0,4967139.995,0.893266,0.106734,measured,ok
983,2024,5720133.0,5174526.035,0.904616,0.095384,measured,ok
983,2025,6408686.0,5779878.044,0.901882,0.098118,measured,ok
990,0,10667630.0,9979840.982,0.935526,0.064474,measured,ok
990,2022,1481795.0,1379690.0,0.931094,0.068906,measured,ok
990,2023,3083657.0,2899758.999,0.940364,0.059636,measured,ok
990,2024,3893310.0,3654402.0,0.938636,0.061364,measured,ok
990,2025,3690663.0,3425679.983,0.928202,0.071798,measured,ok
991,0,16634622.0,16194484.0,0.973541,0.026459,measured,ok
991,2022,4411360.0,4296493.0,0.973961,0.026039,measured,ok
991,2023,5418945.0,5282044.0,0.974737,0.025263,measured,ok
991,2024,5501442.0,5352318.0,0.972894,0.027106,measured,ok
991,2025,5714235.0,5560122.0,0.97303,0.02697,measured,ok
992,0,0.0,28771.17,0.97,0.03,class_default,no_net
992,2022,0.0,17155.42,0.97,0.03,class_default,no_net
992,2023,0.0,10559.42,0.97,0.03,class_default,no_net
992,2024,0.0,8169.34,0.97,0.03,class_default,no_net
992,2025,0.0,10042.41,0.97,0.03,class_default,no_net
994,0,14702905.0,13038754.013,0.886815,0.113185,measured,ok
994,2022,8887274.0,8007085.013,0.900961,0.099039,measured,ok
994,2023,5289359.0,4658633.027,0.880756,0.119244,measured,ok
994,2024,3480000.0,2987403.029,0.858449,0.141551,measured,ok
994,2025,5933546.0,5392717.957,0.908852,0.091148,measured,ok
997,0,4773504.0,4286520.921,0.897982,0.102018,measured,ok
997,2022,1578237.0,1415875.007,0.897124,0.102876,measured,ok
997,2023,1582271.0,1427181.955,0.901983,0.098017,measured,ok
997,2024,1056248.0,924347.003,0.875123,0.124877,measured,ok
997,2025,2134985.0,1934991.963,0.906326,0.093674,measured,ok
