plant_id,year,facility_name,gross_mwh,net_mwh,parasitic_factor,heat_mmbtu,heat_rate_mmbtu_per_mwh_net,co2_kg_per_mwh_net,co2_source,co2_marginal_kg_per_mwh_gross,co2_noload_kg_per_hr,nox_kg_per_mwh_net,nox_marginal_kg_per_mwh_gross,nox_noload_kg_per_hr,so2_kg_per_mwh_net,so2_marginal_kg_per_mwh_gross,so2_noload_kg_per_hr,starts,startup_co2_kg,startup_nox_kg,startup_so2_kg,startup_heat_mmbtu,coal_share,mixed
9,0,Copper Station,99861.0,96865.17,0.97,1684535.878,17.3905,922.741102,heat_backfilled,0.0,0.0,1.953606,1.347375,19.185,0.0,0.0,0.0,275,0.0,3.1145,0.0,24.773,,False
9,2022,Copper Station,48452.0,46998.44,0.97,851914.95,18.1265,961.789524,heat_backfilled,0.0,0.0,1.704267,0.823926,25.7078,0.0,0.0,0.0,147,0.0,1.4082,0.0,22.7972,0.0,False
9,2023,Copper Station,49416.0,47933.52,0.97,848564.499,17.7029,939.318296,heat_backfilled,0.0,0.0,1.886642,1.299963,18.2933,0.0,0.0,0.0,141,0.0,2.3166,0.0,25.4457,,False
9,2024,Copper Station,50445.0,48931.65,0.97,835971.379,17.0845,906.502057,heat_backfilled,0.0,0.0,2.019205,1.39883,19.9057,0.0,0.0,0.0,134,0.0,3.9124,0.0,24.1003,,False
9,2026,Copper Station,12700.0,12319.0,0.97,208601.373,16.9333,898.481115,heat_backfilled,0.0,0.0,2.279145,1.236346,31.5193,0.0,0.0,0.0,39,0.0,7.916,0.0,11.4836,,False
298,0,Limestone,12650593.0,11424118.009,0.90305,128258110.383,11.227,1067.264176,measured,918.4015,38418.0723,0.839743,0.697079,52.3027,0.802786,0.676098,41.7308,12,5685.603,33.6189,10.1033,176.2213,0.992,False
298,2022,Limestone,7961605.0,7189727.395,0.90305,80651226.482,11.2176,1066.683394,measured,881.172205,50483.8916,0.891996,0.752755,32.6729,0.799589,0.636425,52.8103,6,0.0,16.4026,4.8413,12.3561,0.996,False
298,2023,Limestone,6712412.0,6061643.657,0.90305,69044241.042,11.3903,1082.938995,measured,940.216343,32441.012,0.824767,0.659588,74.1121,0.836799,0.715181,35.0995,6,4247.3239,25.6122,15.3062,142.703,0.992,False
298,2024,Limestone,5938181.0,5362474.352,0.90305,59213869.341,11.0423,1049.545646,measured,897.432289,41889.2723,0.856672,0.731847,34.6489,0.764339,0.638081,43.8193,6,7123.8822,41.6257,4.9004,209.7396,0.992,False
298,2026,Limestone,1609085.0,1453084.209,0.90305,16204525.132,11.1518,1057.318525,measured,837.507646,68277.3468,1.029366,0.797385,67.1233,1.350963,1.159379,-20.746,2,0.0,20.5724,0.0,0.0,0.991,False
3439,0,Laredo,96910.0,94438.02,0.974492,892725.328,9.453,509.640619,measured,477.629128,1498.9206,0.050774,0.041627,0.6361,0.002573,0.002411,0.0076,205,598.8451,1.9092,0.003,11.1445,0.0,False
3439,2022,Laredo,37081.0,36135.138,0.974492,341348.142,9.4464,509.314215,measured,457.537857,2432.8783,0.048553,0.027487,1.2573,0.002571,0.00231,0.0123,78,178.7567,2.0674,0.0009,3.3139,0.0,False
3439,2023,Laredo,43253.0,42149.702,0.974492,405213.473,9.6137,518.306151,measured,477.10697,2053.663,0.049285,0.038435,0.7117,0.002617,0.002409,0.0104,109,502.2509,1.7255,0.0026,9.338,0.0,False
3439,2024,Laredo,53657.0,52288.317,0.974492,487511.855,9.3235,502.655318,measured,480.652437,741.6078,0.051975,0.043416,0.6368,0.002538,0.002427,0.0037,96,695.4393,2.0929,0.0035,12.9511,0.0,False
3439,2026,Laredo,21923.0,21363.788,0.974492,197672.429,9.2527,498.850948,measured,471.965949,1090.1761,0.045994,0.027862,1.3312,0.002518,0.002383,0.0055,34,338.9336,2.2332,0.0017,6.2416,,False
3441,0,Nueces Bay,2988287.0,2748895.328,0.91989,21354784.505,7.7685,418.82133,measured,334.012878,17058.654,0.05344,-0.013044,20.7018,0.002114,0.001686,0.0861,194,6775.2838,20.3449,0.0342,125.6641,0.0,False
3441,2022,Nueces Bay,1634296.0,1503372.547,0.91989,11861024.439,7.8896,425.35262,measured,354.691299,7221.9335,0.06047,-0.047656,20.424,0.002147,0.001791,0.0365,177,8425.616,18.388,0.0425,156.3385,0.0,False
3441,2023,Nueces Bay,1135989.0,1044984.921,0.91989,8280358.848,7.9239,427.199777,measured,342.063147,17280.3558,0.063834,-0.041062,33.8665,0.002157,0.001727,0.0873,137,5569.4998,10.7145,0.0281,103.2478,0.0,False
3441,2024,Nueces Bay,1852298.0,1703910.407,0.91989,13074425.657,7.6732,413.682943,measured,327.226517,17535.0939,0.047066,0.006796,12.0044,0.002088,0.001652,0.0885,57,7981.0678,29.9753,0.0403,148.0804,0.0,False
3441,2026,Nueces Bay,109052.0,100315.844,0.91989,813665.279,8.111,437.285545,measured,327.402099,14095.3548,0.047283,-0.078256,22.9366,0.002208,0.001653,0.0712,3,12096.9407,17.8072,0.0611,224.7989,0.0,False
3443,0,Victoria Power Station,2476871.0,2452250.902,0.99006,19237551.662,7.8449,422.93693,measured,403.218575,3533.6747,0.056626,0.011593,10.1552,0.002135,0.002036,0.0179,25,13436.6008,26.9449,0.0678,249.1046,0.0,False
3443,2022,Victoria Power Station,995169.0,985277.02,0.99006,7687765.713,7.8026,420.660761,measured,397.664739,4138.4461,0.059381,0.007993,11.1773,0.002124,0.002007,0.0209,22,10641.3205,22.8163,0.0537,197.2902,0.0,False
3443,2023,Victoria Power Station,987629.0,977811.968,0.99006,7658066.885,7.8318,422.234437,measured,393.332945,5400.1054,0.056095,0.004924,11.0895,0.002132,0.001986,0.0273,14,14205.6916,29.7761,0.0717,263.4775,0.0,False
3443,2024,Victoria Power Station,1489242.0,1474438.935,0.99006,11579484.777,7.8535,423.402806,measured,409.451818,2289.817,0.056977,0.014621,9.8224,0.002137,0.002067,0.0116,11,12667.5101,24.1137,0.0638,234.7316,0.0,False
3443,2026,Victoria Power Station,307314.0,304259.299,0.99006,2387092.358,7.8456,422.977115,measured,424.013557,-1167.0883,0.05531,0.041198,3.0202,0.002135,0.00214,-0.0059,2,10500.7817,23.2816,0.0529,194.25,,False
3452,0,Lake Hubbard,2689933.0,2593439.723,0.964128,29265585.27,11.2845,615.353783,measured,548.119116,14451.4925,0.278053,0.296239,-9.0112,0.006847,0.004218,0.7625,160,1079.8732,14.9952,0.2407,28.9345,0.0,False
3452,2022,Lake Hubbard,581610.0,560746.486,0.964128,6690908.042,11.9321,676.259371,measured,549.232401,12973.9546,0.372257,0.215046,18.1613,0.005757,0.004075,0.1862,196,1008.4645,0.8427,0.1026,31.4574,0.0,False
3452,2023,Lake Hubbard,940965.0,907210.704,0.964128,10304476.883,11.3584,621.281909,measured,544.78036,13724.6021,0.220542,0.215273,-0.6689,0.004483,0.003021,0.3294,96,897.0754,11.2023,0.0044,21.4541,0.0,False
3452,2024,Lake Hubbard,1748968.0,1686229.02,0.964128,18961108.387,11.2447,612.164383,measured,548.133194,15692.4572,0.308995,0.324039,-9.7456,0.008118,0.004041,1.4121,64,1262.671,18.7881,0.4769,36.4149,0.0,False
3452,2026,Lake Hubbard,116986.0,112789.478,0.964128,1256947.48,11.1442,666.831106,measured,535.082639,22014.581,0.501631,0.421906,12.6032,0.140142,0.039574,19.506,14,614.5059,0.0,1.9144,8.2925,,False
3453,0,Mountain Creek Generating Station,1133336.0,1084726.086,0.957109,13026624.065,12.0091,647.457611,measured,566.421753,8404.5297,0.400859,0.317789,11.0152,0.003269,0.002859,0.0424,64,4681.3131,2.1951,0.0237,86.8113,0.0,False
3453,2022,Mountain Creek Generating Station,616034.0,589611.686,0.957109,7093212.093,12.0303,648.6105,measured,564.121415,5823.3375,0.453961,0.224429,24.8426,0.003274,0.002848,0.0294,36,8160.3188,43.1057,0.0411,151.1701,0.0,False
3453,2023,Mountain Creek Generating Station,634166.0,606965.986,0.957109,7244202.187,11.9351,643.461524,measured,562.164535,9901.9098,0.471342,0.384528,12.7325,0.003248,0.002838,0.05,26,3626.4866,0.8799,0.0183,67.1713,0.0,False
3453,2024,Mountain Creek Generating Station,499170.0,477760.1,0.957109,5782421.878,12.1032,652.534403,measured,570.215502,7185.1251,0.311316,0.218587,11.4812,0.003294,0.002879,0.0363,38,5736.1395,3.5102,0.029,106.4513,0.0,False
3453,2026,Mountain Creek Generating Station,13301.0,12730.507,0.957109,179704.111,14.116,761.073752,measured,624.4259,3844.7558,1.159617,1.4952,-18.899,0.003842,0.003152,0.0194,4,1095.7216,21.4263,0.0054,20.148,,False
3456,0,Newman Power Station,6966930.0,6757922.1,0.97,65558553.146,9.701,523.007047,measured,500.328334,2779.0183,0.436315,0.375392,19.0211,0.00264,0.002526,0.0141,3,0.0,6.0073,0.0,0.0,,False
3456,2022,Newman Power Station,3230335.0,3133424.95,0.97,31354304.332,10.0064,539.471707,measured,336.38348,12820.5144,0.534075,-0.30486,56.5332,0.002724,0.001698,0.0647,1,0.0,0.0,0.0,0.0,0.0,False
3456,2023,Newman Power Station,3283096.0,3184603.12,0.97,30677846.665,9.6332,519.349372,measured,481.333441,8408.4176,0.486126,0.381432,33.7719,0.002622,0.00243,0.0425,1,0.0,0.0,0.0,0.0,,False
3456,2024,Newman Power Station,3683834.0,3573318.98,0.97,34880706.481,9.7614,526.266829,measured,505.373154,2147.0826,0.391922,0.39103,-4.5691,0.002657,0.002551,0.0109,2,0.0,12.0146,0.0,0.0,,False
3456,2026,Newman Power Station,522644.0,506964.68,0.97,4700277.102,9.2714,499.845135,measured,401.099251,7426.8581,0.301504,-0.304893,53.229,0.002524,0.002025,0.0375,1,0.0,0.0,0.0,0.0,0.0,False
3457,0,Lewis Creek,4129157.0,4005282.29,0.97,41946852.257,10.4729,564.62288,measured,505.846056,11477.834,0.123883,0.1097,2.8736,0.00285,0.002554,0.058,16,3506.3448,7.6518,0.0178,64.9554,,False
3457,2022,Lewis Creek,1891120.0,1834386.4,0.97,19628292.689,10.7002,576.877197,measured,493.0022,9049.6083,0.134408,0.128576,0.2312,0.002912,0.002489,0.0457,4,2574.0844,6.5803,0.013,47.8367,0.0,False
3457,2023,Lewis Creek,1833137.0,1778142.89,0.97,18592125.938,10.4559,563.708419,measured,511.363557,9029.1548,0.126263,0.110764,2.9877,0.002846,0.002581,0.0456,7,2975.0992,8.7582,0.0151,55.0793,,False
3457,2024,Lewis Creek,2296020.0,2227139.4,0.97,23354726.319,10.4864,565.352984,measured,499.44423,14302.3541,0.121983,0.109298,2.638,0.002854,0.002521,0.0722,9,4037.5905,6.5454,0.0204,74.8314,,False
3457,2026,Lewis Creek,427096.0,414283.12,0.97,4351523.807,10.5037,566.289664,measured,486.401693,8888.2433,0.117462,0.102021,1.6818,0.002859,0.002455,0.0449,3,4566.9324,2.6744,0.023,84.9305,0.0,False
3459,0,Sabine,8267264.0,8019246.08,0.97,83726175.13,10.4407,562.888917,measured,514.317141,17429.9648,0.600469,0.560434,12.1461,0.002842,0.002596,0.088,12,2027.3994,13.5907,0.0103,37.5395,,False
3459,2022,Sabine,3033840.0,2942824.8,0.97,31541135.688,10.718,577.83658,measured,491.919022,12643.3586,0.627255,0.776119,-31.5364,0.002917,0.002483,0.0638,13,1851.5491,37.8408,0.0093,34.2248,0.0,False
3459,2023,Sabine,3910577.0,3793259.69,0.97,39613130.104,10.443,563.017712,measured,512.509181,16746.8729,0.65473,0.573303,30.8461,0.002842,0.002587,0.0846,6,305.3665,0.0,0.0016,5.6067,,False
3459,2024,Sabine,4356687.0,4225986.39,0.97,44113045.026,10.4385,562.77331,measured,514.350354,19147.05,0.551764,0.57652,-25.1834,0.002841,0.002597,0.0967,6,3749.4323,27.1815,0.0189,69.4724,,False
3459,2026,Sabine,584243.0,566715.71,0.97,6291124.679,11.101,598.48346,measured,483.075985,16249.2533,0.45949,0.309754,24.1372,0.003021,0.002439,0.0821,7,14060.2621,7.0004,0.0711,260.78,0.0,False
3460,0,Cedar Bayou,6346910.0,6069023.239,0.956217,64236308.261,10.5843,570.624563,measured,489.634401,32422.352,0.40462,0.518991,-77.6619,0.002881,0.002472,0.1637,22,682.7943,92.2263,0.0034,12.6396,0.0,False
3460,2022,Cedar Bayou,3018820.0,2886647.004,0.956217,30301573.468,10.4972,565.932112,measured,479.961509,24303.0345,0.33306,0.494233,-71.6819,0.002857,0.002423,0.1227,18,7310.2457,107.5016,0.0369,135.5865,0.0,False
3460,2023,Cedar Bayou,3076170.0,2941486.049,0.956217,31492636.725,10.7064,577.208179,measured,489.345874,37279.0802,0.341641,0.427421,-61.273,0.002914,0.00247,0.1882,15,20.9764,75.7054,0.0001,0.4398,0.0,False
3460,2024,Cedar Bayou,3270740.0,3127537.191,0.956217,32743671.536,10.4695,564.432593,measured,488.74666,28787.502,0.463852,0.612613,-96.4326,0.002849,0.002467,0.1453,7,1344.6121,108.7472,0.0067,24.8393,0.0,False
3460,2026,Cedar Bayou,263825.0,252273.95,0.956217,2879785.871,11.4153,615.428972,measured,499.714046,27673.858,0.262453,0.361959,-37.37,0.003107,0.002523,0.1397,3,1826.6813,58.4215,0.0091,33.696,0.0,False
3464,0,Greens Bayou,135453.0,129361.949,0.955032,1911077.7,14.7731,783.860967,heat_backfilled,0.0,0.0,1.30987,1.223282,4.0673,0.0,0.0,0.0,113,0.0,13.4647,0.0,48.0879,0.0,False
3464,2022,Greens Bayou,219944.0,210053.558,0.955032,3219823.1,15.3286,813.334538,heat_backfilled,0.0,0.0,1.402428,1.096983,9.3102,0.0,0.0,0.0,105,0.0,30.2376,0.0,27.8957,0.0,False
3464,2023,Greens Bayou,96547.0,92205.475,0.955032,1367232.8,14.8281,786.779448,heat_backfilled,0.0,0.0,1.314804,1.212072,8.081,0.0,0.0,0.0,63,0.0,15.531,0.0,78.8676,0.0,False
3464,2024,Greens Bayou,38906.0,37156.475,0.955032,543844.9,14.6366,776.618622,heat_backfilled,0.0,0.0,1.297626,1.219817,1.8878,0.0,0.0,0.0,50,0.0,11.3984,0.0,17.3082,0.0,False
3464,2026,Greens Bayou,10105.0,9650.598,0.955032,154867.5,16.0475,851.477726,heat_backfilled,0.0,0.0,1.460754,1.111482,9.747,0.0,0.0,0.0,10,0.0,4.5505,0.0,33.64,,False
3469,0,T H Wharton,1337499.0,1304061.525,0.975,17009742.037,13.0437,387.407237,partial_backfill,0.0,0.0,0.289124,0.438073,-51.3634,0.0,0.0,0.0,346,1663.4707,47.1728,0.0,53.9087,0.0,False
