plant_code,plant_group,year,nameplate_mw,sync_hours,total_hours,online_frac
170,ST_GAS,2023,522.0,703,8760,0.08
170,ST_GAS,2024,522.0,1167,8760,0.133
170,ST_GAS,2025,522.0,1956,8760,0.223
203,ST_GAS,2023,134.0,0,8760,0.0
203,ST_GAS,2024,134.0,0,8760,0.0
203,ST_GAS,2025,134.0,0,8760,0.0
889,COAL,2023,1157.0,8528,8760,0.974
889,COAL,2024,1157.0,8156,8760,0.931
889,COAL,2025,1157.0,8204,8760,0.937
913,CT_PEAKER,2023,486.0,100,8760,0.011
913,CT_PEAKER,2024,486.0,206,8760,0.024
913,CT_PEAKER,2025,486.0,104,8760,0.012
963,COAL,2023,209.3,6407,8760,0.731
963,COAL,2024,209.3,5749,8760,0.656
963,COAL,2025,209.3,7535,8760,0.86
976,CT_PEAKER,2023,140.0,7288,8760,0.832
976,CT_PEAKER,2024,140.0,7365,8760,0.841
976,CT_PEAKER,2025,140.0,7423,8760,0.847
990,ST_GAS,2023,618.0,8468,8760,0.967
990,ST_GAS,2024,618.0,8731,8760,0.997
990,ST_GAS,2025,618.0,8387,8760,0.957
991,CC_REGULAR,2023,673.0,8142,8760,0.929
991,CC_REGULAR,2024,673.0,8217,8760,0.938
991,CC_REGULAR,2025,673.0,8489,8760,0.969
992,ST_GAS,2023,3.0,0,8760,0.0
992,ST_GAS,2024,3.0,0,8760,0.0
992,ST_GAS,2025,3.0,0,8760,0.0
994,COAL,2023,1057.2,8705,8760,0.994
994,COAL,2024,1057.2,8394,8760,0.958
994,COAL,2025,1057.2,8627,8760,0.985
997,COAL,2023,455.0,4609,8760,0.526
997,COAL,2024,455.0,3095,8760,0.353
997,COAL,2025,455.0,5875,8760,0.671
1001,COAL,2023,995.0,8661,8760,0.989
1001,COAL,2024,995.0,8705,8760,0.994
1001,COAL,2025,995.0,8351,8760,0.953
1004,COAL,2023,555.0,8519,8760,0.972
1004,COAL,2024,555.0,6267,8760,0.715
1004,COAL,2025,555.0,8239,8760,0.941
1007,CC_REGULAR,2023,264.0,6026,8760,0.688
1007,CC_REGULAR,2024,264.0,6834,8760,0.78
1007,CC_REGULAR,2025,264.0,6966,8760,0.795
1012,COAL,2023,360.0,7156,8760,0.817
1012,COAL,2024,360.0,8000,8760,0.913
1012,COAL,2025,360.0,5364,8760,0.612
1068,CT_PEAKER,2023,156.5,1933,8760,0.221
1068,CT_PEAKER,2024,156.5,1310,8760,0.15
1068,CT_PEAKER,2025,156.5,703,8760,0.08
1082,COAL,2023,1511.7,6612,8760,0.755
1082,COAL,2024,1511.7,7196,8760,0.821
1082,COAL,2025,1511.7,7482,8760,0.854
1091,COAL,2023,510.0,3784,8760,0.432
1091,COAL,2024,510.0,2535,8760,0.289
1091,COAL,2025,510.0,4940,8760,0.564
1104,ST_GAS,2023,170.3,216,8760,0.025
1104,ST_GAS,2024,170.3,96,8760,0.011
1104,ST_GAS,2025,170.3,379,8760,0.043
1122,ST_GAS,2023,108.7,8060,8760,0.92
1122,ST_GAS,2024,108.7,8000,8760,0.913
1122,ST_GAS,2025,108.7,7841,8760,0.895
1131,ST_GAS,2023,54.6,716,8760,0.082
1131,ST_GAS,2024,54.6,635,8760,0.072
1131,ST_GAS,2025,54.6,861,8760,0.098
1167,COAL,2023,248.9,7011,8760,0.8
1167,COAL,2024,248.9,6169,8760,0.704
1167,COAL,2025,248.9,7537,8760,0.86
1206,CT_PEAKER,2023,111.8,314,8760,0.036
1206,CT_PEAKER,2024,111.8,215,8760,0.025
1206,CT_PEAKER,2025,111.8,242,8760,0.028
1383,CT_PEAKER,2023,58.0,336,8760,0.038
1383,CT_PEAKER,2024,58.0,702,8760,0.08
1383,CT_PEAKER,2025,58.0,0,8760,0.0
1393,COAL,2023,513.5,4326,8760,0.494
1393,COAL,2024,513.5,4919,8760,0.562
1393,COAL,2025,513.5,4852,8760,0.554
1396,CC_REGULAR,2023,727.0,7191,8760,0.821
1396,CC_REGULAR,2024,727.0,8154,8760,0.931
1396,CC_REGULAR,2025,727.0,7398,8760,0.845
1400,CT_PEAKER,2023,33.6,1258,8760,0.144
1400,CT_PEAKER,2024,33.6,173,8760,0.02
1400,CT_PEAKER,2025,33.6,185,8760,0.021
1402,ST_GAS,2023,916.5,2197,8760,0.251
1402,ST_GAS,2024,916.5,5387,8760,0.615
1402,ST_GAS,2025,916.5,5764,8760,0.658
1403,ST_GAS,2023,1465.4,8760,8760,1.0
1403,ST_GAS,2024,1465.4,8295,8760,0.947
1403,ST_GAS,2025,1465.4,8760,8760,1.0
1404,CT_PEAKER,2023,45.5,0,8760,0.0
1404,CT_PEAKER,2024,45.5,0,8760,0.0
