date,zone,tmax_c,tmin_c
2018-01-01,NP15,16.740000000000002,4.86
2018-01-02,NP15,15.0,6.34
2018-01-03,NP15,14.1,6.880000000000001
2018-01-04,NP15,17.86,10.08
2018-01-05,NP15,16.48,10.68
2018-01-06,NP15,14.760000000000002,6.92
2018-01-07,NP15,11.34,5.66
2018-01-08,NP15,14.1,9.58
2018-01-09,NP15,14.1,10.8
2018-01-10,NP15,14.1,8.26
2018-01-11,NP15,15.12,7.800000000000001
2018-01-12,NP15,14.48,7.359999999999999
2018-01-13,NP15,13.56,6.779999999999999
2018-01-14,NP15,13.0,8.9
2018-01-15,NP15,12.12,8.24
2018-01-16,NP15,15.0,10.1
2018-01-17,NP15,13.08,9.420000000000002
2018-01-18,NP15,14.22,9.64
2018-01-19,NP15,14.2,6.98
2018-01-20,NP15,13.66,4.0
2018-01-21,NP15,12.58,2.24
2018-01-22,NP15,12.42,8.92
2018-01-23,NP15,14.2,5.880000000000001
2018-01-24,NP15,13.26,5.220000000000001
2018-01-25,NP15,13.44,6.24
2018-01-26,NP15,11.239999999999998,2.9
2018-01-27,NP15,15.6,5.6
2018-01-28,NP15,17.88,4.8
2018-01-29,NP15,15.44,5.66
2018-01-30,NP15,18.1,6.200000000000001
2018-01-31,NP15,18.3,4.44
2018-02-01,NP15,21.12,7.6
2018-02-02,NP15,21.78,6.880000000000001
2018-02-03,NP15,23.74,6.640000000000001
2018-02-04,NP15,22.88,7.9
2018-02-05,NP15,22.86,7.68
2018-02-06,NP15,23.24,7.800000000000001
2018-02-07,NP15,21.9,8.26
2018-02-08,NP15,23.0,7.24
2018-02-09,NP15,23.3,7.24
2018-02-10,NP15,18.66,8.04
2018-02-11,NP15,16.24,2.68
2018-02-12,NP15,15.36,4.34
2018-02-13,NP15,17.56,6.1
2018-02-14,NP15,17.22,2.8800000000000003
2018-02-15,NP15,17.439999999999998,4.0
2018-02-16,NP15,18.0,2.24
2018-02-17,NP15,19.76,3.9
2018-02-18,NP15,15.420000000000002,5.220000000000001
2018-02-19,NP15,11.7,1.48
2018-02-20,NP15,11.34,0.2800000000000001
2018-02-21,NP15,13.3,1.94
2018-02-22,NP15,13.1,3.5400000000000005
2018-02-23,NP15,12.2,0.6000000000000001
2018-02-24,NP15,14.56,0.6000000000000001
2018-02-25,NP15,16.02,2.78
2018-02-26,NP15,11.54,5.5200000000000005
2018-02-27,NP15,14.760000000000002,5.02
2018-02-28,NP15,13.96,2.66
2018-03-01,NP15,13.68,7.880000000000001
2018-03-02,NP15,11.32,4.2
2018-03-03,NP15,12.0,3.26
2018-03-04,NP15,12.44,1.7600000000000002
2018-03-05,NP15,16.1,2.36
2018-03-06,NP15,18.96,3.9
2018-03-07,NP15,20.800000000000004,8.1
2018-03-08,NP15,19.32,10.36
2018-03-09,NP15,18.96,8.74
2018-03-10,NP15,15.58,8.08
2018-03-11,NP15,21.08,5.76
2018-03-12,NP15,22.42,9.34
2018-03-13,NP15,17.0,9.88
2018-03-14,NP15,14.34,7.42
2018-03-15,NP15,12.66,4.36
2018-03-16,NP15,13.3,6.98
2018-03-17,NP15,13.3,5.1
2018-03-18,NP15,13.96,2.66
2018-03-19,NP15,18.02,4.36
2018-03-20,NP15,14.1,10.68
2018-03-21,NP15,19.32,11.78
2018-03-22,NP15,17.12,7.12
2018-03-23,NP15,15.36,4.8
2018-03-24,NP15,13.9,7.220000000000001
2018-03-25,NP15,14.92,4.86
2018-03-26,NP15,18.02,5.5200000000000005
2018-03-27,NP15,23.22,7.779999999999999
2018-03-28,NP15,26.02,8.26
2018-03-29,NP15,28.22,9.78
2018-03-30,NP15,26.46,10.760000000000002
2018-03-31,NP15,22.48,10.24
2018-04-01,NP15,23.12,8.32
2018-04-02,NP15,21.52,10.24
2018-04-03,NP15,21.96,6.92
2018-04-04,NP15,20.56,10.44
2018-04-05,NP15,17.2,11.46
2018-04-06,NP15,17.14,12.88
2018-04-07,NP15,19.12,10.68
2018-04-08,NP15,19.12,8.1
2018-04-09,NP15,23.54,8.32
2018-04-10,NP15,19.32,11.04
2018-04-11,NP15,17.34,8.26
2018-04-12,NP15,17.2,5.24
2018-04-13,NP15,20.58,6.779999999999999
2018-04-14,NP15,23.02,8.92
2018-04-15,NP15,18.1,9.34
2018-04-16,NP15,12.88,6.92
2018-04-17,NP15,17.56,4.2
2018-04-18,NP15,15.9,7.9
2018-04-19,NP15,20.2,4.58
2018-04-20,NP15,23.78,7.12
2018-04-21,NP15,26.24,9.34
2018-04-22,NP15,27.4,9.76
2018-04-23,NP15,27.32,11.46
2018-04-24,NP15,24.24,11.7
2018-04-25,NP15,23.64,9.88
2018-04-26,NP15,20.2,10.44
2018-04-27,NP15,20.12,10.88
2018-04-28,NP15,18.9,10.1
2018-04-29,NP15,19.480000000000004,8.899999999999999
2018-04-30,NP15,19.54,9.12
2018-05-01,NP15,23.42,9.64
2018-05-02,NP15,23.12,9.78
2018-05-03,NP15,21.54,10.44
2018-05-04,NP15,25.879999999999995,10.44
2018-05-05,NP15,22.1,11.34
2018-05-06,NP15,21.96,10.68
2018-05-07,NP15,26.68,10.88
2018-05-08,NP15,25.78,12.86
2018-05-09,NP15,23.42,13.3
2018-05-10,NP15,24.54,11.1
2018-05-11,NP15,26.54,11.26
2018-05-12,NP15,27.4,12.88
2018-05-13,NP15,21.74,12.14
2018-05-14,NP15,20.64,11.239999999999998
2018-05-15,NP15,21.44,11.98
2018-05-16,NP15,20.66,11.54
2018-05-17,NP15,22.98,11.12
2018-05-18,NP15,23.14,12.14
2018-05-19,NP15,21.88,12.14
2018-05-20,NP15,20.36,11.9
2018-05-21,NP15,24.08,10.44
2018-05-22,NP15,20.78,12.2
2018-05-23,NP15,19.54,12.14
2018-05-24,NP15,20.8,11.78
2018-05-25,NP15,18.66,12.14
2018-05-26,NP15,22.2,12.44
2018-05-27,NP15,28.34,11.34
2018-05-28,NP15,32.56,13.3
2018-05-29,NP15,30.04,14.98
2018-05-30,NP15,20.36,11.9
2018-05-31,NP15,20.44,11.04
2018-06-01,NP15,27.56,9.88
2018-06-02,NP15,33.12,12.8
2018-06-03,NP15,31.58,13.96
2018-06-04,NP15,26.78,13.96
2018-06-05,NP15,24.66,11.9
2018-06-06,NP15,22.98,12.2
2018-06-07,NP15,23.88,12.44
2018-06-08,NP15,26.8,11.76
2018-06-09,NP15,23.78,13.46
2018-06-10,NP15,24.98,12.36
2018-06-11,NP15,28.0,11.98
2018-06-12,NP15,31.42,14.2
2018-06-13,NP15,31.42,14.98
2018-06-14,NP15,29.32,14.2
2018-06-15,NP15,24.24,13.3
2018-06-16,NP15,24.7,12.34
2018-06-17,NP15,24.24,12.58
2018-06-18,NP15,27.7,13.3
2018-06-19,NP15,27.739999999999995,13.3
2018-06-20,NP15,25.98,12.8
2018-06-21,NP15,29.24,12.2
2018-06-22,NP15,38.3,14.400000000000002
2018-06-23,NP15,38.3,17.8
2018-06-24,NP15,32.8,15.0
2018-06-25,NP15,28.3,13.9
2018-06-26,NP15,33.3,12.8
2018-06-27,NP15,29.399999999999995,13.3
2018-06-28,NP15,31.1,13.3
2018-06-29,NP15,36.1,13.9
2018-06-30,NP15,38.9,16.7
2018-07-01,NP15,34.4,15.0
2018-07-02,NP15,31.1,13.9
2018-07-03,NP15,29.399999999999995,13.3
2018-07-04,NP15,25.0,13.3
2018-07-05,NP15,32.2,12.8
2018-07-06,NP15,35.0,17.8
2018-07-07,NP15,36.7,16.1
2018-07-08,NP15,35.0,16.1
2018-07-09,NP15,36.7,15.6
2018-07-10,NP15,36.1,15.6
2018-07-11,NP15,36.1,16.1
2018-07-12,NP15,30.92,15.22
2018-07-13,NP15,30.04,17.76
2018-07-14,NP15,30.04,15.44
2018-07-15,NP15,28.22,14.48
2018-07-16,NP15,30.26,13.760000000000002
2018-07-17,NP15,30.08,14.48
2018-07-18,NP15,32.02,15.14
2018-07-19,NP15,31.200000000000003,15.14
2018-07-20,NP15,31.96,16.0
2018-07-21,NP15,30.2,16.98
2018-07-22,NP15,29.52,15.78
2018-07-23,NP15,30.76,15.44
2018-07-24,NP15,30.44,14.78
2018-07-25,NP15,32.44,15.14
2018-07-26,NP15,30.26,15.14
2018-07-27,NP15,27.96,13.760000000000002
2018-07-28,NP15,29.22,13.32
2018-07-29,NP15,26.88,13.44
2018-07-30,NP15,28.56,13.32
2018-07-31,NP15,28.32,13.44
2018-08-01,NP15,27.239999999999995,13.44
2018-08-02,NP15,27.68,12.78
2018-08-03,NP15,29.52,12.420000000000002
2018-08-04,NP15,31.14,13.760000000000002
2018-08-05,NP15,27.68,14.48
2018-08-06,NP15,29.46,12.34
2018-08-07,NP15,26.14,14.1
2018-08-08,NP15,28.42,13.02
2018-08-09,NP15,33.12,12.78
2018-08-10,NP15,31.36,14.1
2018-08-11,NP15,30.98,17.4
2018-08-12,NP15,29.880000000000003,16.44
2018-08-13,NP15,27.08,13.760000000000002
2018-08-14,NP15,25.2,13.760000000000002
2018-08-15,NP15,26.68,14.64
2018-08-16,NP15,29.02,14.760000000000002
2018-08-17,NP15,30.7,14.12
2018-08-18,NP15,31.36,14.1
2018-08-19,NP15,29.66,13.8
2018-08-20,NP15,27.9,13.760000000000002
2018-08-21,NP15,22.4,12.8
2018-08-22,NP15,26.22,14.78
2018-08-23,NP15,24.76,14.78
2018-08-24,NP15,24.7,13.3
2018-08-25,NP15,27.04,12.44
2018-08-26,NP15,26.52,12.8
2018-08-27,NP15,24.34,13.3
2018-08-28,NP15,22.64,14.1
2018-08-29,NP15,25.34,14.400000000000002
2018-08-30,NP15,24.04,14.1
2018-08-31,NP15,27.34,13.66
2018-09-01,NP15,27.32,13.760000000000002
2018-09-02,NP15,29.24,13.32
2018-09-03,NP15,27.76,13.46
2018-09-04,NP15,27.76,13.66
2018-09-05,NP15,26.68,13.46
2018-09-06,NP15,26.14,12.14
2018-09-07,NP15,30.24,12.0
2018-09-08,NP15,29.46,14.12
2018-09-09,NP15,29.76,11.76
2018-09-10,NP15,30.64,13.02
2018-09-11,NP15,27.1,13.760000000000002
2018-09-12,NP15,22.76,12.14
2018-09-13,NP15,23.66,13.46
2018-09-14,NP15,24.7,12.14
2018-09-15,NP15,22.68,12.44
2018-09-16,NP15,24.76,11.48
2018-09-17,NP15,23.88,12.64
2018-09-18,NP15,24.44,11.9
2018-09-19,NP15,28.22,11.26
2018-09-20,NP15,31.44,12.0
2018-09-21,NP15,29.66,11.1
2018-09-22,NP15,27.239999999999995,13.080000000000002
2018-09-23,NP15,27.26,12.78
2018-09-24,NP15,28.8,10.12
2018-09-25,NP15,28.4,10.8
2018-09-26,NP15,30.48,11.46
2018-09-27,NP15,28.48,11.26
2018-09-28,NP15,23.36,12.36
2018-09-29,NP15,23.08,13.740000000000002
2018-09-30,NP15,25.22,13.92
2018-10-01,NP15,25.44,14.1
2018-10-02,NP15,26.66,17.12
2018-10-03,NP15,25.64,16.1
2018-10-04,NP15,22.66,13.740000000000002
2018-10-05,NP15,24.34,11.12
2018-10-06,NP15,25.200000000000003,13.44
2018-10-07,NP15,26.92,14.400000000000002
2018-10-08,NP15,27.42,13.740000000000002
2018-10-09,NP15,26.74,11.78
2018-10-10,NP15,23.36,10.08
2018-10-11,NP15,23.44,11.54
2018-10-12,NP15,28.08,10.08
2018-10-13,NP15,27.88,10.02
2018-10-14,NP15,25.56,8.760000000000002
2018-10-15,NP15,27.86,10.46
2018-10-16,NP15,25.8,7.24
2018-10-17,NP15,24.56,7.42
2018-10-18,NP15,24.92,8.74
2018-10-19,NP15,26.66,8.44
2018-10-20,NP15,24.74,8.98
2018-10-21,NP15,24.98,9.1
2018-10-22,NP15,22.78,9.78
2018-10-23,NP15,20.64,9.1
2018-10-24,NP15,24.04,8.32
2018-10-25,NP15,25.56,9.36
2018-10-26,NP15,25.14,11.12
2018-10-27,NP15,24.46,11.239999999999998
2018-10-28,NP15,24.54,11.78
2018-10-29,NP15,21.44,9.78
2018-10-30,NP15,23.0,10.78
2018-10-31,NP15,24.4,7.66
2018-11-01,NP15,28.1,9.8
2018-11-02,NP15,25.880000000000003,9.22
2018-11-03,NP15,27.42,10.68
2018-11-04,NP15,23.34,9.78
2018-11-05,NP15,24.78,8.68
2018-11-06,NP15,22.78,6.32
2018-11-07,NP15,22.8,5.960000000000001
2018-11-08,NP15,21.68,7.779999999999999
2018-11-09,NP15,18.68,5.02
2018-11-10,NP15,17.0,4.0
2018-11-11,NP15,19.76,1.94
2018-11-12,NP15,19.76,3.04
2018-11-13,NP15,16.46,4.44
2018-11-14,NP15,17.34,2.68
2018-11-15,NP15,16.04,3.04
