oris_code,plant_name,plant_group,year,outage_start,outage_stop,derate_factor
298,Limestone,COAL,2022,2022-01-01 00:00:00,2022-01-29 00:00:00,0.442
298,Limestone,COAL,2022,2022-02-01 00:00:00,2022-02-07 00:00:00,0.489
298,Limestone,COAL,2022,2022-02-14 00:00:00,2022-05-01 00:00:00,0.465
298,Limestone,COAL,2022,2022-05-11 00:00:00,2022-06-04 00:00:00,0.477
298,Limestone,COAL,2022,2022-12-12 00:00:00,2022-12-21 00:00:00,0.485
298,Limestone,COAL,2022,2022-12-26 00:00:00,2022-12-31 23:00:00,0.484
3470,W A Parish [COAL],COAL,2022,2022-05-09 00:00:00,2022-05-14 00:00:00,0.531
3470,W A Parish [COAL],COAL,2022,2022-08-23 00:00:00,2022-08-29 00:00:00,0.566
3470,W A Parish [COAL],COAL,2022,2022-09-24 00:00:00,2022-10-11 00:00:00,0.446
3470,W A Parish [COAL],COAL,2022,2022-10-16 00:00:00,2022-11-06 00:00:00,0.452
3470,W A Parish [COAL],COAL,2022,2022-11-11 00:00:00,2022-11-17 00:00:00,0.476
3470,W A Parish [COAL],COAL,2022,2022-11-20 00:00:00,2022-12-15 00:00:00,0.453
3470,W A Parish [COAL],COAL,2022,2022-12-23 00:00:00,2022-12-31 23:00:00,0.515
6146,Martin Lake,COAL,2022,2022-03-05 00:00:00,2022-03-10 00:00:00,0.637
6146,Martin Lake,COAL,2022,2022-05-01 00:00:00,2022-05-15 00:00:00,0.335
6146,Martin Lake,COAL,2022,2022-05-18 00:00:00,2022-06-04 00:00:00,0.548
6178,Coleto Creek,COAL,2022,2022-05-21 00:00:00,2022-06-09 00:00:00,0.565
6178,Coleto Creek,COAL,2022,2022-06-11 00:00:00,2022-06-20 00:00:00,0.317
6178,Coleto Creek,COAL,2022,2022-07-14 00:00:00,2022-08-10 00:00:00,0.452
6178,Coleto Creek,COAL,2022,2022-10-21 00:00:00,2022-10-26 00:00:00,0.459
6178,Coleto Creek,COAL,2022,2022-12-09 00:00:00,2022-12-22 00:00:00,0.377
6179,Fayette Power Project,COAL,2022,2022-04-24 00:00:00,2022-06-01 00:00:00,0.634
6179,Fayette Power Project,COAL,2022,2022-10-01 00:00:00,2022-11-25 00:00:00,0.55
6180,Oak Grove (TX),COAL,2022,2022-03-10 00:00:00,2022-03-22 00:00:00,0.501
6180,Oak Grove (TX),COAL,2022,2022-03-23 00:00:00,2022-04-06 00:00:00,0.5
6180,Oak Grove (TX),COAL,2022,2022-04-17 00:00:00,2022-04-23 00:00:00,0.499
6183,San Miguel,COAL,2022,2022-01-01 00:00:00,2022-01-17 00:00:00,0.5
6183,San Miguel,COAL,2022,2022-06-17 00:00:00,2022-07-10 00:00:00,0.491
7030,Major Oak Power,COAL,2022,2022-03-01 00:00:00,2022-03-17 00:00:00,0.501
7030,Major Oak Power,COAL,2022,2022-03-22 00:00:00,2022-04-03 00:00:00,0.5
7097,J K Spruce,COAL,2022,2022-01-14 00:00:00,2022-01-20 00:00:00,0.585
7097,J K Spruce,COAL,2022,2022-03-25 00:00:00,2022-04-28 00:00:00,0.414
7097,J K Spruce,COAL,2022,2022-05-20 00:00:00,2022-05-28 00:00:00,0.414
7097,J K Spruce,COAL,2022,2022-08-16 00:00:00,2022-08-28 00:00:00,0.414
7097,J K Spruce,COAL,2022,2022-09-01 00:00:00,2022-09-07 00:00:00,0.583
7097,J K Spruce,COAL,2022,2022-11-02 00:00:00,2022-11-25 00:00:00,0.347
7097,J K Spruce,COAL,2022,2022-12-17 00:00:00,2022-12-23 00:00:00,0.394
55097,Lamar Power Project,CC_REGULAR,2022,2022-03-05 00:00:00,2022-03-14 00:00:00,0.518
55097,Lamar Power Project,CC_REGULAR,2022,2022-11-05 00:00:00,2022-11-12 00:00:00,0.599
55137,Rio Nogales Power Project,CC_REGULAR,2022,2022-02-16 00:00:00,2022-02-23 00:00:00,0.623
