facility_name,facility_id,unit_id,unit_capacity_mw,plant_capacity_mw,unit_pct_of_plant,plant_group,capacity_source,outage_start,outage_end,duration_days,peer_units_online,total_units_at_plant,out_of_merit_share
Arthur Kill,2490,20,353.0,904.0,39.0,ST_GAS,observed_peak,2020-12-09,2020-12-11,2.5,2,3,1.0
Arthur Kill,2490,20,373.0,931.0,40.1,ST_GAS,observed_peak,2023-02-24,2023-02-27,3.2,2,3,0.961
Arthur Kill,2490,20,373.0,931.0,40.1,ST_GAS,observed_peak,2023-12-02,2023-12-06,4.3,2,3,0.99
Arthur Kill,2490,30,543.0,931.0,58.3,ST_GAS,observed_peak,2023-01-11,2023-01-14,3.1,2,3,1.0
Arthur Kill,2490,CT0001,15.0,903.0,1.7,ST_GAS,observed_peak,2019-06-25,2019-06-29,3.7,2,3,1.0
Arthur Kill,2490,CT0001,15.0,906.0,1.7,ST_GAS,observed_peak,2021-01-01,2021-01-05,4.8,2,3,1.0
Arthur Kill,2490,CT0001,15.0,906.0,1.7,ST_GAS,observed_peak,2021-05-26,2021-05-28,2.2,2,3,1.0
Arthur Kill,2490,CT0001,15.0,906.0,1.7,ST_GAS,observed_peak,2021-06-28,2021-07-01,3.0,2,3,1.0
Arthur Kill,2490,CT0001,15.0,906.0,1.7,ST_GAS,observed_peak,2021-12-16,2021-12-20,4.4,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-01-04,2022-01-08,4.2,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-01-12,2022-01-16,3.2,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-01-21,2022-01-25,3.9,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-01-25,2022-01-27,2.2,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-02-25,2022-02-28,3.1,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-05-31,2022-06-03,3.0,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-07-12,2022-07-14,1.8,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-07-18,2022-07-20,2.1,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-07-21,2022-07-24,3.0,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-07-31,2022-08-04,4.7,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-08-05,2022-08-08,2.8,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-08-26,2022-08-29,2.8,2,3,1.0
Arthur Kill,2490,CT0001,16.0,923.0,1.7,ST_GAS,observed_peak,2022-12-21,2022-12-24,3.0,2,3,1.0
Arthur Kill,2490,CT0001,15.0,931.0,1.6,ST_GAS,observed_peak,2023-09-09,2023-09-14,4.8,2,3,1.0
Arthur Kill,2490,CT0001,16.0,926.0,1.7,ST_GAS,observed_peak,2024-01-15,2024-01-16,1.0,2,3,1.0
Arthur Kill,2490,CT0001,16.0,921.0,1.7,ST_GAS,observed_peak,2025-02-02,2025-02-05,3.5,2,3,1.0
Arthur Kill,2490,CT0001,16.0,921.0,1.7,ST_GAS,observed_peak,2025-02-13,2025-02-16,2.9,2,3,1.0
East River,2493,1,180.0,669.5,26.9,ST_CHP,eia_exact,2020-03-06,2020-03-07,1.4,3,4,1.0
East River,2493,1,180.0,669.5,26.9,ST_CHP,eia_exact,2023-06-30,2023-07-04,3.9,3,4,1.0
East River,2493,2,180.0,669.5,26.9,ST_CHP,eia_exact,2024-11-17,2024-11-21,4.2,3,4,1.0
East River,2493,2,180.0,669.5,26.9,ST_CHP,eia_exact,2025-09-06,2025-09-07,1.2,3,4,1.0
Ravenswood Generating Station,2500,10,380.0,2084.0,18.2,CC_REGULAR,observed_peak,2024-07-13,2024-07-15,2.4,3,7,1.0
Ravenswood Generating Station,2500,30,1000.0,2109.0,47.4,CC_REGULAR,observed_peak,2019-08-21,2019-08-22,1.2,6,21,0.929
Ravenswood Generating Station,2500,CT0010,21.0,2109.0,1.0,CC_REGULAR,observed_peak,2019-07-17,2019-07-22,4.8,6,21,1.0
Ravenswood Generating Station,2500,CT0010,21.0,2109.0,1.0,CC_REGULAR,observed_peak,2019-07-29,2019-07-31,1.8,6,21,1.0
Ravenswood Generating Station,2500,CT0010,21.0,2109.0,1.0,CC_REGULAR,observed_peak,2019-08-19,2019-08-23,3.7,6,21,1.0
Ravenswood Generating Station,2500,CT0010,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-02,2020-07-06,3.8,6,21,1.0
Ravenswood Generating Station,2500,CT0010,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-06,2020-07-08,1.8,6,21,1.0
Ravenswood Generating Station,2500,CT0010,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-08,2020-07-12,4.1,6,21,1.0
Ravenswood Generating Station,2500,CT0010,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-23,2020-07-27,3.8,6,21,1.0
Ravenswood Generating Station,2500,CT0010,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-27,2020-08-01,4.8,6,21,1.0
Ravenswood Generating Station,2500,CT0010,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-08-02,2020-08-04,1.6,6,21,1.0
Ravenswood Generating Station,2500,CT0010,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-08-12,2020-08-17,4.8,6,21,1.0
Ravenswood Generating Station,2500,CT0010,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-08-22,2020-08-25,2.9,6,21,1.0
Ravenswood Generating Station,2500,CT0010,22.0,2140.0,1.0,CC_REGULAR,observed_peak,2021-01-29,2021-02-01,3.0,6,14,1.0
Ravenswood Generating Station,2500,CT0010,22.0,2140.0,1.0,CC_REGULAR,observed_peak,2021-02-08,2021-02-10,1.6,6,14,1.0
Ravenswood Generating Station,2500,CT0010,22.0,2140.0,1.0,CC_REGULAR,observed_peak,2021-03-02,2021-03-06,4.0,6,14,1.0
Ravenswood Generating Station,2500,CT0010,22.0,2140.0,1.0,CC_REGULAR,observed_peak,2021-12-20,2021-12-22,1.8,6,14,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-01-01,2022-01-03,3.0,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-01-14,2022-01-16,2.2,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-01-25,2022-01-28,2.9,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-01-29,2022-02-01,3.6,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-02-28,2022-03-03,3.6,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-03-12,2022-03-14,1.8,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-05-14,2022-05-16,1.8,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-06-14,2022-06-17,3.6,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-07-12,2022-07-17,4.9,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-07-22,2022-07-23,1.2,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-08-26,2022-08-29,2.7,4,7,1.0
Ravenswood Generating Station,2500,CT0010,25.0,2102.0,1.2,CC_REGULAR,observed_peak,2022-08-29,2022-08-30,1.1,4,7,1.0
Ravenswood Generating Station,2500,CT0010,21.0,2082.0,1.0,CC_REGULAR,observed_peak,2023-04-01,2023-04-05,4.0,4,7,1.0
Ravenswood Generating Station,2500,CT0010,21.0,2082.0,1.0,CC_REGULAR,observed_peak,2023-04-15,2023-04-17,1.8,4,7,1.0
Ravenswood Generating Station,2500,CT0011,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-02,2020-07-06,3.8,6,21,1.0
Ravenswood Generating Station,2500,CT0011,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-08,2020-07-12,4.2,6,21,1.0
Ravenswood Generating Station,2500,CT0011,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-23,2020-07-27,3.9,6,21,1.0
Ravenswood Generating Station,2500,CT0011,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-07-27,2020-08-01,4.8,6,21,1.0
Ravenswood Generating Station,2500,CT0011,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-08-03,2020-08-04,1.5,6,21,1.0
Ravenswood Generating Station,2500,CT0011,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-08-12,2020-08-17,4.8,6,21,1.0
Ravenswood Generating Station,2500,CT0011,18.0,2136.0,0.8,CC_REGULAR,observed_peak,2020-08-22,2020-08-25,2.9,6,21,1.0
Ravenswood Generating Station,2500,CT0011,22.0,2140.0,1.0,CC_REGULAR,observed_peak,2021-02-01,2021-02-04,2.6,6,14,1.0
Ravenswood Generating Station,2500,CT0011,22.0,2140.0,1.0,CC_REGULAR,observed_peak,2021-02-07,2021-02-09,1.5,6,14,1.0
Ravenswood Generating Station,2500,CT0011,22.0,2140.0,1.0,CC_REGULAR,observed_peak,2021-03-02,2021-03-06,3.9,6,14,1.0
E F Barrett,2511,10,41.8,539.8,7.7,ST_GAS,eia_exact,2025-09-24,2025-09-27,3.5,16,17,1.0
E F Barrett,2511,10,41.8,539.8,7.7,ST_GAS,eia_exact,2025-10-07,2025-10-10,2.7,16,17,1.0
