year,region_id,region_name,market_type_id,market_type_name,price_usd_per_ton,sales_short_tons
2001,AL,Alabama,OM,Open Market,34.36,
2001,APC,Appalachia Central,CAP,Captive,29.12,7131273.0
2001,APC,Appalachia Central,OM,Open Market,28.1,260848993.0
2001,APC,Appalachia Central,TOT,Total,28.13,267980266.0
2001,APN,Appalachia Northern,CAP,Captive,46.89,8864611.0
2001,APN,Appalachia Northern,OM,Open Market,24.04,132682227.0
2001,APN,Appalachia Northern,TOT,Total,25.47,141546838.0
2001,APP,Appalachia Total,CAP,Captive,39.08,16743917.0
2001,APP,Appalachia Total,OM,Open Market,27.07,412090289.0
2001,APP,Appalachia Total,TOT,Total,27.54,428834206.0
2001,APS,Appalachia Southern,CAP,Captive,41.45,748033.0
2001,APS,Appalachia Southern,OM,Open Market,34.36,18559069.0
2001,APS,Appalachia Southern,TOT,Total,34.64,19307102.0
2001,CO,Colorado,OM,Open Market,17.2,
2001,EMR,East of Mississippi River,CAP,Captive,38.49,17379934.0
2001,EMR,East of Mississippi River,OM,Open Market,26.1,507312341.0
2001,EMR,East of Mississippi River,TOT,Total,26.51,524692275.0
2001,ENC,East North Central,CAP,Captive,64.41,4957593.0
2001,ENC,East North Central,OM,Open Market,21.92,91354202.0
2001,ENC,East North Central,TOT,Total,24.11,96311795.0
2001,ESC,East South Central,CAP,Captive,32.14,2340236.0
2001,ESC,East South Central,OM,Open Market,27.67,154067090.0
2001,ESC,East South Central,TOT,Total,27.73,156407326.0
2001,EST,East Total,CAP,Captive,22.81,2819922.0
2001,EST,East Total,OM,Open Market,26.16,103035655.0
2001,EST,East Total,TOT,Total,26.07,105855577.0
2001,IL,Illinois,OM,Open Market,23.52,34055827.0
2001,IL,Illinois,TOT,Total,23.52,34055827.0
2001,ILL,Illinois Basin,CAP,Captive,22.84,636017.0
2001,ILL,Illinois Basin,OM,Open Market,21.93,94746630.0
2001,ILL,Illinois Basin,TOT,Total,21.94,95382647.0
2001,IN,Indiana,OM,Open Market,20.67,
2001,INO,Other Interior,CAP,Captive,15.48,35745763.0
2001,INO,Other Interior,OM,Open Market,19.96,15527817.0
2001,INO,Other Interior,TOT,Total,16.84,51273580.0
2001,INT,Interior Region Total,CAP,Captive,15.61,36381780.0
2001,INT,Interior Region Total,OM,Open Market,21.65,110274447.0
2001,INT,Interior Region Total,TOT,Total,20.15,146656227.0
2001,KY,Kentucky,CAP,Captive,27.77,1581848.0
2001,KY,Kentucky,OM,Open Market,26.77,131702198.0
2001,KY,Kentucky,TOT,Total,26.78,133284046.0
2001,KYE,Kentucky (East),OM,Open Market,27.96,
2001,KYW,Kentucky (West),OM,Open Market,21.58,
2001,MAT,Middle Atlantic,CAP,Captive,23.13,909860.0
2001,MAT,Middle Atlantic,OM,Open Market,25.07,72174716.0
2001,MAT,Middle Atlantic,TOT,Total,25.04,73084576.0
2001,MD,Maryland,OM,Open Market,23.83,
2001,MID,Midwest Total,CAP,Captive,60.32,5360592.0
2001,MID,Midwest Total,OM,Open Market,18.62,121991582.0
2001,MID,Midwest Total,TOT,Total,20.38,127352174.0
2001,MT,Montana,OM,Open Market,8.83,
2001,MTN,Mountain,CAP,Captive,12.72,26778847.0
2001,MTN,Mountain,OM,Open Market,8.68,482971566.0
2001,MTN,Mountain,TOT,Total,8.89,509750413.0
2001,ND,North Dakota,OM,Open Market,8.48,
2001,NM,New Mexico,OM,Open Market,22.02,28889760.0
2001,NM,New Mexico,TOT,Total,22.02,28889760.0
2001,OH,Ohio,CAP,Captive,68.47,4514143.0
2001,OH,Ohio,OM,Open Market,21.48,21149960.0
2001,OH,Ohio,TOT,Total,29.75,25664103.0
2001,PA,Pennsylvania,CAP,Captive,23.13,909860.0
2001,PA,Pennsylvania,OM,Open Market,25.07,72174716.0
2001,PA,Pennsylvania,TOT,Total,25.04,73084576.0
2001,PAA,Pennsylvania (Anthracite),OM,Open Market,47.67,1377955.0
2001,PAA,Pennsylvania (Anthracite),TOT,Total,47.67,1377955.0
2001,PAB,Pennsylvania (Bituminous),CAP,Captive,23.13,909860.0
2001,PAB,Pennsylvania (Bituminous),OM,Open Market,24.63,70796761.0
2001,PAB,Pennsylvania (Bituminous),TOT,Total,24.61,71706621.0
2001,PRB,Powder River Basin,CAP,Captive,5.87,12339217.0
2001,PRB,Powder River Basin,OM,Open Market,5.68,380509424.0
2001,PRB,Powder River Basin,TOT,Total,5.68,392848641.0
2001,SAT,South Atlantic,CAP,Captive,27.61,9172245.0
2001,SAT,South Atlantic,OM,Open Market,27.24,189716333.0
2001,SAT,South Atlantic,TOT,Total,27.26,198888578.0
2001,STH,South Total,CAP,Captive,18.49,45348182.0
2001,STH,South Total,OM,Open Market,26.97,327432776.0
2001,STH,South Total,TOT,Total,25.94,372780958.0
2001,TN,Tennessee,OM,Open Market,27.57,
2001,TX,Texas,CAP,Captive,15.48,35745763.0
2001,UNT,Uinta Basin,CAP,Captive,20.48,8263454.0
2001,UNT,Uinta Basin,OM,Open Market,18.18,50939899.0
2001,UNT,Uinta Basin,TOT,Total,18.51,59203353.0
2001,US,U.S. Total,CAP,Captive,20.01,84930177.0
2001,US,U.S. Total,OM,Open Market,17.38,1036955162.0
2001,US,U.S. Total,TOT,Total,17.58,1121885339.0
2001,UT,Utah,CAP,Captive,16.93,6175437.0
2001,UT,Utah,OM,Open Market,19.86,20457947.0
2001,UT,Utah,TOT,Total,19.18,26633384.0
2001,VA,Virginia,OM,Open Market,28.72,30860939.0
2001,WBO,Other Western,CAP,Captive,21.02,11201809.0
2001,WBO,Other Western,OM,Open Market,16.72,83141103.0
