year,region_id,region_name,coal_rank_id,coal_rank_name,price_usd_per_ton
2019,KYE,Kentucky (East),BIT,Bituminous,67.09
2019,KYE,Kentucky (East),TOT,All,67.09
2019,KYW,Kentucky (West),BIT,Bituminous,42.57
2019,KYW,Kentucky (West),TOT,All,42.57
2019,MAT,Middle Atlantic,ANT,Anthracite,102.22
2019,MAT,Middle Atlantic,BIT,Bituminous,54.88
2019,MAT,Middle Atlantic,TOT,All,57.11
2019,MD,Maryland,BIT,Bituminous,77.28
2019,MD,Maryland,TOT,All,77.28
2019,MID,Midwest Total,BIT,Bituminous,38.61
2019,MID,Midwest Total,LIG,Lignite,18.93
2019,MID,Midwest Total,TOT,All,33.78
2019,MT,Montana,SUB,Subbituminous,18.12
2019,MT,Montana,TOT,All,21.66
2019,MTN,Mountain,BIT,Bituminous,43.45
2019,MTN,Mountain,SUB,Subbituminous,13.87
2019,MTN,Mountain,TOT,All,17.61
2019,ND,North Dakota,LIG,Lignite,18.93
2019,ND,North Dakota,TOT,All,18.93
2019,NM,New Mexico,TOT,All,39.71
2019,OH,Ohio,BIT,Bituminous,39.88
2019,OH,Ohio,TOT,All,39.88
2019,PA,Pennsylvania,ANT,Anthracite,102.22
2019,PA,Pennsylvania,BIT,Bituminous,54.88
2019,PA,Pennsylvania,TOT,All,57.11
2019,PAA,Pennsylvania (Anthracite),ANT,Anthracite,102.22
2019,PAA,Pennsylvania (Anthracite),TOT,All,102.22
2019,PAB,Pennsylvania (Bituminous),BIT,Bituminous,54.88
2019,PAB,Pennsylvania (Bituminous),TOT,All,54.88
2019,PRB,Powder River Basin,SUB,Subbituminous,11.98
2019,PRB,Powder River Basin,TOT,All,11.98
2019,SAT,South Atlantic,BIT,Bituminous,75.57
2019,SAT,South Atlantic,TOT,All,75.57
2019,STH,South Total,BIT,Bituminous,73.74
2019,STH,South Total,LIG,Lignite,20.86
2019,STH,South Total,TOT,All,65.91
2019,TX,Texas,TOT,All,16.9
2019,UNT,Uinta Basin,BIT,Bituminous,40.42
2019,UNT,Uinta Basin,SUB,Subbituminous,43.82
2019,UNT,Uinta Basin,TOT,All,40.9
2019,US,U.S. Total,ANT,Anthracite,102.22
2019,US,U.S. Total,BIT,Bituminous,58.93
2019,US,U.S. Total,LIG,Lignite,19.86
2019,US,U.S. Total,SUB,Subbituminous,14.01
2019,US,U.S. Total,TOT,All,36.07
2019,UT,Utah,BIT,Bituminous,37.95
2019,UT,Utah,TOT,All,37.95
2019,VA,Virginia,BIT,Bituminous,98.06
2019,VA,Virginia,TOT,All,98.06
2019,WBO,Other Western,BIT,Bituminous,46.47
2019,WBO,Other Western,LIG,Lignite,18.95
2019,WBO,Other Western,SUB,Subbituminous,50.12
2019,WBO,Other Western,TOT,All,35.34
2019,WMR,West of Mississippi River,BIT,Bituminous,43.02
2019,WMR,West of Mississippi River,LIG,Lignite,19.62
2019,WMR,West of Mississippi River,SUB,Subbituminous,14.01
2019,WMR,West of Mississippi River,TOT,All,18.02
2019,WNC,West North Central,LIG,Lignite,18.93
2019,WNC,West North Central,TOT,All,19.17
2019,WSB,Western Region Total,BIT,Bituminous,43.45
2019,WSB,Western Region Total,LIG,Lignite,18.95
2019,WSB,Western Region Total,SUB,Subbituminous,14.01
2019,WSB,Western Region Total,TOT,All,17.81
2019,WSC,West South Central,BIT,Bituminous,31.04
2019,WSC,West South Central,LIG,Lignite,20.44
2019,WSC,West South Central,TOT,All,21.22
2019,WST,West Total,BIT,Bituminous,43.45
2019,WST,West Total,LIG,Lignite,20.68
2019,WST,West Total,SUB,Subbituminous,14.01
2019,WST,West Total,TOT,All,17.72
2019,WV,West Virginia,BIT,Bituminous,72.7
2019,WV,West Virginia,TOT,All,72.7
2019,WVN,West Virginia (Northern),BIT,Bituminous,55.03
2019,WVN,West Virginia (Northern),TOT,All,55.03
2019,WVS,West Virginia (Southern),BIT,Bituminous,91.13
2019,WVS,West Virginia (Southern),TOT,All,91.13
2019,WY,Wyoming,TOT,All,12.63
2020,AL,Alabama,BIT,Bituminous,98.01
2020,AL,Alabama,TOT,All,98.01
2020,APC,Appalachia Central,BIT,Bituminous,73.56
2020,APC,Appalachia Central,TOT,All,73.56
2020,APN,Appalachia Northern,ANT,Anthracite,90.68
2020,APN,Appalachia Northern,BIT,Bituminous,48.42
2020,APN,Appalachia Northern,TOT,All,49.72
2020,APP,Appalachia Total,ANT,Anthracite,90.68
2020,APP,Appalachia Total,BIT,Bituminous,61.84
