YEAR,MONTH,Plant Id,Plant Name,Plant State,Purchase Type,Contract Expiration Date,ENERGY_SOURCE,FUEL_GROUP,Coalmine Type,Coalmine State,Coalmine County,Coalmine Msha Id,Coalmine Name,SUPPLIER,QUANTITY,Average Heat Content,Average Sulfur Content,Average Ash Content,Average Mercury Content,FUEL_COST,Regulated,Operator Name,Operator Id,Reporting Frequency,Primary Transportation Mode,Secondary Transportation Mode,Natural Gas Supply Contract Type,Natural Gas Delivery Contract Type,Moisture Content,Chlorine Content,Balancing Authority Code
2021,1,3,Barry,AL,C,1222,BIT,Coal,S,CL,IMP,NA,MINA PRIBBENOW,INTEROCEAN COAL SALES,136329,20.118,0.6,10.2,0,315.2,REG,Alabama Power Co,195,M,RV,,,,16.5,0,SOCO
2021,1,3,Barry,AL,S,.,BIT,Coal,S,CL,IMP,NA,MINA PRIBBENOW,INTEROCEAN COAL SALES,11441,20.742,0.51,6.8,0,321.3,REG,Alabama Power Co,195,M,RV,,,,17.5,0,SOCO
2021,1,26,E C Gaston,AL,C,1222,BIT,Coal,S,AL,127,0103376,TOWN CREEK,ALABAMA COAL COOPERATIVE,31836,23.904,1.45,13.8,0,423.7,REG,Alabama Power Co,195,M,RR,,,,7,0,SOCO
2021,1,26,E C Gaston,AL,S,.,BIT,Coal,S,CL,IMP,NA,MINA PRIBBENOW,INTEROCEAN COAL SALES,9771,20.742,0.51,6.8,0,375,REG,Alabama Power Co,195,M,RR,,,,17.5,0,SOCO
2021,1,51,Dolet Hills,LA,C,1250,LIG,Coal,S,LA,31,1601031,DOLET HILLS LIGNITE COMPANY,DOLET HILLS LIGNITE,8677,13.32,0.51,15.5,0,3888.9,REG,Cleco Power LLC,3265,M,TR,,,,32.61,0,MISO
2021,1,59,Platte,NE,C,1222,SUB,Coal,S,WY,5,4800992,CORDERO MINE,"NAVAJO TRANSITIONAL ENERGY CO., LLC",20998,16.97,0.23,4.3,0.08,151.5,REG,City of Grand Island - (NE),40606,A,RR,,,,24.15,0,SWPP
2021,1,60,Whelan Energy Center,NE,C,1221,SUB,Coal,S,WY,5,4800993,RAWHIDE MINE,PEABODY COAL SALES,78879,16.315,0.29,5.6,0,115,REG,City of Hastings - (NE),8245,M,RR,TR,,,31.04,0,SWPP
2021,1,108,Holcomb,KS,C,1221,SUB,Coal,S,WY,5,4801034,CABALLO MINE,CABALLO ROJO,68269,17.165,0.32,5,0.07,128.8,REG,Sunflower Electric Power Corp,18315,M,RR,,,,27.82,0,SWPP
2021,1,108,Holcomb,KS,C,1222,SUB,Coal,S,WY,5,4800992,CORDERO MINE,CORDERO,43768,16.914,0.27,5.4,0.07,128.4,REG,Sunflower Electric Power Corp,18315,M,RR,,,,29.69,0,SWPP
2021,1,113,Cholla,AZ,C,1224,SUB,Coal,S,NM,31,2902257,EL SEGUNDO,PEABODY COAL SALES,77447,18.25,1.06,15.5,0,236.5,REG,Arizona Public Service Co,803,M,RR,,,,17.8,0,AZPS
