Plant Id,Combined Heat And Power Plant,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,NAICS Code,EIA Sector Number,Sector Name,Reported Fuel Type Code,AER Fuel Type Code,Physical Unit Label,Quantity January,Quantity February,Quantity March,Quantity April,Quantity May,Quantity June,Quantity July,Quantity August,Quantity September,Quantity October,Quantity November,Quantity December,Balancing Authority Code,YEAR
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,BIT,COL,short tons,622391,595375,505714,558508,556438,497322,413850,420346,445295,468767,475694,493390,SOCO,2022
3,N,Barry,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,SUB,COL,short tons,0,0,0,0,0,0,0,0,0,0,0,0,SOCO,2022
26,N,E C Gaston,Alabama Power Co,195,AL,ESC,SERC,22,1,Electric Utility,BIT,COL,short tons,333805,310861,336895,325965,251865,249249,223953,250572,299905,373927,433387,422400,SOCO,2022
51,N,Dolet Hills,Cleco Power LLC,3265,LA,WSC,SERC,22,1,Electric Utility,LIG,COL,short tons,78546,78546,.,.,.,.,.,.,.,.,.,.,MISO,2022
59,N,Platte,City of Grand Island - (NE),40606,NE,WNC,MRO,22,1,Electric Utility,SUB,COL,short tons,.,.,.,.,.,.,.,.,.,.,.,52069,SWPP,2022
60,N,Whelan Energy Center,City of Hastings - (NE),8245,NE,WNC,MRO,22,1,Electric Utility,SUB,COL,short tons,243724,221469,215841,218782,244481,250645,236827,226022,238303,233785,234410,184642,SWPP,2022
108,N,Holcomb,Sunflower Electric Power Corp,18315,KS,WNC,MRO,22,1,Electric Utility,SUB,COL,short tons,223163,220783,220134,214231,231795,234367,194711,163647,176961,179034,265345,219246,SWPP,2022
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,BIT,COL,short tons,0,0,0,0,0,0,0,0,0,0,0,0,AZPS,2022
113,N,Cholla,Arizona Public Service Co,803,AZ,MTN,WECC,22,1,Electric Utility,SUB,COL,short tons,120078,141560,137314,264741,308921,279737,244141,231882,216161,210102,190439,183937,AZPS,2022
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,BIT,COL,short tons,296443,323932,413252,354464,345202,328626,260238,374952,428829,622122,782509,801847,SC,2022
130,N,Cross,South Carolina Public Service Authority,17543,SC,SAT,SERC,22,1,Electric Utility,RC,COL,short tons,0,0,0,0,0,.,.,.,.,.,.,.,SC,2022
136,N,Seminole (FL),Seminole Electric Cooperative Inc,21554,FL,SAT,SERC,22,1,Electric Utility,BIT,COL,short tons,283017,278978,282036,228502,207318,197915,185506,180756,189867,264033,221537,215634,SEC,2022
160,N,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,BIT,COL,short tons,985,985,985,985,985,985,985,985,985,985,985,130,WALC,2022
160,N,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN,WECC,22,1,Electric Utility,SUB,COL,short tons,184551,183222,191526,180381,174709,143380,119584,109947,121326,217606,213198,187582,WALC,2022
