year,hour,capability_mw
2018,0,50.8
2018,1,50.8
2018,2,50.8
2018,3,50.8
2018,4,50.8
2018,5,50.8
2018,6,50.8
2018,7,50.8
2018,8,50.8
2018,9,50.8
2018,10,50.8
2018,11,50.8
2018,12,50.8
2018,13,50.8
2018,14,50.8
2018,15,50.8
2018,16,50.8
2018,17,50.8
2018,18,50.8
2018,19,50.8
2018,20,50.8
2018,21,50.8
2018,22,50.8
2018,23,50.8
2018,24,50.8
2018,25,50.8
2018,26,50.8
2018,27,50.8
2018,28,50.8
2018,29,50.8
2018,30,50.8
2018,31,50.8
2018,32,50.8
2018,33,50.8
2018,34,50.8
2018,35,50.8
2018,36,50.8
2018,37,50.8
2018,38,50.8
2018,39,50.8
2018,40,50.8
2018,41,50.8
2018,42,50.8
2018,43,50.8
2018,44,50.8
2018,45,50.8
2018,46,50.8
2018,47,50.8
2018,48,50.8
2018,49,50.8
2018,50,50.8
2018,51,50.8
2018,52,50.8
2018,53,50.8
2018,54,50.8
2018,55,50.8
2018,56,50.8
2018,57,50.8
2018,58,50.8
2018,59,50.8
2018,60,50.8
2018,61,50.8
2018,62,50.8
2018,63,50.8
2018,64,50.8
2018,65,50.8
2018,66,50.8
2018,67,50.8
2018,68,50.8
2018,69,50.8
2018,70,50.8
2018,71,50.8
2018,72,50.8
2018,73,50.8
2018,74,50.8
2018,75,50.8
2018,76,50.8
2018,77,50.8
2018,78,50.8
2018,79,50.8
2018,80,50.8
2018,81,50.8
2018,82,50.8
2018,83,50.8
2018,84,50.8
2018,85,50.8
2018,86,50.8
2018,87,50.8
2018,88,50.8
2018,89,50.8
2018,90,50.8
2018,91,50.8
2018,92,50.8
2018,93,50.8
2018,94,50.8
2018,95,50.8
2018,96,50.8
2018,97,50.8
2018,98,50.8
2018,99,50.8
2018,100,50.8
2018,101,50.8
2018,102,50.8
2018,103,50.8
2018,104,50.8
2018,105,48.3
2018,106,48.3
2018,107,50.8
2018,108,50.8
2018,109,50.8
2018,110,50.8
2018,111,50.8
2018,112,50.8
2018,113,50.8
2018,114,50.8
2018,115,50.8
2018,116,50.8
2018,117,50.8
2018,118,50.8
2018,119,50.8
2018,120,50.8
2018,121,50.8
2018,122,50.8
