date,zone,tmax_c,tmin_c
2022-04-01,Houston,26.1,9.4
2022-04-02,Houston,29.4,12.2
2022-04-03,Houston,27.8,13.3
2022-04-04,Houston,24.4,17.8
2022-04-05,Houston,32.2,22.2
2022-04-06,Houston,27.8,16.7
2022-04-07,Houston,24.4,12.2
2022-04-08,Houston,25.0,8.9
2022-04-09,Houston,28.9,6.7
2022-04-10,Houston,27.2,18.3
2022-04-11,Houston,27.8,20.6
2022-04-12,Houston,27.8,22.8
2022-04-13,Houston,27.8,19.4
2022-04-14,Houston,28.3,12.8
2022-04-15,Houston,27.8,16.7
2022-04-16,Houston,28.3,22.8
2022-04-17,Houston,31.7,20.6
2022-04-18,Houston,26.7,16.7
2022-04-19,Houston,24.4,12.2
2022-04-20,Houston,28.9,21.1
2022-04-21,Houston,29.4,23.3
2022-04-22,Houston,28.9,21.7
2022-04-23,Houston,28.9,21.7
2022-04-24,Houston,30.6,21.1
2022-04-25,Houston,29.4,17.2
2022-04-26,Houston,26.1,16.7
2022-04-27,Houston,27.2,13.9
2022-04-28,Houston,28.3,16.7
2022-04-29,Houston,30.0,18.9
2022-04-30,Houston,31.7,22.2
2022-05-01,Houston,30.6,22.2
2022-05-02,Houston,31.1,23.3
2022-05-03,Houston,30.6,23.3
2022-05-04,Houston,30.6,23.3
2022-05-05,Houston,31.1,19.4
2022-05-06,Houston,31.7,17.2
2022-05-07,Houston,33.9,22.8
2022-05-08,Houston,33.9,25.6
2022-05-09,Houston,33.3,26.1
2022-05-10,Houston,31.7,24.4
2022-05-11,Houston,31.7,21.1
2022-05-12,Houston,32.2,19.4
2022-05-13,Houston,32.8,19.4
2022-05-14,Houston,32.8,21.7
2022-05-15,Houston,33.9,21.7
2022-05-16,Houston,34.4,21.7
2022-05-17,Houston,34.4,22.2
2022-05-18,Houston,35.0,24.4
2022-05-19,Houston,33.9,24.4
2022-05-20,Houston,33.3,25.6
2022-05-21,Houston,33.9,26.1
2022-05-22,Houston,28.9,20.6
2022-05-23,Houston,27.2,20.0
2022-05-24,Houston,26.7,20.6
2022-05-25,Houston,28.3,17.8
2022-05-26,Houston,33.9,16.1
2022-05-27,Houston,35.0,21.1
2022-05-28,Houston,34.4,17.2
2022-05-29,Houston,33.3,24.4
2022-05-30,Houston,33.3,25.6
2022-05-31,Houston,33.3,25.6
2022-06-01,Houston,33.3,23.9
2022-06-02,Houston,35.0,22.8
2022-06-03,Houston,32.2,21.1
2022-06-04,Houston,32.8,22.8
2022-06-05,Houston,34.4,22.2
2022-06-06,Houston,33.9,25.6
2022-06-07,Houston,35.6,25.6
2022-06-08,Houston,36.1,26.1
2022-06-09,Houston,36.1,23.9
2022-06-10,Houston,37.2,26.1
2022-06-11,Houston,36.7,26.7
2022-06-12,Houston,37.2,26.7
2022-06-13,Houston,37.2,26.7
2022-06-14,Houston,35.6,27.2
2022-06-15,Houston,36.7,27.2
2022-06-16,Houston,37.2,23.9
2022-06-17,Houston,36.1,25.0
2022-06-18,Houston,37.2,24.4
2022-06-19,Houston,37.8,25.0
2022-06-20,Houston,38.9,25.0
2022-06-21,Houston,36.7,24.4
2022-06-22,Houston,36.7,24.4
2022-06-23,Houston,38.3,25.0
2022-06-24,Houston,37.2,26.1
2022-06-25,Houston,38.3,22.2
2022-06-26,Houston,38.9,23.9
2022-06-27,Houston,37.2,25.0
2022-06-28,Houston,36.1,24.4
2022-06-29,Houston,36.7,23.9
2022-06-30,Houston,27.8,23.9
2022-04-01,North,24.4,7.8
2022-04-02,North,25.6,10.6
2022-04-03,North,30.0,12.2
2022-04-04,North,27.2,15.0
2022-04-05,North,35.0,13.9
2022-04-06,North,25.0,13.9
2022-04-07,North,21.7,10.0
2022-04-08,North,20.6,9.4
2022-04-09,North,31.1,5.6
2022-04-10,North,30.0,16.7
2022-04-11,North,31.7,21.7
2022-04-12,North,28.9,18.9
