period,state,usd_per_mcf,usd_per_mmbtu,cc_fuel_cost_usd_mwh,heat_rate_mmbtu_mwh,mcf_to_mmbtu
2023-01,AL,4.25,4.102316602316602,27.485521235521233,6.7,1.036
2023-02,AL,3.04,2.9343629343629343,19.66023166023166,6.7,1.036
2023-03,AL,2.79,2.693050193050193,18.043436293436294,6.7,1.036
2023-04,AL,2.63,2.5386100386100385,17.00868725868726,6.7,1.036
2023-05,AL,2.57,2.4806949806949805,16.62065637065637,6.7,1.036
2023-06,AL,2.66,2.5675675675675675,17.2027027027027,6.7,1.036
2023-07,AL,3.15,3.0405405405405403,20.37162162162162,6.7,1.036
2023-08,AL,3.08,2.972972972972973,19.91891891891892,6.7,1.036
2023-09,AL,3.17,3.05984555984556,20.50096525096525,6.7,1.036
2023-10,AL,3.35,3.2335907335907335,21.665057915057915,6.7,1.036
2023-11,AL,3.26,3.1467181467181464,21.083011583011583,6.7,1.036
2023-12,AL,3.05,2.944015444015444,19.724903474903474,6.7,1.036
2024-01,AL,4.37,4.218146718146718,28.26158301158301,6.7,1.036
2024-02,AL,2.6,2.5096525096525095,16.814671814671815,6.7,1.036
2024-03,AL,2.06,1.9884169884169884,13.322393822393822,6.7,1.036
2024-04,AL,1.99,1.9208494208494207,12.869691119691119,6.7,1.036
2024-05,AL,2.71,2.6158301158301156,17.526061776061773,6.7,1.036
2024-06,AL,3.37,3.252895752895753,21.794401544401545,6.7,1.036
2024-07,AL,2.77,2.6737451737451736,17.914092664092664,6.7,1.036
2024-08,AL,2.39,2.306949806949807,15.456563706563706,6.7,1.036
2024-09,AL,2.67,2.577220077220077,17.267374517374517,6.7,1.036
2024-10,AL,2.8,2.7027027027027026,18.10810810810811,6.7,1.036
2024-11,AL,2.48,2.393822393822394,16.038610038610038,6.7,1.036
2024-12,AL,3.59,3.465250965250965,23.217181467181465,6.7,1.036
2025-01,AL,5.3,5.115830115830115,34.27606177606177,6.7,1.036
2025-02,AL,4.61,4.44980694980695,29.813706563706567,6.7,1.036
2025-03,AL,4.52,4.362934362934363,29.231660231660232,6.7,1.036
2025-04,AL,4.11,3.9671814671814674,26.580115830115833,6.7,1.036
2025-05,AL,3.67,3.542471042471042,23.734555984555982,6.7,1.036
2025-06,AL,4.08,3.9382239382239383,26.386100386100388,6.7,1.036
2025-07,AL,4.08,3.9382239382239383,26.386100386100388,6.7,1.036
2025-08,AL,3.76,3.629343629343629,24.316602316602317,6.7,1.036
2025-09,AL,3.63,3.5038610038610036,23.475868725868725,6.7,1.036
2025-10,AL,3.78,3.6486486486486482,24.445945945945944,6.7,1.036
2025-11,AL,4.15,4.005791505791506,26.83880308880309,6.7,1.036
2025-12,AL,5.21,5.028957528957529,33.69401544401544,6.7,1.036
2023-01,GA,4.46,4.305019305019305,28.843629343629342,6.7,1.036
2023-02,GA,3.35,3.2335907335907335,21.665057915057915,6.7,1.036
2023-03,GA,2.99,2.886100386100386,19.336872586872587,6.7,1.036
2023-04,GA,2.75,2.6544401544401546,17.784749034749037,6.7,1.036
2023-05,GA,2.58,2.4903474903474905,16.685328185328185,6.7,1.036
2023-06,GA,2.78,2.683397683397683,17.97876447876448,6.7,1.036
2023-07,GA,3.39,3.2722007722007724,21.923745173745175,6.7,1.036
2023-08,GA,3.37,3.252895752895753,21.794401544401545,6.7,1.036
2023-09,GA,3.2,3.088803088803089,20.694980694980696,6.7,1.036
2023-10,GA,3.22,3.1081081081081083,20.824324324324326,6.7,1.036
2023-11,GA,3.51,3.3880308880308876,22.69980694980695,6.7,1.036
2023-12,GA,3.2,3.088803088803089,20.694980694980696,6.7,1.036
2024-01,GA,5.18,5.0,33.5,6.7,1.036
2024-02,GA,2.52,2.4324324324324325,16.2972972972973,6.7,1.036
2024-03,GA,2.07,1.998069498069498,13.387065637065637,6.7,1.036
2024-04,GA,2.13,2.0559845559845558,13.775096525096524,6.7,1.036
2024-05,GA,2.68,2.586872586872587,17.332046332046332,6.7,1.036
2024-06,GA,3.39,3.2722007722007724,21.923745173745175,6.7,1.036
2024-07,GA,2.87,2.77027027027027,18.56081081081081,6.7,1.036
2024-08,GA,2.51,2.4227799227799225,16.23262548262548,6.7,1.036
2024-09,GA,2.79,2.693050193050193,18.043436293436294,6.7,1.036
2024-10,GA,2.8,2.7027027027027026,18.10810810810811,6.7,1.036
2024-11,GA,2.71,2.6158301158301156,17.526061776061773,6.7,1.036
2024-12,GA,4.0,3.861003861003861,25.868725868725868,6.7,1.036
2025-01,GA,,,,6.7,1.036
2025-02,GA,,,,6.7,1.036
2025-03,GA,,,,6.7,1.036
2025-04,GA,,,,6.7,1.036
2025-05,GA,,,,6.7,1.036
2025-06,GA,,,,6.7,1.036
2025-07,GA,,,,6.7,1.036
2025-08,GA,,,,6.7,1.036
2025-09,GA,,,,6.7,1.036
2025-10,GA,,,,6.7,1.036
2025-11,GA,,,,6.7,1.036
2025-12,GA,,,,6.7,1.036
2023-01,MS,3.9,3.7644787644787643,25.22200772200772,6.7,1.036
2023-02,MS,2.94,2.8378378378378377,19.013513513513512,6.7,1.036
2023-03,MS,2.86,2.76061776061776,18.496138996138995,6.7,1.036
2023-04,MS,2.4,2.3166023166023164,15.52123552123552,6.7,1.036
2023-05,MS,2.42,2.335907335907336,15.650579150579151,6.7,1.036
2023-06,MS,2.49,2.4034749034749034,16.103281853281853,6.7,1.036
2023-07,MS,2.78,2.683397683397683,17.97876447876448,6.7,1.036
2023-08,MS,2.74,2.644787644787645,17.720077220077222,6.7,1.036
2023-09,MS,2.77,2.6737451737451736,17.914092664092664,6.7,1.036
2023-10,MS,2.83,2.7316602316602316,18.302123552123554,6.7,1.036
2023-11,MS,3.08,2.972972972972973,19.91891891891892,6.7,1.036
2023-12,MS,2.75,2.6544401544401546,17.784749034749037,6.7,1.036
2024-01,MS,4.92,4.749034749034749,31.81853281853282,6.7,1.036
2024-02,MS,2.33,2.249034749034749,15.068532818532818,6.7,1.036
2024-03,MS,1.98,1.9111969111969112,12.805019305019306,6.7,1.036
2024-04,MS,1.82,1.7567567567567568,11.77027027027027,6.7,1.036
2024-05,MS,2.91,2.808880308880309,18.81949806949807,6.7,1.036
2024-06,MS,2.65,2.5579150579150576,17.138030888030887,6.7,1.036
2024-07,MS,2.5,2.413127413127413,16.167953667953668,6.7,1.036
2024-08,MS,2.51,2.4227799227799225,16.23262548262548,6.7,1.036
2024-09,MS,2.39,2.306949806949807,15.456563706563706,6.7,1.036
2024-10,MS,2.66,2.5675675675675675,17.2027027027027,6.7,1.036
2024-11,MS,2.42,2.335907335907336,15.650579150579151,6.7,1.036
2024-12,MS,3.44,3.3204633204633205,22.247104247104247,6.7,1.036
2025-01,MS,,,,6.7,1.036
2025-02,MS,,,,6.7,1.036
2025-03,MS,,,,6.7,1.036
2025-04,MS,,,,6.7,1.036
2025-05,MS,,,,6.7,1.036
2025-06,MS,,,,6.7,1.036
2025-07,MS,,,,6.7,1.036
2025-08,MS,,,,6.7,1.036
2025-09,MS,,,,6.7,1.036
2025-10,MS,,,,6.7,1.036
2025-11,MS,,,,6.7,1.036
2025-12,MS,,,,6.7,1.036
