date,algonquin_citygate_usd_mmbtu,source
2018-01-03,38.2200,last_wednesday
2018-01-10,4.4800,wednesday
2018-01-17,13.8000,last_wednesday
2018-01-24,14.9800,last_wednesday
2018-01-31,6.3000,last_wednesday
2018-02-07,8.1000,last_wednesday
2018-02-14,2.4200,last_wednesday
2018-02-21,2.9400,last_wednesday
2018-02-28,2.3200,last_wednesday
2018-03-07,4.2000,last_wednesday
2018-03-14,5.8500,last_wednesday
2018-03-21,3.8200,last_wednesday
2018-03-28,2.3500,last_wednesday
2018-04-04,6.8100,last_wednesday
2018-04-11,4.2300,last_wednesday
2018-04-18,8.3400,last_wednesday
2018-04-25,2.7200,last_wednesday
2018-05-02,2.6200,last_wednesday
2018-05-09,2.2700,last_wednesday
2018-05-16,2.4000,last_wednesday
2018-05-23,2.4300,last_wednesday
2018-05-25,2.1300,weekly_low
2018-05-30,2.5400,last_wednesday
2018-06-06,2.5100,last_wednesday
2018-06-13,2.5000,last_wednesday
2018-06-20,2.7200,last_wednesday
2018-06-27,2.8100,wednesday
2018-07-04,3.1800,last_wednesday
2018-07-11,2.7000,last_wednesday
2018-07-18,2.7100,last_wednesday
2018-07-25,2.8200,last_wednesday
2018-08-01,3.0800,last_wednesday
2018-08-08,3.2600,last_wednesday
2018-08-15,4.1400,last_wednesday
2018-08-22,2.8600,last_wednesday
2018-08-29,3.5500,last_wednesday
2018-09-05,3.1100,last_wednesday
2018-09-12,2.7500,last_wednesday
2018-09-17,3.0000,weekly_high
2018-09-19,2.9100,last_wednesday
2018-09-26,3.2300,last_wednesday
2018-10-03,3.6000,last_wednesday
2018-10-10,3.0500,last_wednesday
2018-10-17,3.9200,last_wednesday
2018-10-24,4.2100,last_wednesday
2018-10-31,2.9000,last_wednesday
2018-11-07,3.7600,last_wednesday
2018-11-14,10.1600,wednesday
2018-11-21,9.0200,last_wednesday
2018-11-28,5.9800,last_wednesday
2018-12-05,6.9600,last_wednesday
2018-12-12,7.1500,last_wednesday
2018-12-19,3.8500,wednesday
2019-01-02,2.9700,last_wednesday
2019-01-09,6.6000,last_wednesday
2019-01-16,11.3800,last_wednesday
2019-01-18,13.5600,weekly_high
2019-01-23,3.5300,last_wednesday
2019-01-29,10.0400,weekly_high
2019-01-30,9.1000,last_wednesday
2019-02-06,2.6900,last_wednesday
2019-02-13,3.7500,last_wednesday
2019-02-20,2.9400,last_wednesday
2019-02-27,5.7100,last_wednesday
2019-03-06,6.9900,last_wednesday
2019-03-13,2.8300,last_wednesday
2019-03-20,2.9600,last_wednesday
2019-03-27,2.7300,last_wednesday
2019-03-28,2.5700,weekly_low
2019-03-29,3.1200,weekly_high
2019-04-03,2.7000,last_wednesday
2019-04-10,2.7200,wednesday
2019-04-17,2.4000,last_wednesday
2019-04-24,2.4300,last_wednesday
2019-05-01,2.6000,last_wednesday
2019-05-08,2.3600,last_wednesday
2019-05-15,2.3200,last_wednesday
2019-05-22,2.2500,last_wednesday
2019-05-29,2.3200,last_wednesday
2019-06-05,2.3000,last_wednesday
2019-06-12,2.1500,last_wednesday
2019-06-19,2.1700,last_wednesday
2019-06-26,2.2100,wednesday
2019-07-03,2.0900,last_wednesday
2019-07-10,2.4400,last_wednesday
2019-07-17,2.3500,last_wednesday
2019-07-24,2.0700,last_wednesday
2019-07-31,2.2200,last_wednesday
2019-08-07,2.0500,last_wednesday
2019-08-14,2.0900,last_wednesday
2019-08-21,2.1900,last_wednesday
2019-08-28,2.0500,last_wednesday
2019-09-04,2.0200,last_wednesday
2019-09-11,2.3800,last_wednesday
2019-09-18,2.1400,last_wednesday
2019-09-25,1.8000,last_wednesday
2019-10-02,1.9200,last_wednesday
2019-10-09,1.7600,last_wednesday
2019-10-16,2.0300,last_wednesday
2019-10-23,1.9600,last_wednesday
2019-10-30,1.9000,last_wednesday
2019-11-06,3.0800,last_wednesday
2019-11-13,3.9300,last_wednesday
2019-11-20,4.6300,last_wednesday
2019-11-27,3.7800,wednesday
2019-12-04,3.7800,last_wednesday
2019-12-11,4.4800,last_wednesday
2019-12-18,13.9700,wednesday
2020-01-01,2.3600,last_wednesday
2020-01-08,2.9100,last_wednesday
2020-01-15,4.4600,last_wednesday
2020-01-22,2.1100,last_wednesday
2020-01-29,2.1900,last_wednesday
2020-02-05,1.9800,last_wednesday
2020-02-12,2.5000,last_wednesday
2020-02-19,2.7800,last_wednesday
2020-02-26,2.1100,last_wednesday
2020-03-04,1.6900,last_wednesday
2020-03-11,1.7500,last_wednesday
2020-03-18,1.4200,last_wednesday
2020-03-25,1.5500,last_wednesday
2020-04-01,1.4900,last_wednesday
2020-04-08,1.6400,last_wednesday
2020-04-15,1.7500,last_wednesday
2020-04-22,1.9900,last_wednesday
2020-04-29,1.6600,last_wednesday
2020-05-06,1.6000,last_wednesday
2020-05-13,1.2300,last_wednesday
2020-05-20,1.4300,last_wednesday
2020-05-27,1.5900,last_wednesday
2020-06-03,1.7100,last_wednesday
2020-06-10,1.6500,last_wednesday
2020-06-17,1.5100,last_wednesday
2020-06-24,1.5900,wednesday
2020-07-01,1.5300,last_wednesday
2020-07-08,1.7200,last_wednesday
2020-07-15,1.4800,last_wednesday
2020-07-22,1.5900,last_wednesday
2020-07-29,1.7400,last_wednesday
2020-08-05,1.5700,last_wednesday
2020-08-12,1.6800,last_wednesday
2020-08-19,1.3100,last_wednesday
2020-08-26,1.5200,last_wednesday
2020-09-02,1.7000,last_wednesday
2020-09-09,2.4600,last_wednesday
2020-09-16,1.2500,last_wednesday
2020-09-23,1.4600,last_wednesday
2020-09-30,1.1300,last_wednesday
2020-10-07,1.4400,last_wednesday
2020-10-14,1.5600,last_wednesday
2020-10-21,1.7400,last_wednesday
2020-10-28,4.8400,last_wednesday
2020-11-04,0.8400,last_wednesday
2020-11-11,1.5800,last_wednesday
2020-11-18,2.2200,wednesday
2020-11-25,1.3800,last_wednesday
2020-12-02,2.4100,last_wednesday
2020-12-09,2.7000,last_wednesday
2020-12-16,9.4400,wednesday
2020-12-30,2.5500,last_wednesday
2021-01-06,2.9900,last_wednesday
2021-01-13,4.4700,last_wednesday
2021-01-20,3.0400,last_wednesday
2021-01-27,9.9000,last_wednesday
2021-02-03,12.0600,last_wednesday
2021-02-10,11.5600,last_wednesday
2021-02-17,10.6000,last_wednesday
2021-02-24,3.4800,last_wednesday
2021-03-03,8.2400,last_wednesday
2021-03-10,2.3700,last_wednesday
2021-03-15,4.5200,weekly_high
2021-03-17,2.7600,last_wednesday
2021-03-18,3.4500,weekly_high
2021-03-24,1.9300,last_wednesday
2021-03-31,2.5400,last_wednesday
2021-04-07,1.9200,last_wednesday
2021-04-14,2.3600,last_wednesday
2021-04-21,4.1400,last_wednesday
2021-04-28,2.4700,last_wednesday
2021-05-05,2.8900,last_wednesday
2021-05-12,2.2900,last_wednesday
2021-05-17,2.9300,weekly_high
2021-05-19,2.4600,last_wednesday
2021-05-26,2.3000,last_wednesday
2021-06-02,2.2300,last_wednesday
2021-06-07,3.6500,weekly_high
2021-06-09,2.6200,last_wednesday
2021-06-16,2.3600,last_wednesday
2021-06-23,2.6200,last_wednesday
2021-06-30,4.1900,last_wednesday
2021-07-07,3.0100,last_wednesday
2021-07-14,3.5400,last_wednesday
2021-07-21,3.2700,last_wednesday
2021-07-28,3.0400,last_wednesday
2021-08-04,3.8300,last_wednesday
2021-08-11,4.9000,last_wednesday
2021-08-18,3.8800,last_wednesday
2021-08-24,4.4300,weekly_high
2021-08-25,4.3200,last_wednesday
2021-09-01,3.9700,last_wednesday
2021-09-08,4.4900,last_wednesday
2021-09-14,5.5000,weekly_high
2021-09-15,5.4500,last_wednesday
2021-09-22,4.3900,last_wednesday
2021-09-29,4.9000,last_wednesday
2021-10-06,5.3400,last_wednesday
2021-10-08,4.6600,weekly_low
2021-10-13,5.3000,last_wednesday
2021-10-20,4.5200,last_wednesday
2021-10-26,5.6600,weekly_high
2021-10-27,5.6500,last_wednesday
2021-11-03,6.0200,wednesday
2021-11-10,4.1400,last_wednesday
2021-11-12,5.1700,weekly_high
2021-11-17,4.5600,wednesday
2021-11-24,6.8900,last_wednesday
2021-12-01,4.9300,last_wednesday
2021-12-08,8.6200,last_wednesday
2021-12-15,3.5000,wednesday
2021-12-29,3.7800,last_wednesday
2022-01-05,11.5600,last_wednesday
2022-01-12,18.9600,last_wednesday
2022-01-19,22.6900,last_wednesday
2022-01-26,20.7100,last_wednesday
2022-02-02,14.8600,last_wednesday
2022-02-03,22.8100,high_caldate
2022-02-09,8.3300,last_wednesday
2022-02-14,22.4800,weekly_high
2022-02-16,4.1300,last_wednesday
2022-02-23,15.0900,last_wednesday
2022-03-02,21.5500,last_wednesday
2022-03-09,4.6100,last_wednesday
2022-03-16,4.0100,last_wednesday
2022-03-23,4.9600,last_wednesday
2022-03-30,4.7900,last_wednesday
2022-04-06,6.3900,last_wednesday
2022-04-13,6.2600,last_wednesday
2022-04-20,6.6700,last_wednesday
2022-04-27,10.2000,last_wednesday
2022-05-04,8.4700,last_wednesday
2022-05-11,7.4600,last_wednesday
2022-05-18,7.9900,last_wednesday
2022-05-25,9.0300,last_wednesday
2022-06-01,8.8400,last_wednesday
2022-06-08,8.5500,last_wednesday
2022-06-15,7.4500,last_wednesday
2022-06-22,5.9200,last_wednesday
2022-06-29,7.5100,last_wednesday
2022-07-06,5.2700,wednesday
2022-07-13,6.1100,last_wednesday
2022-07-20,23.9700,last_wednesday
2022-07-27,8.3100,last_wednesday
2022-08-03,8.5300,last_wednesday
2022-08-10,7.6400,last_wednesday
2022-08-17,8.5400,last_wednesday
2022-08-24,9.1600,last_wednesday
2022-08-31,8.4300,last_wednesday
2022-09-07,7.6400,wednesday
2022-09-21,6.4000,last_wednesday
2022-09-28,5.1900,last_wednesday
2022-10-05,6.0300,last_wednesday
2022-10-12,5.9800,wednesday
2022-10-26,4.5900,last_wednesday
2022-11-02,3.6600,last_wednesday
2022-11-04,0.7400,low_caldate
2022-11-09,2.3200,last_wednesday
2022-11-16,7.5800,wednesday
2022-11-23,6.8000,last_wednesday
2022-11-28,5.8600,weekly_low
2022-11-30,9.9100,last_wednesday
2022-12-07,4.9000,last_wednesday
2022-12-14,10.1700,last_wednesday
2022-12-21,6.5100,wednesday
2023-01-04,4.0400,last_wednesday
2023-01-11,3.3800,last_wednesday
2023-01-13,7.1500,high_caldate
2023-01-18,3.2400,last_wednesday
2023-01-25,4.2300,last_wednesday
2023-01-27,3.2200,weekly_low
2023-01-31,13.4900,weekly_high
2023-02-01,12.1600,last_wednesday
2023-02-08,2.5200,last_wednesday
2023-02-15,2.1300,last_wednesday
2023-02-22,4.3800,last_wednesday
2023-03-01,3.2600,last_wednesday
2023-03-08,2.9700,last_wednesday
2023-03-15,2.5000,wednesday
2023-03-22,2.0200,last_wednesday
2023-03-29,2.5400,last_wednesday
2023-04-05,2.0300,last_wednesday
2023-04-12,1.7000,last_wednesday
2023-04-19,1.9600,last_wednesday
2023-04-26,2.0900,wednesday
2023-05-10,1.3600,last_wednesday
2023-05-17,1.6700,last_wednesday
2023-05-24,1.6000,last_wednesday
2023-05-31,4.9000,last_wednesday
2023-06-07,1.6200,last_wednesday
2023-06-14,1.6400,last_wednesday
2023-06-21,1.5100,last_wednesday
2023-06-28,5.9400,last_wednesday
2023-07-05,7.9300,last_wednesday
2023-07-12,1.8700,last_wednesday
2023-07-19,1.7400,last_wednesday
2023-07-26,6.3100,last_wednesday
2023-08-02,1.5600,last_wednesday
2023-08-09,1.5100,last_wednesday
2023-08-16,1.5000,last_wednesday
2023-08-23,1.2900,wednesday
2023-08-30,1.4300,last_wednesday
2023-09-06,2.5500,wednesday
2023-09-13,1.7400,last_wednesday
2023-09-20,1.3600,last_wednesday
2023-09-27,1.5100,last_wednesday
2023-10-04,1.4900,wednesday
2023-10-25,1.2800,last_wednesday
2023-11-01,2.8900,wednesday
2023-11-08,1.9500,last_wednesday
2023-11-15,2.5200,wednesday
2023-11-22,4.7300,last_wednesday
2023-11-28,10.1500,weekly_high
2023-11-29,3.5000,last_wednesday
2023-12-06,9.8000,last_wednesday
2023-12-08,2.3800,weekly_low
2023-12-13,3.3900,last_wednesday
2023-12-20,5.4100,wednesday
2024-01-03,6.8600,last_wednesday
2024-01-10,4.0400,last_wednesday
2024-01-16,17.2700,weekly_high
2024-01-17,13.3500,last_wednesday
2024-01-24,2.4400,last_wednesday
2024-01-31,3.3500,last_wednesday
2024-02-07,2.3400,last_wednesday
2024-02-14,3.3400,last_wednesday
2024-02-21,2.3500,last_wednesday
2024-02-26,1.4900,weekly_low
2024-02-28,2.4600,wednesday
2024-03-06,1.9500,last_wednesday
2024-03-13,1.2000,last_wednesday
2024-03-20,2.6600,last_wednesday
2024-03-27,1.5200,last_wednesday
2024-04-03,2.0900,last_wednesday
2024-04-10,1.5400,last_wednesday
2024-04-17,1.4600,last_wednesday
2024-04-24,1.5600,last_wednesday
2024-05-01,1.4300,last_wednesday
2024-05-08,1.7300,last_wednesday
2024-05-15,1.6400,last_wednesday
2024-05-22,2.0300,last_wednesday
2024-05-29,1.4900,last_wednesday
2024-06-05,1.5500,last_wednesday
2024-06-12,1.7700,wednesday
2024-07-03,1.4000,last_wednesday
2024-07-10,1.9300,last_wednesday
2024-07-17,1.9000,last_wednesday
2024-07-24,1.7500,last_wednesday
2024-07-31,2.3000,last_wednesday
2024-08-07,1.4800,last_wednesday
2024-08-14,1.7300,last_wednesday
2024-08-21,1.5700,last_wednesday
2024-08-28,1.4800,last_wednesday
2024-09-04,1.8800,last_wednesday
2024-09-11,1.9800,last_wednesday
2024-09-18,2.0000,last_wednesday
2024-09-25,1.9700,last_wednesday
2024-10-02,1.6200,last_wednesday
2024-10-09,2.1000,last_wednesday
2024-10-16,2.0800,last_wednesday
2024-10-23,1.9000,last_wednesday
2024-10-30,1.8000,last_wednesday
2024-11-06,1.6500,last_wednesday
2024-11-13,2.6100,last_wednesday
2024-11-20,2.8400,wednesday
2024-11-27,9.8200,last_wednesday
2024-12-04,10.0400,last_wednesday
2024-12-11,11.9000,last_wednesday
2024-12-18,5.0200,wednesday
2025-01-01,4.8600,last_wednesday
2025-01-08,16.5500,last_wednesday
2025-01-15,14.7500,last_wednesday
2025-01-22,18.9900,last_wednesday
2025-01-29,16.5400,last_wednesday
2025-02-05,13.2200,last_wednesday
2025-02-12,15.9300,last_wednesday
2025-02-19,18.3000,last_wednesday
2025-02-26,4.0700,last_wednesday
2025-03-05,4.3400,last_wednesday
2025-03-12,4.0000,last_wednesday
2025-03-19,3.5800,last_wednesday
2025-03-26,3.5300,last_wednesday
2025-04-02,3.3500,last_wednesday
2025-04-09,3.5300,wednesday
2025-04-16,2.8700,last_wednesday
2025-04-23,2.1900,wednesday
2025-06-18,3.5000,last_wednesday
2025-06-25,2.6100,wednesday
2025-07-09,2.9300,last_wednesday
2025-07-16,9.7400,wednesday
2025-07-23,5.3900,last_wednesday
2025-07-30,2.8800,wednesday
2025-08-06,2.9500,last_wednesday
2025-08-11,4.6200,weekly_high
2025-08-13,2.9600,wednesday
2025-08-20,2.2100,last_wednesday
2025-08-27,1.5000,wednesday
2025-09-03,2.6200,last_wednesday
2025-09-10,2.1500,wednesday
2025-09-17,2.1000,last_wednesday
2025-09-24,2.2300,wednesday
2025-10-15,2.2900,last_wednesday
2025-10-22,3.1800,wednesday
2025-11-05,3.5900,last_wednesday
2025-11-12,4.1800,wednesday
2025-11-26,8.0800,last_wednesday
2025-12-03,25.0000,wednesday
2025-12-31,18.7600,last_wednesday
2026-01-07,5.9500,wednesday
