iso,zone,year,month,df_deviation,n_hours,interpolated
PJM,PJM_AEP_Ohio,0,1,-0.01193567,2232,False
PJM,PJM_AEP_Ohio,0,2,-0.00709665,2040,False
PJM,PJM_AEP_Ohio,0,3,-0.00227623,2229,False
PJM,PJM_AEP_Ohio,0,4,-0.00071605,2160,False
PJM,PJM_AEP_Ohio,0,5,0.005903,2232,False
PJM,PJM_AEP_Ohio,0,6,0.002613,2160,False
PJM,PJM_AEP_Ohio,0,7,-0.00639336,2232,False
PJM,PJM_AEP_Ohio,0,8,0.00603983,2232,False
PJM,PJM_AEP_Ohio,0,9,0.00581327,2160,False
PJM,PJM_AEP_Ohio,0,10,-0.0066959,2232,False
PJM,PJM_AEP_Ohio,0,11,-0.01666408,2163,False
PJM,PJM_AEP_Ohio,0,12,-0.02153364,2232,False
PJM,PJM_ATSI,0,1,-0.00450869,2232,False
PJM,PJM_ATSI,0,2,5.367e-05,2040,False
PJM,PJM_ATSI,0,3,0.01068342,2229,False
PJM,PJM_ATSI,0,4,0.01236271,2160,False
PJM,PJM_ATSI,0,5,-0.00171794,2232,False
PJM,PJM_ATSI,0,6,0.00215915,2160,False
PJM,PJM_ATSI,0,7,0.00441616,2232,False
PJM,PJM_ATSI,0,8,0.00483999,2232,False
PJM,PJM_ATSI,0,9,-0.00029804,2160,False
PJM,PJM_ATSI,0,10,0.00976812,2232,False
PJM,PJM_ATSI,0,11,-0.00189256,2163,False
PJM,PJM_ATSI,0,12,-0.00360148,2232,False
PJM,PJM_Central_PA,0,1,0.00154642,2232,False
PJM,PJM_Central_PA,0,2,0.00071409,2040,False
PJM,PJM_Central_PA,0,3,-0.00210332,2229,False
PJM,PJM_Central_PA,0,4,-0.00866953,2160,False
PJM,PJM_Central_PA,0,5,-0.01383828,2232,False
PJM,PJM_Central_PA,0,6,-0.01471687,2160,False
PJM,PJM_Central_PA,0,7,-0.00885449,2232,False
PJM,PJM_Central_PA,0,8,-0.01310277,2232,False
PJM,PJM_Central_PA,0,9,-0.01342109,2160,False
PJM,PJM_Central_PA,0,10,-0.01128715,2232,False
PJM,PJM_Central_PA,0,11,0.0015995,2163,False
PJM,PJM_Central_PA,0,12,0.00197015,2232,False
PJM,PJM_ComEd,0,1,-0.06049367,2232,False
PJM,PJM_ComEd,0,2,-0.05315425,2040,False
PJM,PJM_ComEd,0,3,-0.05107286,2229,False
PJM,PJM_ComEd,0,4,-0.05042262,2160,False
PJM,PJM_ComEd,0,5,-0.04648489,2232,False
PJM,PJM_ComEd,0,6,-0.03206349,2160,False
PJM,PJM_ComEd,0,7,-0.0343603,2232,False
PJM,PJM_ComEd,0,8,-0.02339348,2232,False
PJM,PJM_ComEd,0,9,-0.03316439,2160,False
PJM,PJM_ComEd,0,10,-0.05796857,2232,False
PJM,PJM_ComEd,0,11,-0.0651736,2163,False
PJM,PJM_ComEd,0,12,-0.06911337,2232,False
PJM,PJM_Dominion,0,1,0.0277155,2232,False
PJM,PJM_Dominion,0,2,0.02169256,2040,False
PJM,PJM_Dominion,0,3,0.021457,2229,False
PJM,PJM_Dominion,0,4,0.03006796,2160,False
PJM,PJM_Dominion,0,5,0.03573265,2232,False
PJM,PJM_Dominion,0,6,0.0241108,2160,False
PJM,PJM_Dominion,0,7,0.01760782,2232,False
PJM,PJM_Dominion,0,8,0.01393208,2232,False
PJM,PJM_Dominion,0,9,0.02551518,2160,False
PJM,PJM_Dominion,0,10,0.03815442,2232,False
PJM,PJM_Dominion,0,11,0.03416047,2163,False
PJM,PJM_Dominion,0,12,0.0313381,2232,False
PJM,PJM_EMAAC,0,1,0.02845254,2232,False
PJM,PJM_EMAAC,0,2,0.02227688,2040,False
PJM,PJM_EMAAC,0,3,0.00734197,2229,False
PJM,PJM_EMAAC,0,4,-0.00833574,2160,False
PJM,PJM_EMAAC,0,5,-0.00874727,2232,False
PJM,PJM_EMAAC,0,6,0.00134209,2160,False
PJM,PJM_EMAAC,0,7,0.01643451,2232,False
PJM,PJM_EMAAC,0,8,0.00237258,2232,False
PJM,PJM_EMAAC,0,9,-0.00850937,2160,False
PJM,PJM_EMAAC,0,10,-0.00844156,2232,False
PJM,PJM_EMAAC,0,11,0.01561283,2163,False
PJM,PJM_EMAAC,0,12,0.02622096,2232,False
PJM,PJM_SWMAAC,0,1,0.04421012,2232,False
PJM,PJM_SWMAAC,0,2,0.04194289,2040,False
PJM,PJM_SWMAAC,0,3,0.03609176,2229,False
PJM,PJM_SWMAAC,0,4,0.02840488,2160,False
PJM,PJM_SWMAAC,0,5,0.03499074,2232,False
PJM,PJM_SWMAAC,0,6,0.03648678,2160,False
PJM,PJM_SWMAAC,0,7,0.043073,2232,False
PJM,PJM_SWMAAC,0,8,0.03223161,2232,False
PJM,PJM_SWMAAC,0,9,0.03651945,2160,False
PJM,PJM_SWMAAC,0,10,0.04329896,2232,False
PJM,PJM_SWMAAC,0,11,0.04823125,2163,False
PJM,PJM_SWMAAC,0,12,0.04839832,2232,False
PJM,PJM_West_APS,0,1,0.00454389,2232,False
PJM,PJM_West_APS,0,2,0.00460289,2040,False
PJM,PJM_West_APS,0,3,0.00761546,2229,False
PJM,PJM_West_APS,0,4,0.01081053,2160,False
PJM,PJM_West_APS,0,5,0.00322603,2232,False
PJM,PJM_West_APS,0,6,-0.00313284,2160,False
PJM,PJM_West_APS,0,7,-0.00372911,2232,False
PJM,PJM_West_APS,0,8,-0.0068589,2232,False
PJM,PJM_West_APS,0,9,0.00188234,2160,False
PJM,PJM_West_APS,0,10,0.01684263,2232,False
PJM,PJM_West_APS,0,11,0.01015682,2163,False
PJM,PJM_West_APS,0,12,0.00940495,2232,False
