interval_start_gmt,node,LMP,MCC,MCE,MCL,MGHG
2024-01-01 08:00:00+00:00,DLAP_PGAE-APND,47.99147,0.01991,47.42616,0.5454,0.0
2024-01-01 08:00:00+00:00,DLAP_SCE-APND,47.08543,-0.01348,47.42616,-0.32724,0.0
2024-01-01 08:00:00+00:00,DLAP_SDGE-APND,46.56375,-0.01348,47.42616,-0.84893,0.0
2024-01-01 08:00:00+00:00,DLAP_VEA-APND,46.24125,-0.01348,47.42616,-1.17143,0.0
2024-01-01 08:00:00+00:00,TH_NP15_GEN-APND,46.75774,0.01926,47.42616,-0.68768,0.0
2024-01-01 08:00:00+00:00,TH_SP15_GEN-APND,46.08,-0.01348,47.42616,-1.33268,0.0
2024-01-01 08:00:00+00:00,TH_ZP26_GEN-APND,45.84287,-0.01348,47.42616,-1.56981,0.0
2024-01-01 09:00:00+00:00,DLAP_PGAE-APND,47.25381,0.01467,46.65594,0.5832,0.0
2024-01-01 09:00:00+00:00,DLAP_SCE-APND,46.28682,-0.00986,46.65594,-0.35925,0.0
2024-01-01 09:00:00+00:00,DLAP_SDGE-APND,45.72695,-0.00986,46.65594,-0.91912,0.0
2024-01-01 09:00:00+00:00,DLAP_VEA-APND,45.531,-0.00986,46.65594,-1.11508,0.0
2024-01-01 09:00:00+00:00,TH_NP15_GEN-APND,46.04052,0.01443,46.65594,-0.62986,0.0
2024-01-01 09:00:00+00:00,TH_SP15_GEN-APND,45.32571,-0.00986,46.65594,-1.32036,0.0
2024-01-01 09:00:00+00:00,TH_ZP26_GEN-APND,45.16708,-0.00986,46.65594,-1.47899,0.0
2024-01-01 10:00:00+00:00,DLAP_PGAE-APND,46.35979,0.01571,46.02649,0.31758,0.0
2024-01-01 10:00:00+00:00,DLAP_SCE-APND,45.82722,-0.01056,46.02649,-0.18871,0.0
2024-01-01 10:00:00+00:00,DLAP_SDGE-APND,45.49123,-0.01056,46.02649,-0.5247,0.0
2024-01-01 10:00:00+00:00,DLAP_VEA-APND,45.08619,-0.01056,46.02649,-0.92974,0.0
2024-01-01 10:00:00+00:00,TH_NP15_GEN-APND,45.13062,0.01546,46.02649,-0.91132,0.0
2024-01-01 10:00:00+00:00,TH_SP15_GEN-APND,44.91129,-0.01056,46.02649,-1.10464,0.0
2024-01-01 10:00:00+00:00,TH_ZP26_GEN-APND,44.51086,-0.01056,46.02649,-1.50507,0.0
2024-01-01 11:00:00+00:00,DLAP_PGAE-APND,46.07376,0.01513,45.70215,0.35648,0.0
2024-01-01 11:00:00+00:00,DLAP_SCE-APND,45.47261,-0.01017,45.70215,-0.21937,0.0
2024-01-01 11:00:00+00:00,DLAP_SDGE-APND,45.12528,-0.01017,45.70215,-0.56671,0.0
2024-01-01 11:00:00+00:00,DLAP_VEA-APND,44.74595,-0.01017,45.70215,-0.94603,0.0
2024-01-01 11:00:00+00:00,TH_NP15_GEN-APND,44.93121,0.01513,45.70215,-0.78608,0.0
2024-01-01 11:00:00+00:00,TH_SP15_GEN-APND,44.56314,-0.01017,45.70215,-1.12884,0.0
2024-01-01 11:00:00+00:00,TH_ZP26_GEN-APND,44.22495,-0.01017,45.70215,-1.46704,0.0
2024-01-01 12:00:00+00:00,DLAP_PGAE-APND,45.69719,0.05829,45.30814,0.33075,0.0
2024-01-01 12:00:00+00:00,DLAP_SCE-APND,45.04118,-0.04043,45.30814,-0.22654,0.0
2024-01-01 12:00:00+00:00,DLAP_SDGE-APND,44.81464,-0.04043,45.30814,-0.45308,0.0
2024-01-01 12:00:00+00:00,DLAP_VEA-APND,44.37062,-0.04043,45.30814,-0.8971,0.0
2024-01-01 12:00:00+00:00,TH_NP15_GEN-APND,44.5526,0.05547,45.30814,-0.81102,0.0
2024-01-01 12:00:00+00:00,TH_SP15_GEN-APND,44.17126,-0.04043,45.30814,-1.09646,0.0
2024-01-01 12:00:00+00:00,TH_ZP26_GEN-APND,43.81786,-0.04043,45.30814,-1.44986,0.0
2024-01-01 13:00:00+00:00,DLAP_PGAE-APND,44.07964,0.00571,43.71113,0.3628,0.0
2024-01-01 13:00:00+00:00,DLAP_SCE-APND,43.45368,-0.00393,43.71113,-0.25352,0.0
2024-01-01 13:00:00+00:00,DLAP_SDGE-APND,43.22638,-0.00393,43.71113,-0.48082,0.0
2024-01-01 13:00:00+00:00,DLAP_VEA-APND,42.8592,-0.00393,43.71113,-0.848,0.0
2024-01-01 13:00:00+00:00,TH_NP15_GEN-APND,42.91674,0.00552,43.71113,-0.79991,0.0
2024-01-01 13:00:00+00:00,TH_SP15_GEN-APND,42.61442,-0.00393,43.71113,-1.09278,0.0
2024-01-01 13:00:00+00:00,TH_ZP26_GEN-APND,42.23413,-0.00393,43.71113,-1.47307,0.0
2024-01-01 14:00:00+00:00,DLAP_PGAE-APND,45.97415,0.03352,45.60769,0.33294,0.0
2024-01-01 14:00:00+00:00,DLAP_SCE-APND,45.33344,-0.02341,45.60769,-0.25084,0.0
2024-01-01 14:00:00+00:00,DLAP_SDGE-APND,45.20573,-0.02341,45.60769,-0.37854,0.0
2024-01-01 14:00:00+00:00,DLAP_VEA-APND,44.81351,-0.02341,45.60769,-0.77077,0.0
2024-01-01 14:00:00+00:00,TH_NP15_GEN-APND,44.73499,0.03033,45.60769,-0.90303,0.0
2024-01-01 14:00:00+00:00,TH_SP15_GEN-APND,44.46233,-0.02341,45.60769,-1.12195,0.0
2024-01-01 14:00:00+00:00,TH_ZP26_GEN-APND,43.9652,-0.02341,45.60769,-1.61907,0.0
2024-01-01 15:00:00+00:00,DLAP_PGAE-APND,48.52327,0.01437,47.22899,1.27991,0.0
2024-01-01 15:00:00+00:00,DLAP_SCE-APND,46.15118,-0.01043,47.22899,-1.06738,0.0
2024-01-01 15:00:00+00:00,DLAP_SDGE-APND,45.77807,-0.01043,47.22899,-1.44048,0.0
2024-01-01 15:00:00+00:00,DLAP_VEA-APND,45.4333,-0.01043,47.22899,-1.78526,0.0
2024-01-01 15:00:00+00:00,TH_NP15_GEN-APND,47.48284,0.01298,47.22899,0.24087,0.0
2024-01-01 15:00:00+00:00,TH_SP15_GEN-APND,45.23494,-0.01043,47.22899,-1.98362,0.0
2024-01-01 15:00:00+00:00,TH_ZP26_GEN-APND,45.44274,-0.01043,47.22899,-1.77581,0.0
2024-01-01 16:00:00+00:00,DLAP_PGAE-APND,44.47354,2.50468,40.5457,1.42315,0.0
2024-01-01 16:00:00+00:00,DLAP_SCE-APND,37.0705,-2.26289,40.5457,-1.21232,0.0
2024-01-01 16:00:00+00:00,DLAP_SDGE-APND,36.80704,-2.11278,40.5457,-1.62588,0.0
2024-01-01 16:00:00+00:00,DLAP_VEA-APND,36.26352,-1.82106,40.5457,-2.46112,0.0
2024-01-01 16:00:00+00:00,TH_NP15_GEN-APND,43.93622,2.8026,40.5457,0.58791,0.0
2024-01-01 16:00:00+00:00,TH_SP15_GEN-APND,36.39075,-2.22497,40.5457,-1.92998,0.0
2024-01-01 16:00:00+00:00,TH_ZP26_GEN-APND,39.05476,0.17143,40.5457,-1.66237,0.0
2024-01-01 17:00:00+00:00,DLAP_PGAE-APND,39.43772,4.19918,34.10291,1.13563,0.0
2024-01-01 17:00:00+00:00,DLAP_SCE-APND,29.34713,-3.75657,34.10291,-0.99922,0.0
2024-01-01 17:00:00+00:00,DLAP_SDGE-APND,29.50725,-3.50778,34.10291,-1.08788,0.0
2024-01-01 17:00:00+00:00,DLAP_VEA-APND,28.8458,-3.02678,34.10291,-2.23033,0.0
