hour_of_year,share
0,0.0001792775
1,0.0001612298
2,0.0001646072
3,0.0001571787
4,0.0001359763
5,0.0001558074
6,0.0001412857
7,0.0001140406
8,0.0000866158
9,0.0000612457
10,0.0000476868
11,0.0000456091
12,0.0000546924
13,0.0000707670
14,0.0000750093
15,0.0000699425
16,0.0000768919
17,0.0000781075
18,0.0000695849
19,0.0000773010
20,0.0001189560
21,0.0001427343
22,0.0001940197
23,0.0002408732
24,0.0002465610
25,0.0002184044
26,0.0002206592
27,0.0002098894
28,0.0001799700
29,0.0001558074
30,0.0001412857
31,0.0001140406
32,0.0000866158
33,0.0000612457
34,0.0000476868
35,0.0000456091
36,0.0000546924
37,0.0000707670
38,0.0000750093
39,0.0000699425
40,0.0000768919
41,0.0000781075
42,0.0000695849
43,0.0000773010
44,0.0001189560
45,0.0001427343
46,0.0001940197
47,0.0002408732
48,0.0002465610
49,0.0002184044
50,0.0002206592
51,0.0002098894
52,0.0001799700
53,0.0001558074
54,0.0001412857
55,0.0001140406
56,0.0000866158
57,0.0000612457
58,0.0000476868
59,0.0000456091
60,0.0000546924
61,0.0000707670
62,0.0000750093
63,0.0000699425
64,0.0000768919
65,0.0000781075
66,0.0000695849
67,0.0000773010
68,0.0001189560
69,0.0001427343
70,0.0001940197
71,0.0002408732
72,0.0002465610
73,0.0002184044
74,0.0002206592
75,0.0002098894
76,0.0001799700
77,0.0001558074
78,0.0001412857
79,0.0001140406
80,0.0000866158
81,0.0000612457
82,0.0000476868
83,0.0000456091
84,0.0000546924
85,0.0000707670
86,0.0000750093
87,0.0000699425
88,0.0000768919
89,0.0000781075
90,0.0000695849
91,0.0000773010
92,0.0001189560
93,0.0001427343
94,0.0001940197
95,0.0002408732
96,0.0002465610
97,0.0002184044
98,0.0002206592
99,0.0002098894
100,0.0001799700
101,0.0000895758
102,0.0000772237
103,0.0000642099
104,0.0000497687
105,0.0000364644
106,0.0000218592
107,0.0000183326
108,0.0000205585
109,0.0000274786
110,0.0000318642
111,0.0000418331
112,0.0000509935
113,0.0000554254
114,0.0000660897
115,0.0000709361
116,0.0000763327
117,0.0000803364
118,0.0000893913
119,0.0001010270
120,0.0001219213
121,0.0001210942
122,0.0001240013
123,0.0001179352
124,0.0001071298
125,0.0000895758
126,0.0000772237
127,0.0000642099
128,0.0000497687
129,0.0000364644
130,0.0000218592
131,0.0000183326
132,0.0000205585
133,0.0000274786
134,0.0000318642
135,0.0000418331
136,0.0000509935
137,0.0000554254
138,0.0000660897
139,0.0000709361
140,0.0000763327
141,0.0000803364
142,0.0000893913
143,0.0001010270
144,0.0001219213
145,0.0001210942
146,0.0001240013
147,0.0001179352
148,0.0001071298
149,0.0001558074
150,0.0001412857
151,0.0001140406
152,0.0000866158
153,0.0000612457
154,0.0000476868
155,0.0000456091
156,0.0000546924
157,0.0000707670
158,0.0000750093
159,0.0000699425
160,0.0000768919
161,0.0000781075
162,0.0000695849
163,0.0000773010
164,0.0001189560
165,0.0001427343
166,0.0001940197
167,0.0002408732
168,0.0002465610
169,0.0002184044
170,0.0002206592
171,0.0002098894
172,0.0001799700
173,0.0001558074
174,0.0001412857
175,0.0001140406
176,0.0000866158
177,0.0000612457
178,0.0000476868
179,0.0000456091
180,0.0000546924
181,0.0000707670
182,0.0000750093
183,0.0000699425
184,0.0000768919
185,0.0000781075
186,0.0000695849
187,0.0000773010
188,0.0001189560
189,0.0001427343
190,0.0001940197
191,0.0002408732
192,0.0002465610
193,0.0002184044
194,0.0002206592
