date,zone,tmax_c,tmin_c
2018-01-01,MISO-East,-12.02,-19.92
2018-01-02,MISO-East,-10.5,-18.34
2018-01-03,MISO-East,-8.2,-16.34
2018-01-04,MISO-East,-9.32,-17.34
2018-01-05,MISO-East,-12.98,-19.02
2018-01-06,MISO-East,-11.22,-19.58
2018-01-07,MISO-East,-0.36,-17.24
2018-01-08,MISO-East,4.5600000000000005,-1.36
2018-01-09,MISO-East,3.4400000000000004,-3.56
2018-01-10,MISO-East,9.56,-2.48
2018-01-11,MISO-East,14.34,1.6999999999999995
2018-01-12,MISO-East,6.16,-10.58
2018-01-13,MISO-East,-7.98,-13.16
2018-01-14,MISO-East,-6.6,-14.76
2018-01-15,MISO-East,-4.14,-8.42
2018-01-16,MISO-East,-4.82,-12.24
2018-01-17,MISO-East,-4.1,-15.920000000000002
2018-01-18,MISO-East,-0.82,-9.14
2018-01-19,MISO-East,3.76,-4.44
2018-01-20,MISO-East,8.1,0.14
2018-01-21,MISO-East,5.12,-0.4800000000000001
2018-01-22,MISO-East,9.68,2.66
2018-01-23,MISO-East,5.420000000000001,-1.8
2018-01-24,MISO-East,-1.2400000000000002,-4.0
2018-01-25,MISO-East,1.9,-4.24
2018-01-26,MISO-East,10.78,-2.7
2018-01-27,MISO-East,9.56,0.8199999999999998
2018-01-28,MISO-East,6.74,-2.9000000000000004
2018-01-29,MISO-East,-1.5800000000000003,-7.9
2018-01-30,MISO-East,-3.14,-10.5
2018-01-31,MISO-East,5.0,-3.5
2018-02-01,MISO-East,2.86,-12.68
2018-02-02,MISO-East,-6.24,-13.82
2018-02-03,MISO-East,2.14,-9.6
2018-02-04,MISO-East,1.02,-13.36
2018-02-05,MISO-East,-8.46,-16.9
2018-02-06,MISO-East,-4.5600000000000005,-12.54
2018-02-07,MISO-East,-4.76,-9.9
2018-02-08,MISO-East,-5.8,-13.58
2018-02-09,MISO-East,-3.64,-10.5
2018-02-10,MISO-East,-4.779999999999999,-8.0
2018-02-11,MISO-East,-2.48,-7.12
2018-02-12,MISO-East,-2.26,-10.66
2018-02-13,MISO-East,-1.02,-11.14
2018-02-14,MISO-East,6.34,-5.98
2018-02-15,MISO-East,7.640000000000001,1.46
2018-02-16,MISO-East,3.68,-6.14
2018-02-17,MISO-East,0.9,-7.34
2018-02-18,MISO-East,2.88,-3.66
2018-02-19,MISO-East,11.08,0.24
2018-02-20,MISO-East,15.66,5.44
2018-02-21,MISO-East,8.14,-1.72
2018-02-22,MISO-East,4.48,-1.14
2018-02-23,MISO-East,8.24,1.26
2018-02-24,MISO-East,4.32,1.2799999999999998
2018-02-25,MISO-East,8.24,1.02
2018-02-26,MISO-East,11.1,-1.9
2018-02-27,MISO-East,15.6,1.12
2018-02-28,MISO-East,14.32,3.3200000000000003
2018-03-01,MISO-East,5.5200000000000005,0.36
2018-03-02,MISO-East,5.76,-1.44
2018-03-03,MISO-East,5.12,-2.32
2018-03-04,MISO-East,5.66,-2.68
2018-03-05,MISO-East,2.8,-2.48
2018-03-06,MISO-East,5.14,-0.9400000000000002
2018-03-07,MISO-East,0.92,-3.88
2018-03-08,MISO-East,0.9,-5.58
2018-03-09,MISO-East,2.14,-3.2
2018-03-10,MISO-East,4.1,-4.66
2018-03-11,MISO-East,4.98,-4.66
2018-03-12,MISO-East,4.8,-3.3
2018-03-13,MISO-East,2.36,-3.64
2018-03-14,MISO-East,6.5600000000000005,-5.26
2018-03-15,MISO-East,4.58,-3.42
2018-03-16,MISO-East,3.08,-5.56
2018-03-17,MISO-East,9.04,-3.8
2018-03-18,MISO-East,15.36,-2.34
2018-03-19,MISO-East,6.02,-1.62
2018-03-20,MISO-East,4.760000000000001,-2.56
2018-03-21,MISO-East,4.779999999999999,-1.44
2018-03-22,MISO-East,7.42,-3.44
2018-03-23,MISO-East,6.08,-3.8
2018-03-24,MISO-East,5.58,-2.78
2018-03-25,MISO-East,3.96,-3.78
2018-03-26,MISO-East,9.48,-0.3
2018-03-27,MISO-East,11.24,3.68
