date,zone,tmax_c,tmin_c
2018-01-01,Boston,-10.5,-17.7
2018-01-02,Boston,-7.1,-15.5
2018-01-03,Boston,-1.6,-8.8
2018-01-04,Boston,-1.0,-5.5
2018-01-05,Boston,-4.3,-14.3
2018-01-06,Boston,-11.0,-17.1
2018-01-07,Boston,-8.2,-18.8
2018-01-08,Boston,1.7,-8.2
2018-01-09,Boston,6.1,-0.5
2018-01-10,Boston,2.2,-3.8
2018-01-11,Boston,10.6,0.6
2018-01-12,Boston,15.6,3.9
2018-01-13,Boston,16.1,-7.1
2018-01-14,Boston,-4.9,-9.9
2018-01-15,Boston,-6.0,-11.0
2018-01-16,Boston,0.6,-6.6
2018-01-17,Boston,1.1,-0.5
2018-01-18,Boston,0.0,-6.0
2018-01-19,Boston,1.1,-4.9
2018-01-20,Boston,8.3,-1.6
2018-01-21,Boston,9.4,1.1
2018-01-22,Boston,3.9,1.1
2018-01-23,Boston,12.8,0.0
2018-01-24,Boston,5.6,-4.3
2018-01-25,Boston,-1.0,-6.0
2018-01-26,Boston,1.1,-7.1
2018-01-27,Boston,11.7,-3.8
2018-01-28,Boston,11.1,6.1
2018-01-29,Boston,6.1,-2.1
2018-01-30,Boston,-0.5,-6.6
2018-01-31,Boston,-1.0,-7.7
2018-02-01,Boston,7.8,-1.0
2018-02-02,Boston,3.3,-11.0
2018-02-03,Boston,-2.1,-12.1
2018-02-04,Boston,6.1,-3.2
2018-02-05,Boston,6.1,-4.3
2018-02-06,Boston,1.1,-5.5
2018-02-07,Boston,6.1,-4.9
2018-02-08,Boston,1.1,-5.5
2018-02-09,Boston,0.0,-5.5
2018-02-10,Boston,11.1,-1.0
2018-02-11,Boston,9.4,3.3
2018-02-12,Boston,8.9,0.6
2018-02-13,Boston,0.6,-3.8
2018-02-14,Boston,8.3,-2.1
2018-02-15,Boston,9.4,1.7
2018-02-16,Boston,12.2,1.1
2018-02-17,Boston,1.7,-2.7
2018-02-18,Boston,6.7,0.0
2018-02-19,Boston,10.0,-3.2
2018-02-20,Boston,21.1,5.6
2018-02-21,Boston,22.2,5.0
2018-02-22,Boston,12.8,0.0
2018-02-23,Boston,4.4,-0.5
2018-02-24,Boston,12.8,2.8
2018-02-25,Boston,5.0,2.8
2018-02-26,Boston,10.6,3.3
2018-02-27,Boston,11.7,2.2
2018-02-28,Boston,15.6,3.9
2018-03-01,Boston,15.6,4.4
2018-03-02,Boston,6.1,1.7
2018-03-03,Boston,6.1,2.8
2018-03-04,Boston,5.0,2.2
2018-03-05,Boston,6.7,0.0
2018-03-06,Boston,2.8,0.6
2018-03-07,Boston,3.9,0.6
2018-03-08,Boston,3.3,-0.5
2018-03-09,Boston,2.8,-1.6
2018-03-10,Boston,4.4,0.6
2018-03-11,Boston,6.7,-0.5
2018-03-12,Boston,5.6,-1.6
2018-03-13,Boston,3.3,-2.1
2018-03-14,Boston,5.0,-1.6
2018-03-15,Boston,6.1,0.0
2018-03-16,Boston,3.3,-2.1
2018-03-17,Boston,5.6,-7.1
2018-03-18,Boston,0.6,-8.8
2018-03-19,Boston,3.3,-6.0
2018-03-20,Boston,3.9,-4.3
2018-03-21,Boston,3.9,0.0
2018-03-22,Boston,5.6,0.0
2018-03-23,Boston,5.6,1.7
2018-03-24,Boston,7.8,1.1
2018-03-25,Boston,3.9,0.0
2018-03-26,Boston,4.4,-1.6
2018-03-27,Boston,5.6,-2.1
2018-03-28,Boston,12.2,2.2
2018-03-29,Boston,10.0,2.8
2018-03-30,Boston,17.8,6.1
2018-03-31,Boston,13.9,3.9
2018-04-01,Boston,15.0,2.8
2018-04-02,Boston,4.4,-0.5
2018-04-03,Boston,8.9,0.0
2018-04-04,Boston,14.4,3.9
2018-04-05,Boston,6.1,-1.0
2018-04-06,Boston,6.1,-1.6
2018-04-07,Boston,8.3,1.7
2018-04-08,Boston,5.6,0.0
2018-04-09,Boston,7.8,-1.0
2018-04-10,Boston,5.0,1.7
2018-04-11,Boston,7.2,-1.0
2018-04-12,Boston,12.8,2.2
2018-04-13,Boston,20.6,6.7
2018-04-14,Boston,11.1,3.3
2018-04-15,Boston,3.9,0.6
2018-04-16,Boston,11.7,2.2
2018-04-17,Boston,10.0,4.4
2018-04-18,Boston,11.7,2.2
2018-04-19,Boston,6.7,2.2
2018-04-20,Boston,11.7,2.2
2018-04-21,Boston,15.0,3.9
2018-04-22,Boston,16.7,5.6
2018-04-23,Boston,14.4,6.1
2018-04-24,Boston,20.6,5.6
2018-04-25,Boston,13.3,8.3
2018-04-26,Boston,20.0,10.0
2018-04-27,Boston,13.9,7.8
2018-04-28,Boston,21.1,7.8
2018-04-29,Boston,15.6,6.1
2018-04-30,Boston,8.9,4.4
2018-05-01,Boston,19.4,6.7
2018-05-02,Boston,31.7,14.4
2018-05-03,Boston,32.2,16.1
2018-05-04,Boston,27.8,13.9
2018-05-05,Boston,23.9,14.4
2018-05-06,Boston,19.4,10.0
2018-05-07,Boston,16.1,8.9
2018-05-08,Boston,15.6,7.2
2018-05-09,Boston,17.2,7.8
2018-05-10,Boston,21.7,9.4
2018-05-11,Boston,21.1,11.1
2018-05-12,Boston,11.7,9.4
2018-05-13,Boston,12.2,8.9
2018-05-14,Boston,20.6,9.4
2018-05-15,Boston,29.4,14.4
2018-05-16,Boston,16.7,10.0
2018-05-17,Boston,21.7,10.6
2018-05-18,Boston,18.3,8.3
2018-05-19,Boston,12.8,7.8
2018-05-20,Boston,27.2,12.2
2018-05-21,Boston,26.7,13.9
2018-05-22,Boston,19.4,12.2
2018-05-23,Boston,28.9,12.2
2018-05-24,Boston,20.0,11.7
2018-05-25,Boston,31.1,12.2
2018-05-26,Boston,31.7,16.1
2018-05-27,Boston,16.1,10.0
2018-05-28,Boston,15.0,10.0
2018-05-29,Boston,29.4,14.4
2018-05-30,Boston,20.6,15.6
2018-05-31,Boston,28.3,13.3
2018-06-01,Boston,26.1,17.8
2018-06-02,Boston,27.2,13.9
2018-06-03,Boston,15.6,10.0
2018-06-04,Boston,11.7,9.4
2018-06-05,Boston,16.1,9.4
2018-06-06,Boston,16.7,11.7
2018-06-07,Boston,22.2,12.2
2018-06-08,Boston,27.2,12.8
2018-06-09,Boston,26.7,16.7
2018-06-10,Boston,22.2,15.6
2018-06-11,Boston,17.8,13.3
2018-06-12,Boston,26.7,12.2
2018-06-13,Boston,25.0,15.0
2018-06-14,Boston,26.1,13.9
2018-06-15,Boston,17.8,12.2
2018-06-16,Boston,29.4,13.3
2018-06-17,Boston,27.2,16.7
2018-06-18,Boston,31.7,18.9
2018-06-19,Boston,28.9,20.0
2018-06-20,Boston,29.4,17.2
2018-06-21,Boston,26.7,17.8
2018-06-22,Boston,21.1,15.6
2018-06-23,Boston,18.3,15.6
2018-06-24,Boston,25.0,15.0
2018-06-25,Boston,23.3,16.1
2018-06-26,Boston,26.1,15.6
2018-06-27,Boston,26.7,17.2
2018-06-28,Boston,24.4,18.3
2018-06-29,Boston,32.2,22.2
2018-06-30,Boston,33.3,23.9
2018-01-01,Central,-11.22,-18.46
2018-01-02,Central,-7.68,-16.68
2018-01-03,Central,-2.26,-11.88
2018-01-04,Central,-1.2800000000000002,-7.0200000000000005
2018-01-05,Central,-5.859999999999999,-15.12
2018-01-06,Central,-12.02,-17.56
2018-01-07,Central,-8.46,-20.66
2018-01-08,Central,0.92,-8.16
2018-01-09,Central,4.48,-2.68
2018-01-10,Central,1.92,-8.14
2018-01-11,Central,10.36,-2.02
2018-01-12,Central,16.02,5.880000000000001
2018-01-13,Central,16.32,-7.5
2018-01-14,Central,-4.5600000000000005,-10.56
2018-01-15,Central,-6.22,-11.3
2018-01-16,Central,0.6799999999999999,-7.239999999999999
2018-01-17,Central,0.92,-1.6
2018-01-18,Central,-0.86,-8.36
2018-01-19,Central,1.0399999999999998,-7.12
2018-01-20,Central,8.6,-2.9000000000000004
2018-01-21,Central,9.04,-0.1599999999999999
2018-01-22,Central,3.76,-0.04
2018-01-23,Central,12.34,1.1399999999999997
2018-01-24,Central,4.9,-5.119999999999999
2018-01-25,Central,-1.52,-7.68
2018-01-26,Central,1.2799999999999998,-8.46
2018-01-27,Central,10.78,-4.9
2018-01-28,Central,10.42,3.5200000000000005
2018-01-29,Central,4.68,-2.56
2018-01-30,Central,-0.04,-6.58
2018-01-31,Central,-1.08,-10.34
2018-02-01,Central,6.32,-2.32
2018-02-02,Central,2.22,-12.56
2018-02-03,Central,-3.3600000000000003,-14.1
2018-02-04,Central,6.44,-4.76
