atb_year,technology,techdetail,display_name,core_metric_parameter,core_metric_case,tax_credit_case,scenario,default,core_metric_variable,value
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Advanced,0,2043,23.1
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Advanced,0,2044,22.9
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Advanced,0,2045,22.8
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Advanced,0,2046,22.6
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Advanced,0,2047,22.5
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Advanced,0,2048,22.3
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Advanced,0,2049,22.2
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Advanced,0,2050,22.0
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2022,26.1
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2023,26.0
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2024,25.8
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2025,25.7
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2026,25.6
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2027,25.4
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2028,25.3
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2029,25.1
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2030,25.0
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2031,24.8
2024,NaturalGas_FE,NG Combustion Turbine (F-Frame),NG Combustion Turbine (F-Frame),Fixed O&M,Market,,Conservative,0,2032,24.7
