report,page,month,from_baa,to_baa,mwh_15min,mwh_5min
weim-benefits-q3-2023.pdf,20,2023-07,AVA,AVRN,56,88
weim-benefits-q3-2023.pdf,20,2023-07,AVA,BPAT,5256,4959
weim-benefits-q3-2023.pdf,20,2023-07,AVA,CISO,0,0
weim-benefits-q3-2023.pdf,20,2023-07,AVA,IPCO,15839,19290
weim-benefits-q3-2023.pdf,20,2023-07,AVA,NWMT,6238,7416
weim-benefits-q3-2023.pdf,20,2023-07,AVA,PACW,4945,5497
weim-benefits-q3-2023.pdf,20,2023-07,AVA,PGE,0,0
weim-benefits-q3-2023.pdf,20,2023-07,AVA,PSEI,26,0
weim-benefits-q3-2023.pdf,20,2023-07,AVA,SCL,5,0
weim-benefits-q3-2023.pdf,20,2023-07,AVA,TPWR,0,0
weim-benefits-q3-2023.pdf,20,2023-07,AVRN,AVA,0,4
weim-benefits-q3-2023.pdf,20,2023-07,AVRN,BPAT,25480,18762
weim-benefits-q3-2023.pdf,20,2023-07,AVRN,PACW,55124,49140
weim-benefits-q3-2023.pdf,20,2023-07,AVRN,PGE,18052,13963
weim-benefits-q3-2023.pdf,20,2023-07,AVRN,SCL,6330,4341
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,CISO,243105,226973
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,EPE,894,0
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,LADWP,26895,29364
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,NEVP,0,0
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,PACE,159165,126911
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,PNM,12210,18546
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,SRP,4538,1949
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,TEPC,1494,800
weim-benefits-q3-2023.pdf,20,2023-07,AZPS,WALC,3267,3575
weim-benefits-q3-2023.pdf,20,2023-07,BANC,BPAT,0,0
weim-benefits-q3-2023.pdf,20,2023-07,BANC,CISO,19337,17474
weim-benefits-q3-2023.pdf,20,2023-07,BANC,TIDC,77,0
weim-benefits-q3-2023.pdf,20,2023-07,BPAT,AVA,4909,5581
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,AVRN,4107,5815
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,BANC,0,0
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,CISO,3527,9165
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,IPCO,3740,1687
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,LADWP,0,0
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,NEVP,0,0
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,NWMT,6936,2916
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,PACW,3449,3993
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,PGE,16966,19017
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,PSEI,19110,18625
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,PWRX,7916,0
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,SCL,3251,2512
weim-benefits-q3-2023.pdf,21,2023-07,BPAT,TPWR,11629,11421
weim-benefits-q3-2023.pdf,21,2023-07,CISO,AVA,0,0
weim-benefits-q3-2023.pdf,21,2023-07,CISO,AZPS,44835,54376
weim-benefits-q3-2023.pdf,21,2023-07,CISO,BANC,117339,127733
weim-benefits-q3-2023.pdf,21,2023-07,CISO,BPAT,2703,6498
weim-benefits-q3-2023.pdf,21,2023-07,CISO,LADWP,24348,31887
weim-benefits-q3-2023.pdf,21,2023-07,CISO,NEVP,41966,45724
weim-benefits-q3-2023.pdf,21,2023-07,CISO,PACW,9355,31169
weim-benefits-q3-2023.pdf,21,2023-07,CISO,PGE,25987,41582
weim-benefits-q3-2023.pdf,21,2023-07,CISO,PWRX,567046,591404
weim-benefits-q3-2023.pdf,21,2023-07,CISO,SRP,21075,28376
weim-benefits-q3-2023.pdf,21,2023-07,CISO,TEPC,50,198
weim-benefits-q3-2023.pdf,21,2023-07,CISO,TIDC,5841,8259
weim-benefits-q3-2023.pdf,21,2023-07,CISO,WALC,10779,14353
weim-benefits-q3-2023.pdf,21,2023-07,EPE,AZPS,2411,0
weim-benefits-q3-2023.pdf,21,2023-07,EPE,PNM,28419,28813
weim-benefits-q3-2023.pdf,21,2023-07,EPE,TEPC,62678,57679
weim-benefits-q3-2023.pdf,21,2023-07,IPCO,AVA,25693,24009
weim-benefits-q3-2023.pdf,21,2023-07,IPCO,BPAT,13938,12288
weim-benefits-q3-2023.pdf,21,2023-07,IPCO,NEVP,21958,17736
weim-benefits-q3-2023.pdf,22,2023-07,IPCO,NWMT,2777,4609
weim-benefits-q3-2023.pdf,22,2023-07,IPCO,PACE,15850,10290
weim-benefits-q3-2023.pdf,22,2023-07,IPCO,PACW,40061,33517
weim-benefits-q3-2023.pdf,22,2023-07,IPCO,PSEI,12400,11585
weim-benefits-q3-2023.pdf,22,2023-07,IPCO,SCL,11415,10010
weim-benefits-q3-2023.pdf,22,2023-07,LADWP,AZPS,793,905
weim-benefits-q3-2023.pdf,22,2023-07,LADWP,BPAT,0,0
weim-benefits-q3-2023.pdf,22,2023-07,LADWP,CISO,74046,60511
weim-benefits-q3-2023.pdf,22,2023-07,LADWP,NEVP,22951,24685
weim-benefits-q3-2023.pdf,22,2023-07,LADWP,PACE,5748,4650
weim-benefits-q3-2023.pdf,22,2023-07,LADWP,TEPC,0,0
weim-benefits-q3-2023.pdf,22,2023-07,LADWP,WALC,3941,951
weim-benefits-q3-2023.pdf,22,2023-07,NEVP,AZPS,0,0
weim-benefits-q3-2023.pdf,22,2023-07,NEVP,BPAT,0,0
weim-benefits-q3-2023.pdf,22,2023-07,NEVP,CISO,108872,90389
weim-benefits-q3-2023.pdf,22,2023-07,NEVP,IPCO,105308,88200
weim-benefits-q3-2023.pdf,22,2023-07,NEVP,LADWP,44630,46193
weim-benefits-q3-2023.pdf,22,2023-07,NEVP,PACE,85556,80721
weim-benefits-q3-2023.pdf,22,2023-07,NEVP,WALC,4519,4894
weim-benefits-q3-2023.pdf,22,2023-07,NWMT,AVA,20275,15451
weim-benefits-q3-2023.pdf,22,2023-07,NWMT,BPAT,5994,2994
weim-benefits-q3-2023.pdf,22,2023-07,NWMT,IPCO,5075,6181
weim-benefits-q3-2023.pdf,22,2023-07,NWMT,PACE,14005,11213
weim-benefits-q3-2023.pdf,22,2023-07,NWMT,PACW,88,0
weim-benefits-q3-2023.pdf,22,2023-07,NWMT,PGE,83,0
weim-benefits-q3-2023.pdf,22,2023-07,NWMT,PSEI,245,0
weim-benefits-q3-2023.pdf,22,2023-07,NWMT,TPWR,0,0
weim-benefits-q3-2023.pdf,22,2023-07,PACE,AZPS,19555,14740
weim-benefits-q3-2023.pdf,22,2023-07,PACE,IPCO,54555,48055
weim-benefits-q3-2023.pdf,22,2023-07,PACE,LADWP,54750,50053
weim-benefits-q3-2023.pdf,22,2023-07,PACE,NEVP,5675,8546
weim-benefits-q3-2023.pdf,22,2023-07,PACE,NWMT,21346,18989
weim-benefits-q3-2023.pdf,23,2023-07,PACE,PACW,65191,53646
weim-benefits-q3-2023.pdf,23,2023-07,PACE,SRP,0,0
weim-benefits-q3-2023.pdf,23,2023-07,PACE,TEPC,0,0
weim-benefits-q3-2023.pdf,23,2023-07,PACW,AVA,3166,2882
weim-benefits-q3-2023.pdf,23,2023-07,PACW,AVRN,9634,17651
weim-benefits-q3-2023.pdf,23,2023-07,PACW,BPAT,4206,2074
