date,zone,tmax_c,tmin_c
2020-01-01,Capital_Hudson,4.4,1.1
2020-01-02,Capital_Hudson,7.2,-3.2
2020-01-03,Capital_Hudson,8.3,3.9
2020-01-04,Capital_Hudson,6.1,1.7
2020-01-05,Capital_Hudson,2.8,-4.3
2020-01-06,Capital_Hudson,4.4,-3.2
2020-01-07,Capital_Hudson,3.9,-4.9
2020-01-08,Capital_Hudson,3.9,-6.0
2020-01-09,Capital_Hudson,-1.0,-10.5
2020-01-10,Capital_Hudson,8.3,-1.0
2020-01-11,Capital_Hudson,19.4,7.8
2020-01-12,Capital_Hudson,19.4,-0.5
2020-01-13,Capital_Hudson,4.4,-1.6
2020-01-14,Capital_Hudson,7.2,2.2
2020-01-15,Capital_Hudson,8.3,-1.6
2020-01-16,Capital_Hudson,5.6,-4.3
2020-01-17,Capital_Hudson,-4.3,-12.1
2020-01-18,Capital_Hudson,-1.0,-12.1
2020-01-19,Capital_Hudson,3.3,-8.2
2020-01-20,Capital_Hudson,-5.5,-12.7
2020-01-21,Capital_Hudson,-3.2,-13.8
2020-01-22,Capital_Hudson,1.7,-8.2
2020-01-23,Capital_Hudson,2.8,-11.6
2020-01-24,Capital_Hudson,6.1,-7.7
2020-01-25,Capital_Hudson,3.9,-5.5
2020-01-26,Capital_Hudson,6.1,1.1
2020-01-27,Capital_Hudson,6.1,1.7
2020-01-28,Capital_Hudson,2.8,-0.5
2020-01-29,Capital_Hudson,1.7,-7.1
2020-01-30,Capital_Hudson,0.0,-9.3
2020-01-31,Capital_Hudson,2.2,-9.3
2020-02-01,Capital_Hudson,4.4,0.0
2020-02-02,Capital_Hudson,2.8,-2.1
2020-02-03,Capital_Hudson,8.3,-2.7
2020-02-04,Capital_Hudson,7.2,-2.7
2020-02-05,Capital_Hudson,5.0,-1.6
2020-02-06,Capital_Hudson,0.6,-2.7
2020-02-07,Capital_Hudson,1.7,-6.6
2020-02-08,Capital_Hudson,-4.3,-11.0
2020-02-09,Capital_Hudson,0.6,-12.1
2020-02-10,Capital_Hudson,5.0,0.0
2020-02-11,Capital_Hudson,3.9,1.1
2020-02-12,Capital_Hudson,5.0,-0.5
2020-02-13,Capital_Hudson,4.4,1.1
2020-02-14,Capital_Hudson,2.2,-13.8
2020-02-15,Capital_Hudson,-2.1,-15.5
2020-02-16,Capital_Hudson,3.3,-3.8
2020-02-17,Capital_Hudson,3.3,-3.8
2020-02-18,Capital_Hudson,5.0,-4.9
2020-02-19,Capital_Hudson,5.0,-3.8
2020-02-20,Capital_Hudson,-0.5,-7.1
2020-02-21,Capital_Hudson,0.6,-11.6
2020-02-22,Capital_Hudson,6.7,-8.8
2020-02-23,Capital_Hudson,11.7,-5.5
2020-02-24,Capital_Hudson,16.7,-1.0
2020-02-25,Capital_Hudson,8.9,2.2
2020-02-26,Capital_Hudson,5.0,2.2
2020-02-27,Capital_Hudson,5.6,-3.2
2020-02-28,Capital_Hudson,1.7,-3.8
2020-02-29,Capital_Hudson,-1.0,-7.1
2020-03-01,Capital_Hudson,2.8,-8.2
2020-03-02,Capital_Hudson,14.4,-1.0
2020-03-03,Capital_Hudson,17.2,0.6
2020-03-04,Capital_Hudson,10.0,3.3
2020-03-05,Capital_Hudson,8.3,-1.6
2020-03-06,Capital_Hudson,8.9,-3.8
2020-03-07,Capital_Hudson,7.2,-3.2
2020-03-08,Capital_Hudson,15.0,-2.7
2020-03-09,Capital_Hudson,23.9,6.1
2020-03-10,Capital_Hudson,17.2,6.7
2020-03-11,Capital_Hudson,8.9,1.7
2020-03-12,Capital_Hudson,11.7,1.1
2020-03-13,Capital_Hudson,13.9,4.4
2020-03-14,Capital_Hudson,7.8,3.3
2020-03-15,Capital_Hudson,8.9,-2.7
2020-03-16,Capital_Hudson,8.3,-6.6
2020-03-17,Capital_Hudson,10.6,1.7
2020-03-18,Capital_Hudson,12.2,-1.0
2020-03-19,Capital_Hudson,10.6,3.3
2020-03-20,Capital_Hudson,23.3,6.7
2020-03-21,Capital_Hudson,7.8,-2.1
2020-03-22,Capital_Hudson,5.6,-4.9
2020-03-23,Capital_Hudson,2.8,0.0
2020-03-24,Capital_Hudson,6.1,0.6
2020-03-25,Capital_Hudson,8.3,-2.1
2020-03-26,Capital_Hudson,15.6,-2.7
2020-03-27,Capital_Hudson,15.6,5.0
2020-03-28,Capital_Hudson,10.6,-1.0
2020-03-29,Capital_Hudson,10.6,6.1
2020-03-30,Capital_Hudson,8.3,3.9
2020-03-31,Capital_Hudson,8.9,3.3
2020-04-01,Capital_Hudson,12.8,0.0
2020-04-02,Capital_Hudson,13.9,3.3
2020-04-03,Capital_Hudson,10.6,5.6
2020-04-04,Capital_Hudson,17.2,7.8
2020-04-05,Capital_Hudson,16.7,8.3
2020-04-06,Capital_Hudson,16.7,3.9
2020-04-07,Capital_Hudson,18.3,5.6
2020-04-08,Capital_Hudson,15.6,5.6
2020-04-09,Capital_Hudson,10.6,4.4
2020-04-10,Capital_Hudson,8.9,2.8
2020-04-11,Capital_Hudson,10.0,0.0
2020-04-12,Capital_Hudson,17.8,-1.6
2020-04-13,Capital_Hudson,17.8,9.4
2020-04-14,Capital_Hudson,11.1,4.4
2020-04-15,Capital_Hudson,8.9,0.6
2020-04-16,Capital_Hudson,7.2,0.6
2020-04-17,Capital_Hudson,10.0,-2.7
2020-04-18,Capital_Hudson,9.4,1.1
2020-04-19,Capital_Hudson,19.4,-2.1
2020-04-20,Capital_Hudson,12.2,2.2
2020-04-21,Capital_Hudson,11.1,-0.5
2020-04-22,Capital_Hudson,7.8,-1.0
2020-04-23,Capital_Hudson,13.3,-2.1
2020-04-24,Capital_Hudson,12.2,4.4
2020-04-25,Capital_Hudson,19.4,5.0
2020-04-26,Capital_Hudson,13.9,2.8
2020-04-27,Capital_Hudson,7.8,2.8
2020-04-28,Capital_Hudson,17.2,3.9
2020-04-29,Capital_Hudson,18.9,3.9
2020-04-30,Capital_Hudson,15.0,8.3
2020-05-01,Capital_Hudson,16.1,9.4
2020-05-02,Capital_Hudson,22.2,6.1
2020-05-03,Capital_Hudson,25.6,12.2
2020-05-04,Capital_Hudson,16.1,7.2
2020-05-05,Capital_Hudson,15.0,3.3
2020-05-06,Capital_Hudson,15.0,1.1
2020-05-07,Capital_Hudson,18.3,6.1
2020-05-08,Capital_Hudson,13.9,1.7
2020-05-09,Capital_Hudson,7.2,0.6
2020-05-10,Capital_Hudson,14.4,2.2
2020-05-11,Capital_Hudson,17.2,3.3
2020-05-12,Capital_Hudson,12.2,2.8
2020-05-13,Capital_Hudson,15.0,-1.6
2020-05-14,Capital_Hudson,21.1,0.6
2020-05-15,Capital_Hudson,28.9,13.9
2020-05-16,Capital_Hudson,22.8,12.8
2020-05-17,Capital_Hudson,23.3,12.2
2020-05-18,Capital_Hudson,20.6,12.2
2020-05-19,Capital_Hudson,21.1,11.1
2020-05-20,Capital_Hudson,23.9,7.2
2020-05-21,Capital_Hudson,25.6,7.8
2020-05-22,Capital_Hudson,28.3,12.8
2020-05-23,Capital_Hudson,29.4,15.6
2020-05-24,Capital_Hudson,26.1,9.4
2020-05-25,Capital_Hudson,26.7,12.8
2020-05-26,Capital_Hudson,32.2,17.8
2020-05-27,Capital_Hudson,31.7,20.0
2020-05-28,Capital_Hudson,28.3,20.0
2020-05-29,Capital_Hudson,31.7,21.1
2020-05-30,Capital_Hudson,25.6,14.4
2020-05-31,Capital_Hudson,18.3,7.8
2020-06-01,Capital_Hudson,20.0,5.0
2020-06-02,Capital_Hudson,21.7,7.2
2020-06-03,Capital_Hudson,27.2,14.4
2020-06-04,Capital_Hudson,32.2,15.0
2020-06-05,Capital_Hudson,29.4,21.7
2020-06-06,Capital_Hudson,30.0,15.6
2020-06-07,Capital_Hudson,23.9,12.2
2020-06-08,Capital_Hudson,27.2,9.4
2020-06-09,Capital_Hudson,31.1,14.4
2020-06-10,Capital_Hudson,30.0,15.0
2020-06-11,Capital_Hudson,31.1,16.1
2020-06-12,Capital_Hudson,27.2,12.8
2020-06-13,Capital_Hudson,18.9,7.8
2020-06-14,Capital_Hudson,21.7,6.1
2020-06-15,Capital_Hudson,25.6,9.4
2020-06-16,Capital_Hudson,28.3,9.4
