date,zone,tmax_c,tmin_c
2023-01-01,PJM_AEP_Ohio,10.6,1.1
2023-01-02,PJM_AEP_Ohio,15.0,9.4
2023-01-03,PJM_AEP_Ohio,16.7,13.3
2023-01-04,PJM_AEP_Ohio,16.1,3.9
2023-01-05,PJM_AEP_Ohio,8.3,1.1
2023-01-06,PJM_AEP_Ohio,3.3,0.6
2023-01-07,PJM_AEP_Ohio,5.0,-3.8
2023-01-08,PJM_AEP_Ohio,5.6,-3.8
2023-01-09,PJM_AEP_Ohio,2.2,-3.8
2023-01-10,PJM_AEP_Ohio,6.1,-2.7
2023-01-11,PJM_AEP_Ohio,10.0,-1.6
2023-01-12,PJM_AEP_Ohio,11.7,2.2
2023-01-13,PJM_AEP_Ohio,2.8,-2.1
2023-01-14,PJM_AEP_Ohio,-1.0,-7.1
2023-01-15,PJM_AEP_Ohio,2.8,-8.8
2023-01-16,PJM_AEP_Ohio,6.1,-3.8
2023-01-17,PJM_AEP_Ohio,15.0,4.4
2023-01-18,PJM_AEP_Ohio,5.6,3.3
2023-01-19,PJM_AEP_Ohio,15.6,4.4
2023-01-20,PJM_AEP_Ohio,4.4,1.1
2023-01-21,PJM_AEP_Ohio,1.1,-1.0
2023-01-22,PJM_AEP_Ohio,1.1,-2.7
2023-01-23,PJM_AEP_Ohio,1.1,-1.6
2023-01-24,PJM_AEP_Ohio,4.4,-3.2
2023-01-25,PJM_AEP_Ohio,8.3,0.0
2023-01-26,PJM_AEP_Ohio,1.7,-2.1
2023-01-27,PJM_AEP_Ohio,6.1,-4.3
2023-01-28,PJM_AEP_Ohio,10.0,1.1
2023-01-29,PJM_AEP_Ohio,9.4,1.7
2023-01-30,PJM_AEP_Ohio,1.7,-3.2
2023-01-31,PJM_AEP_Ohio,-3.2,-8.2
2023-02-01,PJM_AEP_Ohio,-1.0,-9.3
2023-02-02,PJM_AEP_Ohio,2.8,-6.6
2023-02-03,PJM_AEP_Ohio,0.0,-10.5
2023-02-04,PJM_AEP_Ohio,5.6,-11.0
2023-02-05,PJM_AEP_Ohio,11.1,3.9
2023-02-06,PJM_AEP_Ohio,3.9,0.0
2023-02-07,PJM_AEP_Ohio,14.4,1.1
2023-02-08,PJM_AEP_Ohio,10.6,-2.1
2023-02-09,PJM_AEP_Ohio,22.2,5.6
2023-02-10,PJM_AEP_Ohio,6.1,-1.6
2023-02-11,PJM_AEP_Ohio,5.0,-5.5
2023-02-12,PJM_AEP_Ohio,13.3,-6.0
2023-02-13,PJM_AEP_Ohio,13.9,-3.8
2023-02-14,PJM_AEP_Ohio,13.9,-3.2
2023-02-15,PJM_AEP_Ohio,22.2,8.3
2023-02-16,PJM_AEP_Ohio,15.6,6.7
2023-02-17,PJM_AEP_Ohio,13.3,-3.2
2023-02-18,PJM_AEP_Ohio,6.7,-5.5
2023-02-19,PJM_AEP_Ohio,14.4,2.2
2023-02-20,PJM_AEP_Ohio,13.9,4.4
2023-02-21,PJM_AEP_Ohio,10.6,2.8
2023-02-22,PJM_AEP_Ohio,19.4,2.2
2023-02-23,PJM_AEP_Ohio,22.8,3.9
2023-02-24,PJM_AEP_Ohio,5.0,-1.6
2023-02-25,PJM_AEP_Ohio,10.0,-2.1
2023-02-26,PJM_AEP_Ohio,12.8,-1.6
2023-02-27,PJM_AEP_Ohio,15.6,-0.5
2023-02-28,PJM_AEP_Ohio,12.2,2.8
2023-03-01,PJM_AEP_Ohio,23.9,2.8
2023-03-02,PJM_AEP_Ohio,12.2,3.3
2023-03-03,PJM_AEP_Ohio,14.4,2.8
2023-03-04,PJM_AEP_Ohio,11.1,2.2
2023-03-05,PJM_AEP_Ohio,12.8,1.1
2023-03-06,PJM_AEP_Ohio,22.2,4.4
2023-03-07,PJM_AEP_Ohio,9.4,-0.5
2023-03-08,PJM_AEP_Ohio,10.0,-3.8
2023-03-09,PJM_AEP_Ohio,11.7,-3.2
2023-03-10,PJM_AEP_Ohio,6.1,1.1
2023-03-11,PJM_AEP_Ohio,5.0,-0.5
2023-03-12,PJM_AEP_Ohio,3.3,-1.0
2023-03-13,PJM_AEP_Ohio,2.8,-1.6
2023-03-14,PJM_AEP_Ohio,0.6,-4.3
2023-03-15,PJM_AEP_Ohio,8.9,-5.5
2023-03-16,PJM_AEP_Ohio,16.7,-1.6
2023-03-17,PJM_AEP_Ohio,13.3,0.0
2023-03-18,PJM_AEP_Ohio,2.2,-7.1
2023-03-19,PJM_AEP_Ohio,2.8,-7.7
2023-03-20,PJM_AEP_Ohio,9.4,-5.5
2023-03-21,PJM_AEP_Ohio,15.0,-3.2
2023-03-22,PJM_AEP_Ohio,11.1,6.1
2023-03-23,PJM_AEP_Ohio,20.0,8.3
2023-03-24,PJM_AEP_Ohio,8.3,3.3
2023-03-25,PJM_AEP_Ohio,17.8,5.0
2023-03-26,PJM_AEP_Ohio,16.1,0.0
2023-03-27,PJM_AEP_Ohio,15.0,5.0
2023-03-28,PJM_AEP_Ohio,11.1,0.0
2023-03-29,PJM_AEP_Ohio,13.3,-1.0
2023-03-30,PJM_AEP_Ohio,13.3,-3.2
2023-03-31,PJM_AEP_Ohio,15.6,7.2
2023-04-01,PJM_AEP_Ohio,18.3,2.8
2023-04-02,PJM_AEP_Ohio,7.8,2.2
2023-04-03,PJM_AEP_Ohio,21.1,2.2
2023-04-04,PJM_AEP_Ohio,22.2,9.4
2023-04-05,PJM_AEP_Ohio,25.6,15.6
2023-04-06,PJM_AEP_Ohio,15.6,3.3
2023-04-07,PJM_AEP_Ohio,13.3,2.2
2023-04-08,PJM_AEP_Ohio,14.4,0.6
2023-04-09,PJM_AEP_Ohio,17.2,2.2
2023-04-10,PJM_AEP_Ohio,20.6,4.4
2023-04-11,PJM_AEP_Ohio,23.3,3.3
2023-04-12,PJM_AEP_Ohio,26.1,9.4
2023-04-13,PJM_AEP_Ohio,27.2,8.9
2023-04-14,PJM_AEP_Ohio,23.3,10.0
2023-04-15,PJM_AEP_Ohio,26.7,13.3
2023-04-16,PJM_AEP_Ohio,23.9,7.8
2023-04-17,PJM_AEP_Ohio,7.8,2.2
2023-04-18,PJM_AEP_Ohio,15.0,1.7
2023-04-19,PJM_AEP_Ohio,23.9,1.7
2023-04-20,PJM_AEP_Ohio,28.9,11.1
2023-04-21,PJM_AEP_Ohio,24.4,10.0
2023-04-22,PJM_AEP_Ohio,16.1,5.0
2023-04-23,PJM_AEP_Ohio,8.9,2.2
2023-04-24,PJM_AEP_Ohio,10.0,1.1
2023-04-25,PJM_AEP_Ohio,13.9,-1.6
2023-04-26,PJM_AEP_Ohio,15.0,3.9
2023-04-27,PJM_AEP_Ohio,19.4,3.3
2023-04-28,PJM_AEP_Ohio,18.3,11.1
2023-04-29,PJM_AEP_Ohio,18.9,11.1
2023-04-30,PJM_AEP_Ohio,15.0,6.1
2023-05-01,PJM_AEP_Ohio,7.8,3.3
2023-05-02,PJM_AEP_Ohio,7.8,3.3
2023-05-03,PJM_AEP_Ohio,12.2,3.9
2023-05-04,PJM_AEP_Ohio,17.8,3.3
2023-05-05,PJM_AEP_Ohio,21.7,3.9
2023-05-06,PJM_AEP_Ohio,25.0,8.9
2023-05-07,PJM_AEP_Ohio,25.6,15.6
2023-05-08,PJM_AEP_Ohio,23.9,15.6
2023-05-09,PJM_AEP_Ohio,22.2,9.4
2023-05-10,PJM_AEP_Ohio,24.4,6.1
2023-05-11,PJM_AEP_Ohio,27.8,10.6
2023-05-12,PJM_AEP_Ohio,25.6,15.0
2023-05-13,PJM_AEP_Ohio,24.4,17.8
2023-05-14,PJM_AEP_Ohio,25.0,14.4
2023-05-15,PJM_AEP_Ohio,25.0,12.8
2023-05-16,PJM_AEP_Ohio,19.4,11.7
2023-05-17,PJM_AEP_Ohio,20.0,7.8
2023-05-18,PJM_AEP_Ohio,23.3,5.0
2023-05-19,PJM_AEP_Ohio,26.7,15.6
2023-05-20,PJM_AEP_Ohio,20.6,11.7
2023-05-21,PJM_AEP_Ohio,25.0,7.8
2023-05-22,PJM_AEP_Ohio,26.7,10.6
2023-05-23,PJM_AEP_Ohio,27.2,14.4
2023-05-24,PJM_AEP_Ohio,28.3,11.7
2023-05-25,PJM_AEP_Ohio,21.1,8.3
2023-05-26,PJM_AEP_Ohio,24.4,8.9
2023-05-27,PJM_AEP_Ohio,24.4,11.7
2023-05-28,PJM_AEP_Ohio,25.6,15.0
2023-05-29,PJM_AEP_Ohio,30.0,16.1
2023-05-30,PJM_AEP_Ohio,30.6,16.7
2023-05-31,PJM_AEP_Ohio,30.6,17.8
2023-06-01,PJM_AEP_Ohio,31.7,15.6
2023-06-02,PJM_AEP_Ohio,33.9,15.6
2023-06-03,PJM_AEP_Ohio,34.4,19.4
2023-06-04,PJM_AEP_Ohio,30.6,15.0
2023-06-05,PJM_AEP_Ohio,25.6,12.8
2023-06-06,PJM_AEP_Ohio,27.8,11.1
2023-06-07,PJM_AEP_Ohio,24.4,10.6
2023-06-08,PJM_AEP_Ohio,24.4,8.3
2023-06-09,PJM_AEP_Ohio,25.6,10.6
2023-06-10,PJM_AEP_Ohio,30.0,10.6
2023-06-11,PJM_AEP_Ohio,25.0,14.4
2023-06-12,PJM_AEP_Ohio,21.7,12.8
2023-06-13,PJM_AEP_Ohio,20.0,8.9
2023-06-14,PJM_AEP_Ohio,23.9,13.9
2023-06-15,PJM_AEP_Ohio,26.1,11.7
2023-06-16,PJM_AEP_Ohio,22.2,13.3
2023-06-17,PJM_AEP_Ohio,26.1,11.1
2023-06-18,PJM_AEP_Ohio,27.8,12.8
2023-06-19,PJM_AEP_Ohio,25.0,18.3
2023-06-20,PJM_AEP_Ohio,22.8,18.9
2023-06-21,PJM_AEP_Ohio,28.9,18.9
2023-06-22,PJM_AEP_Ohio,22.8,16.1
2023-06-23,PJM_AEP_Ohio,23.9,17.8
2023-06-24,PJM_AEP_Ohio,28.9,17.8
2023-06-25,PJM_AEP_Ohio,28.9,18.9
2023-06-26,PJM_AEP_Ohio,27.2,19.4
2023-06-27,PJM_AEP_Ohio,22.2,17.8
2023-06-28,PJM_AEP_Ohio,26.7,15.0
2023-06-29,PJM_AEP_Ohio,29.4,17.2
2023-06-30,PJM_AEP_Ohio,30.6,21.1
2023-07-01,PJM_AEP_Ohio,27.2,22.8
2023-07-02,PJM_AEP_Ohio,28.9,19.4
2023-07-03,PJM_AEP_Ohio,27.2,18.9
2023-07-04,PJM_AEP_Ohio,32.8,18.9
