date,zone,tmax_c,tmin_c
2019-07-01,PJM_AEP_Ohio,31.7,17.8
2019-07-02,PJM_AEP_Ohio,34.4,20.6
2019-07-03,PJM_AEP_Ohio,29.4,20.6
2019-07-04,PJM_AEP_Ohio,30.0,19.4
2019-07-05,PJM_AEP_Ohio,32.8,21.7
2019-07-06,PJM_AEP_Ohio,32.8,23.3
2019-07-07,PJM_AEP_Ohio,31.1,21.7
2019-07-08,PJM_AEP_Ohio,30.0,19.4
2019-07-09,PJM_AEP_Ohio,31.7,17.8
2019-07-10,PJM_AEP_Ohio,32.8,21.1
2019-07-11,PJM_AEP_Ohio,32.2,23.9
2019-07-12,PJM_AEP_Ohio,29.4,20.0
2019-07-13,PJM_AEP_Ohio,32.2,16.7
2019-07-14,PJM_AEP_Ohio,32.8,21.1
2019-07-15,PJM_AEP_Ohio,33.9,21.1
2019-07-16,PJM_AEP_Ohio,32.2,22.2
2019-07-17,PJM_AEP_Ohio,30.0,22.8
2019-07-18,PJM_AEP_Ohio,33.3,21.7
2019-07-19,PJM_AEP_Ohio,33.3,22.8
2019-07-20,PJM_AEP_Ohio,34.4,23.9
2019-07-21,PJM_AEP_Ohio,34.4,22.8
2019-07-22,PJM_AEP_Ohio,25.0,19.4
2019-07-23,PJM_AEP_Ohio,26.7,15.0
2019-07-24,PJM_AEP_Ohio,26.7,14.4
2019-07-25,PJM_AEP_Ohio,27.8,13.9
2019-07-26,PJM_AEP_Ohio,29.4,15.6
2019-07-27,PJM_AEP_Ohio,30.6,16.7
2019-07-28,PJM_AEP_Ohio,31.7,20.6
2019-07-29,PJM_AEP_Ohio,32.8,19.4
2019-07-30,PJM_AEP_Ohio,30.0,21.1
2019-07-31,PJM_AEP_Ohio,30.6,20.0
2019-08-01,PJM_AEP_Ohio,30.0,20.6
2019-08-02,PJM_AEP_Ohio,31.1,19.4
2019-08-03,PJM_AEP_Ohio,30.6,16.7
2019-08-04,PJM_AEP_Ohio,32.2,15.6
2019-08-05,PJM_AEP_Ohio,31.7,18.9
2019-08-06,PJM_AEP_Ohio,30.6,20.0
2019-08-07,PJM_AEP_Ohio,29.4,19.4
2019-08-08,PJM_AEP_Ohio,31.7,17.8
2019-08-09,PJM_AEP_Ohio,28.9,18.3
2019-08-10,PJM_AEP_Ohio,28.9,15.0
2019-08-11,PJM_AEP_Ohio,29.4,13.9
2019-08-12,PJM_AEP_Ohio,30.6,17.2
2019-08-13,PJM_AEP_Ohio,29.4,21.7
2019-08-14,PJM_AEP_Ohio,30.0,20.0
2019-08-15,PJM_AEP_Ohio,31.1,18.9
2019-08-16,PJM_AEP_Ohio,29.4,17.8
2019-08-17,PJM_AEP_Ohio,32.2,19.4
2019-08-18,PJM_AEP_Ohio,34.4,20.0
2019-08-19,PJM_AEP_Ohio,31.7,18.3
2019-08-20,PJM_AEP_Ohio,33.3,21.7
2019-08-21,PJM_AEP_Ohio,30.0,20.6
2019-08-22,PJM_AEP_Ohio,27.2,20.0
2019-08-23,PJM_AEP_Ohio,24.4,14.4
2019-08-24,PJM_AEP_Ohio,26.1,12.8
2019-08-25,PJM_AEP_Ohio,27.2,13.3
2019-08-26,PJM_AEP_Ohio,20.6,16.7
2019-08-27,PJM_AEP_Ohio,25.0,19.4
2019-08-28,PJM_AEP_Ohio,26.7,17.2
2019-08-29,PJM_AEP_Ohio,27.2,13.3
2019-08-30,PJM_AEP_Ohio,30.6,18.9
2019-08-31,PJM_AEP_Ohio,25.6,18.3
2019-09-01,PJM_AEP_Ohio,26.1,16.1
2019-09-02,PJM_AEP_Ohio,27.2,17.2
2019-09-03,PJM_AEP_Ohio,28.3,15.6
2019-09-04,PJM_AEP_Ohio,27.8,16.7
2019-09-05,PJM_AEP_Ohio,25.0,13.3
2019-09-06,PJM_AEP_Ohio,26.1,11.1
2019-09-07,PJM_AEP_Ohio,26.1,15.6
2019-09-08,PJM_AEP_Ohio,25.0,13.3
2019-09-09,PJM_AEP_Ohio,28.3,15.0
2019-09-10,PJM_AEP_Ohio,32.2,17.2
2019-09-11,PJM_AEP_Ohio,33.9,21.1
2019-09-12,PJM_AEP_Ohio,33.9,20.6
2019-09-13,PJM_AEP_Ohio,33.9,21.7
2019-09-14,PJM_AEP_Ohio,26.7,15.6
2019-09-15,PJM_AEP_Ohio,30.0,13.3
2019-09-16,PJM_AEP_Ohio,31.1,19.4
2019-09-17,PJM_AEP_Ohio,27.8,16.7
2019-09-18,PJM_AEP_Ohio,28.9,16.7
2019-09-19,PJM_AEP_Ohio,28.9,15.0
2019-09-20,PJM_AEP_Ohio,31.7,17.8
2019-09-21,PJM_AEP_Ohio,29.4,19.4
2019-09-22,PJM_AEP_Ohio,31.7,17.8
2019-09-23,PJM_AEP_Ohio,29.4,15.6
2019-09-24,PJM_AEP_Ohio,26.1,11.1
2019-09-25,PJM_AEP_Ohio,28.3,11.7
2019-09-26,PJM_AEP_Ohio,26.7,12.2
2019-09-27,PJM_AEP_Ohio,31.1,10.0
2019-09-28,PJM_AEP_Ohio,32.8,18.9
2019-09-29,PJM_AEP_Ohio,27.8,18.3
2019-09-30,PJM_AEP_Ohio,33.3,19.4
2019-07-01,PJM_ATSI,30.925,14.615
2019-07-02,PJM_ATSI,32.974999999999994,21.315
2019-07-03,PJM_ATSI,29.61,21.315
2019-07-04,PJM_ATSI,31.31,22.205
2019-07-05,PJM_ATSI,33.125,22.915
2019-07-06,PJM_ATSI,32.025000000000006,22.59
2019-07-07,PJM_ATSI,28.185,21.43
2019-07-08,PJM_ATSI,27.255,18.13
2019-07-09,PJM_ATSI,29.28,14.995
2019-07-10,PJM_ATSI,33.305,21.31
2019-07-11,PJM_ATSI,31.315,21.49
2019-07-12,PJM_ATSI,26.695,18.125
2019-07-13,PJM_ATSI,32.355,17.2
2019-07-14,PJM_ATSI,28.36,18.895000000000003
2019-07-15,PJM_ATSI,32.739999999999995,16.485
2019-07-16,PJM_ATSI,31.49,22.415
2019-07-17,PJM_ATSI,28.69,21.815
2019-07-18,PJM_ATSI,32.2,20.39
2019-07-19,PJM_ATSI,33.84,25.005
2019-07-20,PJM_ATSI,34.79,25.0
2019-07-21,PJM_ATSI,32.08,21.695
2019-07-22,PJM_ATSI,25.21,18.515
2019-07-23,PJM_ATSI,25.21,17.53
2019-07-24,PJM_ATSI,24.61,16.105
2019-07-25,PJM_ATSI,27.975,15.18
2019-07-26,PJM_ATSI,29.075,16.7
2019-07-27,PJM_ATSI,30.6,18.3
2019-07-28,PJM_ATSI,31.315,22.03
2019-07-29,PJM_ATSI,31.815000000000005,21.64
2019-07-30,PJM_ATSI,29.015,21.105
2019-07-31,PJM_ATSI,27.97,18.515
2019-08-01,PJM_ATSI,28.36,16.875
2019-08-02,PJM_ATSI,28.78,17.085
2019-08-03,PJM_ATSI,29.075,16.695
2019-08-04,PJM_ATSI,30.925,16.490000000000002
2019-08-05,PJM_ATSI,30.775,18.3
2019-08-06,PJM_ATSI,31.1,20.18
2019-08-07,PJM_ATSI,27.975,19.225
2019-08-08,PJM_ATSI,28.685,18.84
2019-08-09,PJM_ATSI,26.49,16.105
2019-08-10,PJM_ATSI,26.31,16.1
2019-08-11,PJM_ATSI,28.3,15.21
2019-08-12,PJM_ATSI,27.975,18.125
2019-08-13,PJM_ATSI,25.6,20.715000000000003
2019-08-14,PJM_ATSI,28.18,18.51
2019-08-15,PJM_ATSI,29.105,18.125
2019-08-16,PJM_ATSI,27.975,20.005
2019-08-17,PJM_ATSI,30.39,20.39
2019-08-18,PJM_ATSI,32.8,20.385
2019-08-19,PJM_ATSI,29.285,18.515
2019-08-20,PJM_ATSI,32.2,20.21
2019-08-21,PJM_ATSI,29.405,21.815
2019-08-22,PJM_ATSI,24.015,17.915
2019-08-23,PJM_ATSI,24.075,15.510000000000002
2019-08-24,PJM_ATSI,23.685,15.510000000000002
2019-08-25,PJM_ATSI,25.925,13.63
2019-08-26,PJM_ATSI,26.315,16.105
2019-08-27,PJM_ATSI,23.305,19.015
2019-08-28,PJM_ATSI,26.7,16.7
2019-08-29,PJM_ATSI,27.025,13.305
2019-08-30,PJM_ATSI,27.47,17.26
2019-08-31,PJM_ATSI,24.4,14.400000000000002
2019-09-01,PJM_ATSI,26.485,16.43
2019-09-02,PJM_ATSI,27.2,18.305
2019-09-03,PJM_ATSI,28.3,15.715000000000002
2019-09-04,PJM_ATSI,25.77,14.225
2019-09-05,PJM_ATSI,23.895000000000003,11.1
2019-09-06,PJM_ATSI,24.61,10.385
2019-09-07,PJM_ATSI,24.61,14.62
2019-09-08,PJM_ATSI,24.285,15.925
2019-09-09,PJM_ATSI,25.775,14.945
2019-09-10,PJM_ATSI,32.415,15.6
2019-09-11,PJM_ATSI,34.224999999999994,21.315
2019-09-12,PJM_ATSI,27.35,19.075
2019-09-13,PJM_ATSI,33.3,19.075
2019-09-14,PJM_ATSI,25.39,16.315
2019-09-15,PJM_ATSI,25.0,14.79
2019-09-16,PJM_ATSI,27.97,18.125
2019-09-17,PJM_ATSI,25.595,16.22
2019-09-18,PJM_ATSI,26.815,14.405
2019-09-19,PJM_ATSI,28.125,14.615
2019-09-20,PJM_ATSI,30.18,15.505000000000004
2019-09-21,PJM_ATSI,32.025000000000006,18.69
2019-09-22,PJM_ATSI,32.59,21.43
2019-09-23,PJM_ATSI,27.085,17.535
2019-09-24,PJM_ATSI,25.505,12.025
2019-09-25,PJM_ATSI,28.125,13.305
2019-09-26,PJM_ATSI,24.495,11.16
2019-09-27,PJM_ATSI,29.4,9.495
2019-09-28,PJM_ATSI,28.9,18.305
2019-09-29,PJM_ATSI,22.585,17.915
2019-09-30,PJM_ATSI,29.015,19.285
2019-07-01,PJM_Central_PA,28.9,16.7
2019-07-02,PJM_Central_PA,33.9,18.9
2019-07-03,PJM_Central_PA,32.2,23.3
2019-07-04,PJM_Central_PA,33.3,23.9
2019-07-05,PJM_Central_PA,31.7,24.4
2019-07-06,PJM_Central_PA,34.4,22.8
2019-07-07,PJM_Central_PA,31.7,22.8
2019-07-08,PJM_Central_PA,28.3,22.2
2019-07-09,PJM_Central_PA,31.1,20.0
2019-07-10,PJM_Central_PA,32.8,21.7
2019-07-11,PJM_Central_PA,30.6,23.3
2019-07-12,PJM_Central_PA,31.7,21.7
2019-07-13,PJM_Central_PA,31.7,20.0
2019-07-14,PJM_Central_PA,32.2,22.2
2019-07-15,PJM_Central_PA,31.7,20.0
2019-07-16,PJM_Central_PA,33.3,20.6
2019-07-17,PJM_Central_PA,35.0,22.8
2019-07-18,PJM_Central_PA,32.2,23.9
2019-07-19,PJM_Central_PA,35.0,23.3
2019-07-20,PJM_Central_PA,36.1,26.1
2019-07-21,PJM_Central_PA,36.1,25.0
2019-07-22,PJM_Central_PA,31.7,20.6
2019-07-23,PJM_Central_PA,26.7,20.0
2019-07-24,PJM_Central_PA,28.9,18.3
2019-07-25,PJM_Central_PA,29.4,18.3
2019-07-26,PJM_Central_PA,31.1,18.3
2019-07-27,PJM_Central_PA,32.2,18.3
2019-07-28,PJM_Central_PA,33.3,20.6
2019-07-29,PJM_Central_PA,33.9,22.2
2019-07-30,PJM_Central_PA,35.0,22.8
2019-07-31,PJM_Central_PA,30.0,21.7
2019-08-01,PJM_Central_PA,31.7,21.7
2019-08-02,PJM_Central_PA,31.1,20.6
2019-08-03,PJM_Central_PA,31.7,20.6
2019-08-04,PJM_Central_PA,32.2,21.1
2019-08-05,PJM_Central_PA,31.1,21.1
2019-08-06,PJM_Central_PA,33.3,21.7
2019-08-07,PJM_Central_PA,30.6,22.2
2019-08-08,PJM_Central_PA,32.8,20.6
2019-08-09,PJM_Central_PA,31.7,20.6
2019-08-10,PJM_Central_PA,30.0,17.8
2019-08-11,PJM_Central_PA,28.9,16.7
2019-08-12,PJM_Central_PA,32.8,16.1
2019-08-13,PJM_Central_PA,27.2,22.8
2019-08-14,PJM_Central_PA,31.7,22.8
2019-08-15,PJM_Central_PA,30.6,20.6
2019-08-16,PJM_Central_PA,30.0,20.6
2019-08-17,PJM_Central_PA,32.2,21.7
2019-08-18,PJM_Central_PA,36.1,22.8
2019-08-19,PJM_Central_PA,33.9,21.7
2019-08-20,PJM_Central_PA,34.4,21.7
2019-08-21,PJM_Central_PA,31.7,22.2
2019-08-22,PJM_Central_PA,33.3,22.2
2019-08-23,PJM_Central_PA,23.9,16.7
2019-08-24,PJM_Central_PA,23.9,13.9
2019-08-25,PJM_Central_PA,26.1,14.4
2019-08-26,PJM_Central_PA,25.6,13.9
2019-08-27,PJM_Central_PA,25.0,16.7
2019-08-28,PJM_Central_PA,25.6,18.3
2019-08-29,PJM_Central_PA,27.2,16.1
2019-08-30,PJM_Central_PA,30.6,14.4
2019-08-31,PJM_Central_PA,28.3,19.4
2019-09-01,PJM_Central_PA,27.8,18.3
2019-09-02,PJM_Central_PA,28.9,18.9
2019-09-03,PJM_Central_PA,29.4,17.8
2019-09-04,PJM_Central_PA,31.7,19.4
2019-09-05,PJM_Central_PA,25.0,17.2
2019-09-06,PJM_Central_PA,23.9,15.0
2019-09-07,PJM_Central_PA,26.1,14.4
2019-09-08,PJM_Central_PA,27.2,14.4
2019-09-09,PJM_Central_PA,27.8,18.3
2019-09-10,PJM_Central_PA,29.4,18.3
2019-09-11,PJM_Central_PA,33.9,19.4
2019-09-12,PJM_Central_PA,31.7,18.9
2019-09-13,PJM_Central_PA,18.9,16.7
2019-09-14,PJM_Central_PA,23.9,17.8
2019-09-15,PJM_Central_PA,27.8,17.2
2019-09-16,PJM_Central_PA,27.8,18.9
