year,hod,alloc_share,da_frac
2023,0,0.0,0.8399
2023,1,0.011219,0.8399
2023,2,0.022283,0.8399
2023,3,0.028963,0.8399
2023,4,0.011801,0.8399
2023,5,0.0,0.8399
2023,6,0.0,0.8399
2023,7,0.0114,0.8399
2023,8,0.055972,0.8399
2023,9,0.106873,0.8399
2023,10,0.150103,0.8399
2023,11,0.166495,0.8399
2023,12,0.159678,0.8399
2023,13,0.137424,0.8399
2023,14,0.092115,0.8399
2023,15,0.031858,0.8399
2023,16,0.013816,0.8399
2023,17,0.0,0.8399
2023,18,0.0,0.8399
2023,19,0.0,0.8399
2023,20,0.0,0.8399
2023,21,0.0,0.8399
2023,22,0.0,0.8399
2023,23,0.0,0.8399
2024,0,0.0,0.7994
2024,1,0.007208,0.7994
2024,2,0.015855,0.7994
2024,3,0.018599,0.7994
2024,4,0.006068,0.7994
2024,5,0.0,0.7994
2024,6,0.0,0.7994
2024,7,0.01492,0.7994
2024,8,0.060008,0.7994
2024,9,0.106464,0.7994
2024,10,0.148573,0.7994
2024,11,0.168189,0.7994
2024,12,0.167837,0.7994
2024,13,0.144755,0.7994
2024,14,0.100946,0.7994
2024,15,0.032354,0.7994
2024,16,0.008224,0.7994
2024,17,0.0,0.7994
2024,18,0.0,0.7994
2024,19,0.0,0.7994
2024,20,0.0,0.7994
2024,21,0.0,0.7994
2024,22,0.0,0.7994
2024,23,0.0,0.7994
2025,0,0.0,0.7603
2025,1,0.0,0.7603
2025,2,0.011944,0.7603
2025,3,0.0147,0.7603
2025,4,0.005237,0.7603
2025,5,0.0,0.7603
2025,6,0.0,0.7603
2025,7,0.013138,0.7603
2025,8,0.062875,0.7603
2025,9,0.104949,0.7603
2025,10,0.140307,0.7603
2025,11,0.159971,0.7603
2025,12,0.163893,0.7603
2025,13,0.148017,0.7603
2025,14,0.111201,0.7603
2025,15,0.046932,0.7603
2025,16,0.016836,0.7603
2025,17,0.0,0.7603
2025,18,0.0,0.7603
2025,19,0.0,0.7603
2025,20,0.0,0.7603
2025,21,0.0,0.7603
2025,22,0.0,0.7603
2025,23,0.0,0.7603
