family,net_load_decile,hour_of_day,season,congestion_share
D,0,0,0,0.34455128205128205
D,0,0,1,0.44637053087757317
D,0,0,3,0.6435897435897436
D,0,1,0,0.3080357142857143
D,0,1,1,0.3744444444444444
D,0,1,3,0.5944444444444444
D,0,2,0,0.2742914979757085
D,0,2,1,0.25747863247863245
D,0,2,3,0.6083112290008842
D,0,3,0,0.2754761904761905
D,0,3,1,0.24271162627327011
D,0,3,3,0.49969474969474964
D,0,4,0,0.29193722943722944
D,0,4,1,0.25146198830409355
D,0,4,3,0.4277777777777778
D,0,5,0,0.3279569892473118
D,0,5,1,0.3148148148148148
D,0,5,3,0.5416666666666666
D,0,6,0,0.6388888888888888
D,0,6,1,0.495014245014245
D,0,6,3,0.5833333333333334
D,0,7,0,0.6212121212121212
D,0,7,1,0.38596491228070173
D,0,7,2,1.0
D,0,7,3,0.5031397174254317
D,0,8,0,0.4759615384615385
D,0,8,1,0.43694413477022176
D,0,8,2,1.0
D,0,8,3,0.5099924585218704
D,0,9,0,0.5195691347678458
D,0,9,1,0.40748735391592533
D,0,9,2,1.0
D,0,9,3,0.4321705426356589
D,0,10,0,0.5574925074925074
D,0,10,1,0.4180952380952381
D,0,10,2,1.0
D,0,10,3,0.47093023255813954
D,0,11,0,0.5256410256410255
D,0,11,1,0.4859307359307359
D,0,11,2,1.0
D,0,11,3,0.40244708994708994
D,0,12,0,0.49814643188137164
D,0,12,1,0.44776507276507277
D,0,12,2,1.0
D,0,12,3,0.47023809523809523
D,0,13,0,0.4685450208706023
D,0,13,1,0.44880823401950165
D,0,13,3,0.5181901431901431
D,0,14,0,0.4942528735632184
D,0,14,1,0.4755411937788987
D,0,14,3,0.5350877192982456
D,0,15,0,0.473968105065666
D,0,15,1,0.5090943539219401
D,0,15,3,0.5623015873015873
D,0,16,0,0.612724358974359
D,0,16,1,0.6003186813186813
D,0,16,3,0.4572649572649572
D,0,17,0,0.7442941673710904
D,0,17,1,0.5349354154617313
D,0,18,0,0.9583333333333334
D,0,18,1,0.5166666666666667
D,0,19,0,0.7638888888888888
D,0,19,1,1.0
D,0,19,3,1.0
D,0,20,0,0.6833333333333333
D,0,20,1,0.6166666666666667
D,0,20,3,1.0
D,0,21,0,0.6597222222222222
D,0,21,1,0.7083333333333333
D,0,21,3,1.0
D,0,22,0,0.6234567901234568
D,0,22,1,0.5656565656565657
D,0,22,3,0.6263736263736265
D,0,23,0,0.47944947209653094
D,0,23,1,0.46046720575022465
D,0,23,3,0.7111613876319759
D,1,0,0,0.29591836734693877
D,1,0,1,0.1522108843537415
D,1,0,3,0.380952380952381
D,1,1,0,0.23798076923076925
D,1,1,1,0.13382816014394963
D,1,1,3,0.2450980392156863
