rung,key,v_usd_mmbtu
zone_group,MISO-East|CC_REGULAR,0.746712
zone_group,MISO-East|CT_PEAKER,0.351892
zone_group,MISO-East|ST_CHP,-0.718383
zone_group,MISO-East|ST_GAS,0.457596
zone_group,MISO-Illinois|CC_REGULAR,0.101716
zone_group,MISO-Illinois|CT_PEAKER,1.869591
zone_group,MISO-Indiana|CC_REGULAR,0.55717
zone_group,MISO-Indiana|CT_PEAKER,0.802988
zone_group,MISO-Indiana|ST_GAS,0.861258
zone_group,MISO-Plains|CC_REGULAR,0.190923
zone_group,MISO-Plains|CT_PEAKER,1.48591
zone_group,MISO-Plains|ST_CHP,1.21172
zone_group,MISO-Plains|ST_GAS,0.592989
zone_group,MISO-South|CC_REGULAR,0.248925
zone_group,MISO-South|CT_CHP,-0.136656
zone_group,MISO-South|CT_PEAKER,0.155969
zone_group,MISO-South|ST_GAS,0.479312
zone_group,MISO-West|CC_REGULAR,0.881983
zone_group,MISO-West|CT_PEAKER,1.828056
zone_group,MISO-West|ST_CHP,0.452169
group,CC_REGULAR,0.441149
group,CT_CHP,-0.136656
group,CT_PEAKER,0.56965
group,ST_CHP,1.616221
group,ST_GAS,0.582663
miso,__MISO__,0.50357
