Generator Catagory/Classification,Start,End,# Units,Unit-Years,NMC,FOR,EFOR,EFORd
FOSSIL  All Fuel Types    All Sizes,2018,2022,1108,4397.67,340,10.32,13.82,10.56
FOSSIL  All Fuel Types      001-099,2018,2022,220,884,52,13.93,17.22,11.92
FOSSIL  All Fuel Types      100-199,2018,2022,241,870.83,136,12.59,16.27,10
FOSSIL  All Fuel Types      200-299,2018,2022,120,488,231,7.86,11.03,9.19
FOSSIL  All Fuel Types      300-399,2018,2022,108,424.83,339,9.49,13.7,10.47
FOSSIL  All Fuel Types      400-599,2018,2022,194,825,482,9.69,13.3,11.33
FOSSIL  All Fuel Types      600-799,2018,2022,143,580,662,8.29,11.67,10.37
FOSSIL  All Fuel Types      800-999,2018,2022,70,267,828,8.2,11.1,9.37
FOSSIL  All Fuel Types    1000 Plus,2018,2022,13,58,1245,11,15.41,13.76
FOSSIL  Coal Primary      All Sizes,2018,2022,668,2491.17,419,8.49,11.5,9.85
FOSSIL  Coal Primary        001-099,2018,2022,90,250.67,57,8.8,11.39,9.28
FOSSIL  Coal Primary        100-199,2018,2022,125,408.92,143,10.18,13.34,10.24
FOSSIL  Coal Primary        200-299,2018,2022,76,309.58,230,8.11,10.86,9.65
FOSSIL  Coal Primary        300-399,2018,2022,60,230.08,332,9.5,13.99,11.86
FOSSIL  Coal Primary        400-599,2018,2022,134,551.25,487,7.91,10.82,9.95
FOSSIL  Coal Primary        600-799,2018,2022,121,492.92,662,7.5,10.26,9.45
FOSSIL  Coal Primary        800-999,2018,2022,51,194.75,835,8.65,11.26,10.18
FOSSIL  Coal Primary      1000 Plus,2018,2022,12,53,1270,11.06,15.06,14.02
FOSSIL  Oil Primary       All Sizes,2018,2022,68,214.5,311,20.57,29.1,14.33
FOSSIL  Oil Primary         001-099,2018,2022,15,69.5,67,18.67,28.79,22.02
FOSSIL  Oil Primary         100-199,2018,2022,14,34,122,25.89,31.95,19.89
FOSSIL  Oil Primary         300-399,2018,2022,10,42,365,12.94,14.24,9.84
FOSSIL  Oil Primary         400-599,2018,2022,11,27.92,455,52.32,58.63,20.71
FOSSIL  Oil Primary         600-799,2018,2022,9,21.58,614,41.52,51.67,18.63
FOSSIL  Oil Primary         800-999,2018,2022,7,14.42,811,38.54,69.35,26.22
FOSSIL  Gas Primary       All Sizes,2018,2022,348,1324.25,239,18.15,22.9,12.6
FOSSIL  Gas Primary         001-099,2018,2022,83,323.92,53,34.39,36.91,16.02
FOSSIL  Gas Primary         100-199,2018,2022,108,415.58,131,15.64,20.1,10.06
FOSSIL  Gas Primary         200-299,2018,2022,46,148.33,235,7.61,12.33,8.18
FOSSIL  Gas Primary         300-399,2018,2022,39,140.5,344,10.26,14.83,9.77
FOSSIL  Gas Primary         400-599,2018,2022,50,214.25,479,19.07,25.33,16.65
FOSSIL  Gas Primary         600-799,2018,2022,13,50.17,683,18.79,30.37,20.62
FOSSIL  Gas Primary         800-999,2018,2022,9,31.5,795,15.51,18.19,8.07
FOSSIL  Gas Primary       1000 Plus,2018,2022,0,0,0,0,0,0
FOSSIL  Oil/Gas Primary   All Sizes,2018,2022,403,1538.75,249,18.44,23.63,12.82
FOSSIL  Oil/Gas Primary     001-099,2018,2022,98,393.42,55,29.75,34.49,16.76
FOSSIL  Oil/Gas Primary     100-199,2018,2022,117,449.58,130,16.48,21.06,10.51
FOSSIL  Oil/Gas Primary     200-299,2018,2022,46,148.42,235,7.6,12.33,8.17
FOSSIL  Oil/Gas Primary     300-399,2018,2022,48,182.5,349,10.64,14.75,9.52
FOSSIL  Oil/Gas Primary     400-599,2018,2022,61,242.17,476,19.59,25.86,16.24
FOSSIL  Oil/Gas Primary     600-799,2018,2022,18,71.75,662,20.59,32.14,19.07
FOSSIL  Oil/Gas Primary     800-999,2018,2022,14,45.92,800,16.45,22.04,8.66
FOSSIL  Lignite Primary   All Sizes,2018,2022,24,88.17,522,5.49,9.69,9.39
NUCLEAR All Types         All Sizes,2018,2022,104,460,1027,1.58,2.07,2.07
NUCLEAR All Types           400-799,2018,2022,12,45,626,2.09,2.69,2.69
NUCLEAR All Types           800-999,2018,2022,37,161,891,1.38,1.86,1.86
NUCLEAR All Types         1000 Plus,2018,2022,55,254,1184,1.61,2.1,2.1
NUCLEAR PWR               All Sizes,2018,2022,61,275,1045,1.55,1.91,1.91
NUCLEAR PWR                 400-799,2018,2022,4,17,614,1.23,1.39,1.39
NUCLEAR PWR                 800-999,2018,2022,22,93,890,1.34,1.66,1.66
NUCLEAR PWR               1000 Plus,2018,2022,35,165,1176,1.71,2.1,2.1
NUCLEAR BWR               All Sizes,2018,2022,31,138,1052,1.49,2.18,2.18
NUCLEAR BWR                 400-799,2018,2022,4,11,642,1.81,3.14,3.14
NUCLEAR BWR                 800-999,2018,2022,9,45,890,1.45,2.07,2.07
NUCLEAR BWR               1000 Plus,2018,2022,18,82,1197,1.47,2.11,2.11
JET ENGINE                All Sizes,2018,2022,218,967.17,40,36.74,39.99,9.19
JET ENGINE                  001-019,2018,2022,26,107,14,65.46,65.57,18.92
JET ENGINE                  20 Plus,2018,2022,192,860.17,44,35.29,38.76,9.07
GAS TURBINE               All Sizes,2018,2022,663,2802.42,68,44.82,46.51,10.5
GAS TURBINE                 001-019,2018,2022,94,365,15,83.15,83.47,17.56
GAS TURBINE                 020-049,2018,2022,133,545,30,56.47,57.3,11.15
GAS TURBINE                 50 Plus,2018,2022,436,1892.42,89,35.96,38.22,9.49
COMBINED CYCLE            All Sizes,2018,2022,330,1456.25,313,4.83,5.76,4.43
HYDRO                     All Sizes,2018,2022,903,4391,68,10.1,10.26,8.57
HYDRO                       001-029,2018,2022,333,1614,12,17.42,17.69,15.65
HYDRO                       30 Plus,2018,2022,570,2777,100,5.52,5.61,4.56
PUMPED STORAGE            All Sizes,2018,2022,111,530,132,10.31,10.38,7.04
MULTIBOILER/MULTI-TURBINE All Sizes,2018,2022,21,91,319,9.02,18,13.66
GEOTHERMAL                All Sizes,2018,2022,48,191.42,36,4.28,4.97,4.97
DIESEL                    All Sizes,2018,2022,216,775.17,11,15.2,16.55,6.12
