iso,zone,plant_class,driver,threshold,floor_pct,enabled,commit_frac,min_stable_pct,rho,n,baseline,baseline_commit,threshold_basis,start_hour,end_hour,threshold_percentile
MISO,MISO-Illinois,COAL,tmax,32.8,0.3633,False,0.9082,0.4,0.1226,59,0.6983,0.8723,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-Illinois,COAL,tmin,-17.13,0.3666,False,0.9166,0.4,0.1007,11,0.7024,0.8738,cold: zone p1 tmin (design heating day),,,
MISO,MISO-Indiana,CC_REGULAR,tmax,32.2,0.5158,False,0.992,0.52,0.294,66,0.7514,0.8615,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-Indiana,CC_REGULAR,tmin,-16.6,0.49,False,0.9424,0.52,-0.5994,10,0.758,0.8687,cold: zone p1 tmin (design heating day),,,
MISO,MISO-Indiana,COAL,tmax,32.2,0.3741,True,0.9353,0.4,0.3743,66,0.4458,0.8937,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-Indiana,COAL,tmin,-16.6,0.3748,False,0.937,0.4,-0.159,10,0.451,0.8959,cold: zone p1 tmin (design heating day),,,
MISO,MISO-Plains,COAL,tmax,33.35,0.3574,False,0.8935,0.4,-0.1062,57,0.5056,0.7547,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-Plains,COAL,tmin,-17.43,0.3674,False,0.9186,0.4,-0.2551,11,0.5137,0.7603,cold: zone p1 tmin (design heating day),,,
MISO,MISO-South,CT_CHP,tmax,35.95,0.1383,False,0.3639,0.38,-0.063,55,0.5496,0.3639,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-South,CT_CHP,tmin,-6.06,0.1383,False,0.3639,0.38,0.1636,11,0.5473,0.3639,cold: zone p1 tmin (design heating day),,,
MISO,MISO-South,COAL,tmax,35.95,0.3877,True,0.9692,0.4,0.3683,55,0.4406,0.7553,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-South,COAL,tmin,-6.06,0.3882,False,0.9706,0.4,0.3475,11,0.4518,0.7639,cold: zone p1 tmin (design heating day),,,
MISO,MISO-South,ST_CHP,tmax,35.95,0.0818,False,0.6818,0.12,0.187,55,0.9522,0.5007,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-South,ST_CHP,tmin,-6.06,0.0919,False,0.7658,0.12,,11,0.9532,0.5072,cold: zone p1 tmin (design heating day),,,
MISO,MISO-South,CC_REGULAR,tmax,35.95,0.4952,False,0.9523,0.52,-0.2132,55,0.5294,0.8176,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-South,CC_REGULAR,tmin,-6.06,0.481,False,0.9251,0.52,0.0,11,0.5368,0.8233,cold: zone p1 tmin (design heating day),,,
MISO,MISO-East,COAL,tmax,30.44,0.3886,False,0.9714,0.4,0.288,58,0.58,0.9472,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-East,COAL,tmin,-16.03,0.3976,False,0.9941,0.4,0.2,11,0.5872,0.948,cold: zone p1 tmin (design heating day),,,
MISO,MISO-West,COAL,tmax,31.7,0.3731,False,0.9328,0.4,-0.1446,64,0.6116,0.8843,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-West,COAL,tmin,-22.13,0.3885,False,0.9712,0.4,0.7817,11,0.6164,0.8863,cold: zone p1 tmin (design heating day),,,
MISO,MISO-West,CC_REGULAR,tmax,31.7,0.4492,False,0.8638,0.52,0.0236,64,0.5257,0.7323,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-West,CC_REGULAR,tmin,-22.13,0.381,False,0.7326,0.52,0.0,11,0.5387,0.7403,cold: zone p1 tmin (design heating day),,,
MISO,MISO-West,ST_CHP,tmax,31.7,0.011,False,0.0916,0.12,0.3131,6,0.0113,0.0916,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-East,CC_REGULAR,tmax,30.44,0.4543,False,0.8737,0.52,0.0664,58,0.7535,0.7873,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-East,CC_REGULAR,tmin,-16.03,0.4324,False,0.8316,0.52,-0.0273,11,0.7619,0.7915,cold: zone p1 tmin (design heating day),,,
MISO,MISO-Plains,CC_REGULAR,tmax,33.35,0.5035,False,0.9682,0.52,-0.0417,57,0.5266,0.8387,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-Plains,CC_REGULAR,tmin,-17.43,0.4503,False,0.866,0.52,-0.5558,11,0.5358,0.8457,cold: zone p1 tmin (design heating day),,,
MISO,MISO-East,CC_CHP,tmax,30.44,0.4934,False,0.9489,0.52,0.1107,58,0.6835,0.9281,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-East,CC_CHP,tmin,-16.03,0.4929,False,0.9479,0.52,0.1091,11,0.6853,0.929,cold: zone p1 tmin (design heating day),,,
MISO,MISO-East,CT_CHP,tmax,30.44,0.2512,False,0.6611,0.38,-0.0593,58,0.9216,0.6222,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-East,CT_CHP,tmin,-16.03,0.2278,False,0.5993,0.38,,11,0.9244,0.6245,cold: zone p1 tmin (design heating day),,,
MISO,MISO-Indiana,ST_CHP,tmax,32.2,0.0182,False,0.1513,0.12,-0.1076,64,0.2008,0.1513,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-South,CC_CHP,tmax,35.95,0.3798,False,0.7305,0.52,-0.0855,55,0.6484,0.719,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-South,CC_CHP,tmin,-6.06,0.3698,False,0.7112,0.52,0.2091,11,0.6484,0.7196,cold: zone p1 tmin (design heating day),,,
MISO,MISO-West,CC_CHP,tmax,31.7,0.4338,False,0.8342,0.52,0.0608,46,0.4858,0.8342,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-West,CC_CHP,tmin,-22.13,0.4338,False,0.8342,0.52,-0.8,5,0.4893,0.8342,cold: zone p1 tmin (design heating day),,,
MISO,MISO-Indiana,CT_CHP,tmax,32.2,0.1869,False,0.4919,0.38,-0.0831,66,0.4726,0.3677,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-Indiana,CT_CHP,tmin,-16.6,0.1186,False,0.3121,0.38,-0.6116,10,0.4797,0.3758,cold: zone p1 tmin (design heating day),,,
MISO,MISO-Indiana,CC_CHP,tmax,32.2,0.52,False,1.0,0.52,0.0813,66,0.5012,1.0,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-Indiana,CC_CHP,tmin,-16.6,0.52,False,1.0,0.52,-0.0367,10,0.5016,1.0,cold: zone p1 tmin (design heating day),,,
MISO,MISO-Illinois,CC_REGULAR,tmax,32.8,0.52,False,1.0,0.52,0.1585,39,0.6683,1.0,hot: zone p95 tmax (design cooling day),,,
MISO,MISO-Illinois,CC_REGULAR,tmin,-17.13,0.52,False,1.0,0.52,0.866,3,0.666,1.0,cold: zone p1 tmin (design heating day),,,
MISO,MISO-East,ST_GAS,tmax,30.44,0.0023,False,0.0191,0.12,0.1346,58,0.0196,0.106,hot: zone p95 tmax (design cooling day); window h0-6,0,6,
MISO,MISO-East,ST_GAS,tmin,-16.04,0.0174,False,0.1446,0.12,-0.1455,11,0.0185,0.1009,cold: zone p1 tmin (design heating day); window h0-6,0,6,
MISO,MISO-East,ST_GAS,netload,78.52,0.0031,False,0.026,0.12,0.0506,329,0.0247,0.1338,netload: MISO system p70 daily-peak net-load (demand-VRE) GW; window h0-6,0,6,70
MISO,MISO-Illinois,ST_GAS,tmax,32.2,0.0,False,0.0,0.12,,21,0.0,0.0,hot: zone p95 tmax (design cooling day); window h0-6,0,6,
MISO,MISO-Illinois,ST_GAS,tmin,-12.89,0.0,False,0.0,0.12,,4,0.0,0.0,cold: zone p1 tmin (design heating day); window h0-6,0,6,
MISO,MISO-Illinois,ST_GAS,netload,76.8,0.0,False,0.0,0.12,,110,0.0,0.0,netload: MISO system p70 daily-peak net-load (demand-VRE) GW; window h0-6,0,6,70
MISO,MISO-Indiana,ST_GAS,tmax,32.2,0.1122,True,0.9346,0.12,0.4048,66,0.091,0.3015,hot: zone p95 tmax (design cooling day); window h0-6,0,6,
MISO,MISO-Indiana,ST_GAS,tmin,-16.6,0.0238,False,0.1987,0.12,0.5238,10,0.1037,0.3409,cold: zone p1 tmin (design heating day); window h0-6,0,6,
MISO,MISO-Indiana,ST_GAS,netload,78.52,0.0646,True,0.5381,0.12,0.3445,329,0.081,0.2544,netload: MISO system p70 daily-peak net-load (demand-VRE) GW; window h0-6,0,6,70
MISO,MISO-Plains,ST_GAS,tmax,33.35,0.0778,True,0.6486,0.12,0.3014,57,0.2212,0.6366,hot: zone p95 tmax (design cooling day); window h0-6,0,6,
MISO,MISO-Plains,ST_GAS,tmin,-17.44,0.0945,False,0.7872,0.12,0.3196,11,0.2222,0.6357,cold: zone p1 tmin (design heating day); window h0-6,0,6,
MISO,MISO-Plains,ST_GAS,netload,78.52,0.078,False,0.6498,0.12,0.1485,329,0.2202,0.6318,netload: MISO system p70 daily-peak net-load (demand-VRE) GW; window h0-6,0,6,70
MISO,MISO-South,ST_GAS,tmax,35.95,0.0923,False,0.7689,0.12,-0.0489,55,0.1125,0.5125,hot: zone p95 tmax (design cooling day); window h0-6,0,6,
MISO,MISO-South,ST_GAS,tmin,-6.06,0.0971,False,0.8092,0.12,0.5727,11,0.114,0.5225,cold: zone p1 tmin (design heating day); window h0-6,0,6,
