iso,zone,plant_class,driver,threshold,floor_pct,enabled,commit_frac,min_stable_pct,rho,n,baseline,baseline_commit,threshold_basis,r1_disabled
PJM,PJM_AEP_Ohio,CT_PEAKER,tmax,32.2,0.3106,False,0.8172,0.38,0.1671,67,0.115,0.5521,hot: zone p95 tmax (design cooling day),False
PJM,PJM_EMAAC,ST_GAS,tmax,33.3,0.0933,True,0.7775,0.12,0.5176,54,0.0673,0.5351,hot: zone p95 tmax (design cooling day),False
PJM,PJM_EMAAC,ST_GAS,tmin,-12.0,0.12,False,1.0,0.12,-1.0,2,0.0852,0.5736,cold: PJM Manual 13 Cold Weather Alert (tmin<=10F/-12C),False
PJM,PJM_SWMAAC,COAL,tmax,33.66,0.4,False,1.0,0.4,0.1943,58,0.3186,1.0,hot: zone p95 tmax (design cooling day),False
PJM,PJM_ComEd,COAL,tmax,32.8,0.3833,True,0.9583,0.4,0.3956,58,0.2981,0.755,hot: zone p95 tmax (design cooling day),False
PJM,PJM_ComEd,COAL,tmin,-12.0,0.3823,True,0.9558,0.4,0.4603,38,0.2988,0.761,cold: PJM Manual 13 Cold Weather Alert (tmin<=10F/-12C),False
PJM,PJM_ComEd,CT_PEAKER,tmax,32.8,0.2315,False,0.6092,0.38,0.054,59,0.0562,0.2573,hot: zone p95 tmax (design cooling day),False
PJM,PJM_ComEd,CT_PEAKER,tmin,-20.5,0.1659,False,0.4367,0.38,-0.7379,4,0.0653,0.2817,cold: PJM Manual 13 CT-mobilization tier (tmin<=-5F/-20.5C),False
PJM,PJM_AEP_Ohio,COAL,tmax,32.2,0.3808,False,0.9519,0.4,-0.0136,67,0.4926,0.8388,hot: zone p95 tmax (design cooling day),False
PJM,PJM_AEP_Ohio,COAL,tmin,-12.0,0.3922,False,0.9804,0.4,0.2881,17,0.4983,0.8436,cold: PJM Manual 13 Cold Weather Alert (tmin<=10F/-12C),False
PJM,PJM_AEP_Ohio,ST_GAS,tmax,32.2,0.1102,False,0.9187,0.12,-0.0156,63,0.6033,0.9187,hot: zone p95 tmax (design cooling day),False
PJM,PJM_AEP_Ohio,ST_GAS,tmin,-12.0,0.1102,False,0.9187,0.12,0.0777,17,0.6113,0.9187,cold: PJM Manual 13 Cold Weather Alert (tmin<=10F/-12C),False
PJM,PJM_SWMAAC,CT_PEAKER,tmax,33.66,0.3333,False,0.877,0.38,0.207,58,0.125,0.3273,hot: zone p95 tmax (design cooling day),False
