GMT MKT Interval, Coal Market, Coal Self, Diesel Fuel Oil Market, Diesel Fuel Oil Self, Hydro Market, Hydro Self, Natural Gas Market, Gas Self, Nuclear Market, Nuclear Self, Solar Market, Solar Self, Waste Disposal Services Market, Waste Disposal Services Self, Wind Market, Wind Self, Waste Heat Market, Waste Heat Self, Other Market, Other Self, Load
2019-01-01T06:00:00Z,405.90,9523.50,0.00,0.00,41.10,577.10,2982.50,934.00,0.00,2034.90,0.00,0.00,0.00,12.60,0.00,14228.60,0.00,0.00,0.00,33.10,30035.759
2019-01-01T06:05:00Z,401.50,9430.00,0.00,0.00,41.50,578.80,2979.50,899.60,0.00,2034.50,0.00,0.00,0.00,12.80,0.00,14215.00,0.00,0.00,0.00,33.10,29946.144
2019-01-01T06:10:00Z,406.20,9413.60,0.00,0.00,41.10,577.70,3034.60,875.50,0.00,2035.00,0.00,0.00,0.00,12.90,0.00,14109.80,0.00,0.00,0.00,33.50,30011.738
2019-01-01T06:15:00Z,398.70,9305.70,0.00,0.00,41.30,579.70,2948.70,855.00,0.00,2035.00,0.00,0.00,0.00,12.60,0.00,14220.70,0.00,0.00,0.00,33.30,30422.144
2019-01-01T06:20:00Z,394.20,9280.20,0.00,0.00,41.30,578.60,2925.80,854.70,0.00,2034.60,0.00,0.00,0.00,12.60,0.00,14237.40,0.00,0.00,0.00,32.70,30385.553
2019-01-01T06:25:00Z,391.40,9279.70,0.00,0.00,41.10,577.30,2932.90,853.10,0.00,2035.00,0.00,0.00,0.00,12.60,0.00,14524.80,0.00,0.00,0.00,32.30,30360.175
2019-01-01T06:30:00Z,391.90,9265.20,0.00,0.00,41.10,578.90,2902.50,854.30,0.00,2035.00,0.00,0.00,0.00,12.70,0.00,14424.50,0.00,0.00,0.00,32.10,30354.291
2019-01-01T06:35:00Z,389.30,9275.70,0.00,0.00,41.00,577.00,2861.60,853.90,0.00,2035.50,0.00,0.00,0.00,12.60,0.00,14475.20,0.00,0.00,0.00,32.40,30260.375
2019-01-01T06:40:00Z,386.80,9170.40,0.00,0.00,41.20,578.60,2889.90,854.50,0.00,2035.00,0.00,0.00,0.00,12.60,0.00,14476.10,0.00,0.00,0.00,32.50,30234.779
2019-01-01T06:45:00Z,385.50,9256.80,0.00,0.00,41.30,578.90,2875.90,855.00,0.00,2035.00,0.00,0.00,0.00,12.60,0.00,14375.40,0.00,0.00,0.00,33.10,30321.609
2019-01-01T06:50:00Z,382.50,9140.80,0.00,0.00,41.10,577.40,2898.10,855.40,0.00,2035.00,0.00,0.00,0.00,12.60,0.00,14488.10,0.00,0.00,0.00,32.90,30336.745
2019-01-01T06:55:00Z,381.10,9078.80,0.00,0.00,41.20,578.80,2945.70,855.20,0.00,2035.00,0.00,0.00,0.00,12.60,0.00,14634.60,0.00,0.00,0.00,32.50,30362.224
