MarketHour, CSWS, EDE, GRDA, INDN, KACY, KCPL, LES, MPS, NPPD, OKGE, OPPD, SECI, SPRM, SPS, WAUE, WFEC, WR
10/01/2023 06:00:00,4811.904,442.872,813.781,112.207,255.439,1711.723,394.743,955.468,1269.354,3755.221,1583.298,663.706,316.375,3611.437,3686.581,1104.311,3456.686
10/01/2023 07:00:00,4552.584,418.524,795.402,102.721,242.391,1602.359,371.990,888.384,1589.677,3565.129,1511.180,645.301,302.145,3562.066,3604.876,1053.165,3272.726
10/01/2023 08:00:00,4347.733,404.455,780.881,95.498,232.206,1508.791,355.182,843.938,1538.343,3420.360,1461.544,624.993,294.427,3502.738,3571.562,1015.720,3133.837
10/01/2023 09:00:00,4203.804,394.544,762.913,90.445,225.963,1444.276,343.928,811.931,1514.894,3281.117,1423.144,622.893,288.964,3468.744,3541.815,985.773,3036.686
10/01/2023 10:00:00,4124.080,389.556,759.945,86.932,221.977,1406.636,335.885,791.708,1488.758,3199.544,1391.986,613.209,284.623,3455.087,3527.564,963.907,2967.572
10/01/2023 11:00:00,4077.395,396.343,744.855,85.982,221.777,1398.500,332.798,786.114,1460.447,3179.096,1377.812,604.016,284.185,3440.284,3525.134,949.971,2934.790
10/01/2023 12:00:00,4103.579,405.818,768.456,87.073,222.276,1417.833,338.244,795.321,1473.008,3165.773,1383.652,610.639,290.618,3412.564,3543.301,958.620,2971.634
10/01/2023 13:00:00,4163.177,414.715,738.185,88.533,218.053,1434.089,344.149,820.397,1502.425,3179.373,1391.222,609.691,292.573,3406.587,3596.798,986.191,2986.297
10/01/2023 14:00:00,4412.619,442.492,758.046,95.549,229.398,1536.970,370.807,872.425,1572.237,3351.825,1467.974,622.403,312.249,3425.612,3715.962,1064.014,3170.113
10/01/2023 15:00:00,4817.864,485.052,790.350,106.949,248.542,1693.172,415.317,954.234,1678.132,3661.587,1594.632,668.519,342.182,3514.643,3874.471,1153.439,3466.914
10/01/2023 16:00:00,5326.782,537.092,825.047,122.728,273.983,1859.505,463.173,1051.521,1794.694,4016.433,1733.512,697.097,376.081,3616.166,4010.281,1233.843,3805.002
10/01/2023 17:00:00,5891.477,593.011,865.305,141.088,298.711,2066.023,508.067,1184.791,1930.593,4374.657,1873.439,721.163,416.397,3729.548,4120.356,1315.890,4166.548
10/01/2023 18:00:00,6438.007,655.749,933.260,161.517,322.498,2267.697,544.836,1305.946,2036.653,4714.892,2011.669,741.168,459.760,3828.469,4250.620,1393.895,4503.198
10/01/2023 19:00:00,6872.079,702.818,958.850,178.421,339.714,2452.321,570.769,1419.503,2097.633,4968.152,2126.117,763.171,492.896,3910.007,4383.966,1453.329,4772.835
10/01/2023 20:00:00,7123.768,731.013,984.742,186.934,351.789,2581.618,586.749,1494.573,2117.410,5095.750,2190.702,786.233,503.104,3971.715,4424.426,1483.848,4942.713
10/01/2023 21:00:00,7262.086,745.915,998.390,197.301,359.270,2671.992,596.317,1542.639,2148.819,5250.364,2234.794,794.933,501.294,4047.533,4455.326,1506.125,5060.763
10/01/2023 22:00:00,7282.815,748.627,974.007,202.958,361.485,2725.322,600.163,1561.254,2165.874,5236.499,2251.435,802.814,502.870,4100.588,4484.973,1508.063,5129.913
