Interval,GMTIntervalEnd,Reserve Zone,RegUP,RegDN,Spin,Supp,RampUP,RampDN,UncUP
08/12/2025 01:00:00,08/12/2025 06:00:00,1,6.2262,2.2299,0.0112,0.0112,0.0000,0.0000,0.0000
08/12/2025 01:00:00,08/12/2025 06:00:00,2,6.2262,2.2299,0.0112,0.0112,0.0000,0.0000,0.0000
08/12/2025 01:00:00,08/12/2025 06:00:00,3,6.2262,2.2299,0.0112,0.0112,0.0000,0.0000,0.0000
08/12/2025 01:00:00,08/12/2025 06:00:00,4,6.2262,2.2299,0.0112,0.0112,0.0000,0.0000,0.0000
08/12/2025 01:00:00,08/12/2025 06:00:00,5,6.2262,2.2299,0.0112,0.0112,0.0000,0.0000,0.0000
08/12/2025 01:00:00,08/12/2025 06:00:00,SPP,6.2262,2.2299,0.0112,0.0112,0.0000,0.0000,0.0000
08/12/2025 02:00:00,08/12/2025 07:00:00,1,4.0037,2.2269,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 02:00:00,08/12/2025 07:00:00,2,4.0037,2.2269,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 02:00:00,08/12/2025 07:00:00,3,4.0037,2.2269,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 02:00:00,08/12/2025 07:00:00,4,4.0037,2.2269,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 02:00:00,08/12/2025 07:00:00,5,4.0037,2.2269,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 02:00:00,08/12/2025 07:00:00,SPP,4.0037,2.2269,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 03:00:00,08/12/2025 08:00:00,1,3.9419,2.0732,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 03:00:00,08/12/2025 08:00:00,2,3.9419,2.0732,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 03:00:00,08/12/2025 08:00:00,3,3.9419,2.0732,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 03:00:00,08/12/2025 08:00:00,4,3.9419,2.0732,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 03:00:00,08/12/2025 08:00:00,5,3.9419,2.0732,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 03:00:00,08/12/2025 08:00:00,SPP,3.9419,2.0732,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 04:00:00,08/12/2025 09:00:00,1,3.6206,2.0703,0.0001,0.0001,0.0000,0.0000,0.0000
08/12/2025 04:00:00,08/12/2025 09:00:00,2,3.6206,2.0703,0.0001,0.0001,0.0000,0.0000,0.0000
08/12/2025 04:00:00,08/12/2025 09:00:00,3,3.6206,2.0703,0.0001,0.0001,0.0000,0.0000,0.0000
08/12/2025 04:00:00,08/12/2025 09:00:00,4,3.6206,2.0703,0.0001,0.0001,0.0000,0.0000,0.0000
08/12/2025 04:00:00,08/12/2025 09:00:00,5,3.6206,2.0703,0.0001,0.0001,0.0000,0.0000,0.0000
08/12/2025 04:00:00,08/12/2025 09:00:00,SPP,3.6206,2.0703,0.0001,0.0001,0.0000,0.0000,0.0000
08/12/2025 05:00:00,08/12/2025 10:00:00,1,4.2296,2.0700,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 05:00:00,08/12/2025 10:00:00,2,4.2296,2.0700,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 05:00:00,08/12/2025 10:00:00,3,4.2296,2.0700,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 05:00:00,08/12/2025 10:00:00,4,4.2296,2.0700,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 05:00:00,08/12/2025 10:00:00,5,4.2296,2.0700,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 05:00:00,08/12/2025 10:00:00,SPP,4.2296,2.0700,0.0101,0.0101,0.0000,0.0000,0.0000
08/12/2025 06:00:00,08/12/2025 11:00:00,1,4.7656,1.5991,0.0101,0.0101,0.0100,0.0000,0.0000
08/12/2025 06:00:00,08/12/2025 11:00:00,2,4.7656,1.5991,0.0101,0.0101,0.0100,0.0000,0.0000
08/12/2025 06:00:00,08/12/2025 11:00:00,3,4.7656,1.5991,0.0101,0.0101,0.0100,0.0000,0.0000
08/12/2025 06:00:00,08/12/2025 11:00:00,4,4.7656,1.5991,0.0101,0.0101,0.0100,0.0000,0.0000
08/12/2025 06:00:00,08/12/2025 11:00:00,5,4.7656,1.5991,0.0101,0.0101,0.0100,0.0000,0.0000
08/12/2025 06:00:00,08/12/2025 11:00:00,SPP,4.7656,1.5991,0.0101,0.0101,0.0100,0.0000,0.0000
08/12/2025 07:00:00,08/12/2025 12:00:00,1,7.4912,1.8962,0.6702,0.6701,0.6701,0.0000,0.0000
08/12/2025 07:00:00,08/12/2025 12:00:00,2,7.4912,1.8962,0.6702,0.6701,0.6701,0.0000,0.0000
08/12/2025 07:00:00,08/12/2025 12:00:00,3,7.4912,1.8962,0.6702,0.6701,0.6701,0.0000,0.0000
08/12/2025 07:00:00,08/12/2025 12:00:00,4,7.4912,1.8962,0.6702,0.6701,0.6701,0.0000,0.0000
08/12/2025 07:00:00,08/12/2025 12:00:00,5,7.4912,1.8962,0.6702,0.6701,0.6701,0.0000,0.0000
08/12/2025 07:00:00,08/12/2025 12:00:00,SPP,7.4912,1.8962,0.6702,0.6701,0.6701,0.0000,0.0000
08/12/2025 08:00:00,08/12/2025 13:00:00,1,8.6664,1.3554,0.6701,0.6701,0.6701,0.0000,0.0000
08/12/2025 08:00:00,08/12/2025 13:00:00,2,8.6664,1.3554,0.6701,0.6701,0.6701,0.0000,0.0000
08/12/2025 08:00:00,08/12/2025 13:00:00,3,8.6664,1.3554,0.6701,0.6701,0.6701,0.0000,0.0000
08/12/2025 08:00:00,08/12/2025 13:00:00,4,8.6664,1.3554,0.6701,0.6701,0.6701,0.0000,0.0000
08/12/2025 08:00:00,08/12/2025 13:00:00,5,8.6664,1.3554,0.6701,0.6701,0.6701,0.0000,0.0000
08/12/2025 08:00:00,08/12/2025 13:00:00,SPP,8.6664,1.3554,0.6701,0.6701,0.6701,0.0000,0.0000
08/12/2025 09:00:00,08/12/2025 14:00:00,1,15.7585,0.7552,12.1528,0.7500,13.0000,0.0000,2.0000
08/12/2025 09:00:00,08/12/2025 14:00:00,2,15.7585,0.7552,12.1528,0.7500,13.0000,0.0000,2.0000
08/12/2025 09:00:00,08/12/2025 14:00:00,3,15.7585,0.7552,12.1528,0.7500,13.0000,0.0000,2.0000
08/12/2025 09:00:00,08/12/2025 14:00:00,4,15.7585,0.7552,12.1528,0.7500,13.0000,0.0000,2.0000
08/12/2025 09:00:00,08/12/2025 14:00:00,5,15.7585,0.7552,12.1528,0.7500,13.0000,0.0000,2.0000
08/12/2025 09:00:00,08/12/2025 14:00:00,SPP,15.7585,0.7552,12.1528,0.7500,13.0000,0.0000,2.0000
08/12/2025 10:00:00,08/12/2025 15:00:00,1,14.3048,0.9322,10.0000,1.0001,10.0000,0.0000,2.0000
08/12/2025 10:00:00,08/12/2025 15:00:00,2,14.3048,0.9322,10.0000,1.0001,10.0000,0.0000,2.0000
08/12/2025 10:00:00,08/12/2025 15:00:00,3,14.3048,0.9322,10.0000,1.0001,10.0000,0.0000,2.0000
08/12/2025 10:00:00,08/12/2025 15:00:00,4,14.3048,0.9322,10.0000,1.0001,10.0000,0.0000,2.0000
08/12/2025 10:00:00,08/12/2025 15:00:00,5,14.3048,0.9322,10.0000,1.0001,10.0000,0.0000,2.0000
08/12/2025 10:00:00,08/12/2025 15:00:00,SPP,14.3048,0.9322,10.0000,1.0001,10.0000,0.0000,2.0000
08/12/2025 11:00:00,08/12/2025 16:00:00,1,13.3106,0.8806,8.2451,1.0001,8.2450,0.0000,2.0000
08/12/2025 11:00:00,08/12/2025 16:00:00,2,13.3106,0.8806,8.2451,1.0001,8.2450,0.0000,2.0000
08/12/2025 11:00:00,08/12/2025 16:00:00,3,13.3106,0.8806,8.2451,1.0001,8.2450,0.0000,2.0000
08/12/2025 11:00:00,08/12/2025 16:00:00,4,13.3106,0.8806,8.2451,1.0001,8.2450,0.0000,2.0000
08/12/2025 11:00:00,08/12/2025 16:00:00,5,13.3106,0.8806,8.2451,1.0001,8.2450,0.0000,2.0000
08/12/2025 11:00:00,08/12/2025 16:00:00,SPP,13.3106,0.8806,8.2451,1.0001,8.2450,0.0000,2.0000
08/12/2025 12:00:00,08/12/2025 17:00:00,1,14.7458,0.6663,8.9632,1.9949,8.9630,0.0000,2.0000
08/12/2025 12:00:00,08/12/2025 17:00:00,2,14.7458,0.6663,8.9632,1.9949,8.9630,0.0000,2.0000
08/12/2025 12:00:00,08/12/2025 17:00:00,3,14.7458,0.6663,8.9632,1.9949,8.9630,0.0000,2.0000
08/12/2025 12:00:00,08/12/2025 17:00:00,4,14.7458,0.6663,8.9632,1.9949,8.9630,0.0000,2.0000
08/12/2025 12:00:00,08/12/2025 17:00:00,5,14.7458,0.6663,8.9632,1.9949,8.9630,0.0000,2.0000
08/12/2025 12:00:00,08/12/2025 17:00:00,SPP,14.7458,0.6663,8.9632,1.9949,8.9630,0.0000,2.0000
08/12/2025 13:00:00,08/12/2025 18:00:00,1,15.5110,1.0952,9.2097,2.0002,9.1996,0.0000,2.0000
08/12/2025 13:00:00,08/12/2025 18:00:00,2,15.5110,1.0952,9.2097,2.0002,9.1996,0.0000,2.0000
08/12/2025 13:00:00,08/12/2025 18:00:00,3,15.5110,1.0952,9.2097,2.0002,9.1996,0.0000,2.0000
08/12/2025 13:00:00,08/12/2025 18:00:00,4,15.5110,1.0952,9.2097,2.0002,9.1996,0.0000,2.0000
08/12/2025 13:00:00,08/12/2025 18:00:00,5,15.5110,1.0952,9.2097,2.0002,9.1996,0.0000,2.0000
08/12/2025 13:00:00,08/12/2025 18:00:00,SPP,15.5110,1.0952,9.2097,2.0002,9.1996,0.0000,2.0000
08/12/2025 14:00:00,08/12/2025 19:00:00,1,19.9022,1.0745,14.1103,4.9900,13.0000,0.0000,4.9899
08/12/2025 14:00:00,08/12/2025 19:00:00,2,19.9022,1.0745,14.1103,4.9900,13.0000,0.0000,4.9899
08/12/2025 14:00:00,08/12/2025 19:00:00,3,19.9022,1.0745,14.1103,4.9900,13.0000,0.0000,4.9899
08/12/2025 14:00:00,08/12/2025 19:00:00,4,19.9022,1.0745,14.1103,4.9900,13.0000,0.0000,4.9899
08/12/2025 14:00:00,08/12/2025 19:00:00,5,19.9022,1.0745,14.1103,4.9900,13.0000,0.0000,4.9899
08/12/2025 14:00:00,08/12/2025 19:00:00,SPP,19.9022,1.0745,14.1103,4.9900,13.0000,0.0000,4.9899
08/12/2025 15:00:00,08/12/2025 20:00:00,1,26.5639,1.3032,21.7282,9.9902,20.0000,0.0000,10.0000
08/12/2025 15:00:00,08/12/2025 20:00:00,2,26.5639,1.3032,21.7282,9.9902,20.0000,0.0000,10.0000
08/12/2025 15:00:00,08/12/2025 20:00:00,3,26.5639,1.3032,21.7282,9.9902,20.0000,0.0000,10.0000
08/12/2025 15:00:00,08/12/2025 20:00:00,4,26.5639,1.3032,21.7282,9.9902,20.0000,0.0000,10.0000
08/12/2025 15:00:00,08/12/2025 20:00:00,5,26.5639,1.3032,21.7282,9.9902,20.0000,0.0000,10.0000
08/12/2025 15:00:00,08/12/2025 20:00:00,SPP,26.5639,1.3032,21.7282,9.9902,20.0000,0.0000,10.0000
08/12/2025 16:00:00,08/12/2025 21:00:00,1,27.4683,0.6208,21.2607,4.9900,20.0000,0.0000,2.0000
08/12/2025 16:00:00,08/12/2025 21:00:00,2,27.4683,0.6208,21.2607,4.9900,20.0000,0.0000,2.0000
08/12/2025 16:00:00,08/12/2025 21:00:00,3,27.4683,0.6208,21.2607,4.9900,20.0000,0.0000,2.0000
08/12/2025 16:00:00,08/12/2025 21:00:00,4,27.4683,0.6208,21.2607,4.9900,20.0000,0.0000,2.0000
08/12/2025 16:00:00,08/12/2025 21:00:00,5,27.4683,0.6208,21.2607,4.9900,20.0000,0.0000,2.0000
08/12/2025 16:00:00,08/12/2025 21:00:00,SPP,27.4683,0.6208,21.2607,4.9900,20.0000,0.0000,2.0000
08/12/2025 17:00:00,08/12/2025 22:00:00,1,34.6597,0.4976,28.2230,9.5000,26.0000,0.0000,0.0000
08/12/2025 17:00:00,08/12/2025 22:00:00,2,34.6597,0.4976,28.2230,9.5000,26.0000,0.0000,0.0000
08/12/2025 17:00:00,08/12/2025 22:00:00,3,34.6597,0.4976,28.2230,9.5000,26.0000,0.0000,0.0000
08/12/2025 17:00:00,08/12/2025 22:00:00,4,34.6597,0.4976,28.2230,9.5000,26.0000,0.0000,0.0000
08/12/2025 17:00:00,08/12/2025 22:00:00,5,34.6597,0.4976,28.2230,9.5000,26.0000,0.0000,0.0000
08/12/2025 17:00:00,08/12/2025 22:00:00,SPP,34.6597,0.4976,28.2230,9.5000,26.0000,0.0000,0.0000
08/12/2025 18:00:00,08/12/2025 23:00:00,1,37.3726,0.5962,29.5318,26.0214,26.0000,0.0000,2.0000
08/12/2025 18:00:00,08/12/2025 23:00:00,2,37.3726,0.5962,29.5318,26.0214,26.0000,0.0000,2.0000
08/12/2025 18:00:00,08/12/2025 23:00:00,3,37.3726,0.5962,29.5318,26.0214,26.0000,0.0000,2.0000
08/12/2025 18:00:00,08/12/2025 23:00:00,4,37.3726,0.5962,29.5318,26.0214,26.0000,0.0000,2.0000
08/12/2025 18:00:00,08/12/2025 23:00:00,5,37.3726,0.5962,29.5318,26.0214,26.0000,0.0000,2.0000
08/12/2025 18:00:00,08/12/2025 23:00:00,SPP,37.3726,0.5962,29.5318,26.0214,26.0000,0.0000,2.0000
08/12/2025 19:00:00,08/13/2025 00:00:00,1,34.5491,0.5288,27.2426,9.5000,5.6276,0.0000,0.0000
08/12/2025 19:00:00,08/13/2025 00:00:00,2,34.5491,0.5288,27.2426,9.5000,5.6276,0.0000,0.0000
08/12/2025 19:00:00,08/13/2025 00:00:00,3,34.5491,0.5288,27.2426,9.5000,5.6276,0.0000,0.0000
08/12/2025 19:00:00,08/13/2025 00:00:00,4,34.5491,0.5288,27.2426,9.5000,5.6276,0.0000,0.0000
08/12/2025 19:00:00,08/13/2025 00:00:00,5,34.5491,0.5288,27.2426,9.5000,5.6276,0.0000,0.0000
08/12/2025 19:00:00,08/13/2025 00:00:00,SPP,34.5491,0.5288,27.2426,9.5000,5.6276,0.0000,0.0000
08/12/2025 20:00:00,08/13/2025 01:00:00,1,25.6536,1.7472,17.7595,9.5000,0.0000,0.0000,0.0000
08/12/2025 20:00:00,08/13/2025 01:00:00,2,25.6536,1.7472,17.7595,9.5000,0.0000,0.0000,0.0000
08/12/2025 20:00:00,08/13/2025 01:00:00,3,25.6536,1.7472,17.7595,9.5000,0.0000,0.0000,0.0000
08/12/2025 20:00:00,08/13/2025 01:00:00,4,25.6536,1.7472,17.7595,9.5000,0.0000,0.0000,0.0000
08/12/2025 20:00:00,08/13/2025 01:00:00,5,25.6536,1.7472,17.7595,9.5000,0.0000,0.0000,0.0000
08/12/2025 20:00:00,08/13/2025 01:00:00,SPP,25.6536,1.7472,17.7595,9.5000,0.0000,0.0000,0.0000
08/12/2025 21:00:00,08/13/2025 02:00:00,1,12.6698,2.0905,5.8553,4.9900,0.0000,0.0000,0.0000
08/12/2025 21:00:00,08/13/2025 02:00:00,2,12.6698,2.0905,5.8553,4.9900,0.0000,0.0000,0.0000
08/12/2025 21:00:00,08/13/2025 02:00:00,3,12.6698,2.0905,5.8553,4.9900,0.0000,0.0000,0.0000
08/12/2025 21:00:00,08/13/2025 02:00:00,4,12.6698,2.0905,5.8553,4.9900,0.0000,0.0000,0.0000
08/12/2025 21:00:00,08/13/2025 02:00:00,5,12.6698,2.0905,5.8553,4.9900,0.0000,0.0000,0.0000
08/12/2025 21:00:00,08/13/2025 02:00:00,SPP,12.6698,2.0905,5.8553,4.9900,0.0000,0.0000,0.0000
08/12/2025 22:00:00,08/13/2025 03:00:00,1,9.3791,2.0938,2.9776,2.4755,0.0000,0.0000,0.0000
08/12/2025 22:00:00,08/13/2025 03:00:00,2,9.3791,2.0938,2.9776,2.4755,0.0000,0.0000,0.0000
08/12/2025 22:00:00,08/13/2025 03:00:00,3,9.3791,2.0938,2.9776,2.4755,0.0000,0.0000,0.0000
