INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2020-03-31T08:00:00-00:00,2020-03-31T09:00:00-00:00,0,2020-03-31,2,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2282,ACTUAL,1
2020-04-01T03:00:00-00:00,2020-04-01T04:00:00-00:00,0,2020-03-31,21,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2891,ACTUAL,1
2020-03-31T21:00:00-00:00,2020-03-31T22:00:00-00:00,0,2020-03-31,15,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2432,ACTUAL,1
2020-03-31T23:00:00-00:00,2020-04-01T00:00:00-00:00,0,2020-03-31,17,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2682,ACTUAL,1
2020-04-01T02:00:00-00:00,2020-04-01T03:00:00-00:00,0,2020-03-31,20,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2953,ACTUAL,1
2020-04-01T05:00:00-00:00,2020-04-01T06:00:00-00:00,0,2020-03-31,23,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2606,ACTUAL,1
2020-03-31T14:00:00-00:00,2020-03-31T15:00:00-00:00,0,2020-03-31,8,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2523,ACTUAL,1
2020-03-31T15:00:00-00:00,2020-03-31T16:00:00-00:00,0,2020-03-31,9,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2407,ACTUAL,1
2020-03-31T17:00:00-00:00,2020-03-31T18:00:00-00:00,0,2020-03-31,11,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2196,ACTUAL,1
2020-03-31T18:00:00-00:00,2020-03-31T19:00:00-00:00,0,2020-03-31,12,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2188,ACTUAL,1
2020-04-01T00:00:00-00:00,2020-04-01T01:00:00-00:00,0,2020-03-31,18,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2803,ACTUAL,1
2020-03-31T09:00:00-00:00,2020-03-31T10:00:00-00:00,0,2020-03-31,3,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2254,ACTUAL,1
2020-03-31T20:00:00-00:00,2020-03-31T21:00:00-00:00,0,2020-03-31,14,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2326,ACTUAL,1
2020-03-31T22:00:00-00:00,2020-03-31T23:00:00-00:00,0,2020-03-31,16,0,ACTUAL,AZPS,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,7.8,2491,ACTUAL,1
