plant_code,name,mw,flag,e_model,hr,fuel,e_campd,delta
1217,Earl F Wisdom committed,37.5,clean,0.0,19.361984629,2.9241129413174622,7.622,-7.622
1230,Cimarron River committed,52.1,clean,7.897325154316332,12.524107808,2.9241129413174622,60.63,-52.73267484568367
1233,Fort Dodge committed,148.7,clean,29.293598930028082,11.944123118,2.9241129413174622,116.831,-87.53740106997192
1235,Great Bend - Sunflower committed,99.8,clean,11.11369488439858,12.818954904000002,2.9241129413174622,57.751,-46.63730511560142
1270,Clay Center committed,8.0,clean,8.314732554435729,10.3,2.9241129413174622,0.0,8.314732554435729
1271,Coffeyville committed,37.0,clean,3.506202986687422,12.685897359,2.9241129413174622,18.566,-15.059797013312577
1317,Pratt committed,13.0,clean,0.14883374869823457,16.901844762,2.9241129413174622,0.0,0.14883374869823457
1330,Wellington 1 committed,19.5,clean,0.7875591310858725,15.202498811,2.9241129413174622,0.0,0.7875591310858725
1336,Garden City committed,97.3,clean,5.402255096703768,13.422571287,3.00269764973914,58.135,-52.73274490329623
1416,Arsenal Hill committed,110.0,clean,172.62335254818203,7.342522343,2.5711280793468534,203.706,-31.082647451817962
1417,Lieberman committed,208.0,clean,47.9878587744236,11.943373820000003,2.666801744897688,196.914,-148.92614122557637
2226,Canaday committed,99.3,clean,1.9145288203597068,13.287877757,2.9241129413174622,39.616,-37.70147117964029
2291,North Omaha committed,240.0,clean,42.14448465764522,11.133015999,4.46073673132286,154.938,-112.79351534235477
2446,Maddox committed,117.0,fuel_low,685.8836121151149,7.301499957,0.9060219178082192,673.408,12.475612115114927
2454,Cunningham committed,183.0,fuel_low,956.6936452044548,12.399211094,0.9060219178082192,1112.252,-155.55835479554514
2951,Horseshoe Lake committed,377.0,clean,176.91306534731388,11.036559547,2.760495890410959,492.78,-315.8669346526861
2952,Muskogee committed,989.0,fuel_high,349.3220917134583,11.642531422,4.1428,2707.911,-2358.588908286542
2956,Seminole (OK) committed,1521.5,fuel_high,1120.608277807787,11.067813529,3.462857814602058,2450.134,-1329.525722192213
2963,Northeastern committed,434.0,clean,66.36229330098628,12.242684533,3.0389636403467617,1322.912,-1256.5497066990138
2964,Southwestern committed,446.00000000000006,clean,8.238814922213555,12.635544166,3.687126764055509,735.183,-726.9441850777864
2965,Tulsa committed,322.0,clean,2.518724994599819,13.210732939,3.6160452624996,436.543,-434.02427500540017
3008,Mooreland committed,322.0,clean,3.771401421293616,12.843162038,3.612161643835616,131.117,-127.34559857870637
3476,Knox Lee committed,342.0,clean,157.3257689563036,10.639805201,2.982076602831366,342.851,-185.5252310436964
3478,Wilkes committed,883.0,clean,184.8653055060739,11.069528839999998,3.1523174685561925,1262.624,-1077.7586944939262
3482,Jones committed,486.0,fuel_low,2230.0617437126934,10.806421452,1.1567408167850382,1979.235,250.82674371269354
3484,Nichols committed,457.0,clean,1792.8778706099538,11.336833739,1.702878653645677,1841.803,-48.92512939004632
3485,Plant X committed,190.0,fuel_low,1059.8978950446844,10.765273687,0.7893917808219179,850.763,209.1348950446844
3602,Ty Cooke committed,88.0,clean,0.0,18.559128065,2.5711280793468534,0.0,0.0
4940,Riverside (OK) committed,909.0,clean,32.11503092448413,13.541883498999995,3.686217934006149,1330.801,-1298.685969075516
6193,Harrington committed,1018.0000000000002,fuel_low,5818.983468263508,11.323698365,1.4784116960087108,0.0,5818.983468263508
7013,East 12th Street committed,25.8,clean,0.41352884638309484,13.163147948,2.9241129413174622,7.177,-6.763471153616905
