iso,year,plant_code,state,month,own,ref,ref_prov,kind
MISO,2025,170,AR,1,13.852,5.994208494208494,us,high
MISO,2025,170,AR,2,12.81,4.884169884169884,us,high
MISO,2025,170,AR,3,10.152999999999999,4.198841698841698,us,high
MISO,2025,170,AR,5,7.777,3.2722007722007724,us,high
MISO,2025,170,AR,6,7.251,3.33011583011583,us,high
MISO,2025,170,AR,7,8.187000000000001,3.5328185328185326,us,high
MISO,2025,170,AR,8,7.334,2.857142857142857,state,high
MISO,2025,170,AR,11,9.202,3.8996138996138994,us,high
MISO,2025,170,AR,12,11.720999999999998,5.096525096525097,us,high
MISO,2025,913,IL,1,28.421,6.940154440154441,state,high
MISO,2025,913,IL,2,17.368,4.237451737451737,state,high
MISO,2025,913,IL,3,14.675,3.581081081081081,state,high
MISO,2025,913,IL,4,12.463,3.0405405405405403,state,high
MISO,2025,913,IL,5,11.434000000000001,2.7895752895752897,state,high
MISO,2025,913,IL,6,11.794,2.8764478764478763,state,high
MISO,2025,913,IL,7,12.429,3.030888030888031,state,high
MISO,2025,913,IL,8,11.231,2.741312741312741,state,high
MISO,2025,913,IL,9,11.684000000000001,2.857142857142857,state,high
MISO,2025,913,IL,10,11.962,2.9247104247104243,state,high
MISO,2025,913,IL,11,14.235,3.474903474903475,state,high
MISO,2025,913,IL,12,16.684,4.073359073359073,state,high
MISO,2025,976,IL,1,5.052112707393046,6.940154440154441,state,in_band
MISO,2025,976,IL,2,5.635167037452426,4.237451737451737,state,in_band
MISO,2025,976,IL,3,3.561303966513853,3.581081081081081,state,in_band
MISO,2025,976,IL,4,3.5907763670198523,3.0405405405405403,state,in_band
MISO,2025,976,IL,5,3.0855080638054115,2.7895752895752897,state,in_band
MISO,2025,976,IL,6,3.099790299608981,2.8764478764478763,state,in_band
MISO,2025,976,IL,7,3.0658804538483047,3.030888030888031,state,in_band
MISO,2025,976,IL,8,2.873033515731874,2.741312741312741,state,in_band
MISO,2025,976,IL,9,2.876652713410076,2.857142857142857,state,in_band
MISO,2025,976,IL,10,2.868582113231495,2.9247104247104243,state,in_band
MISO,2025,976,IL,12,4.63,4.073359073359073,state,in_band
MISO,2025,990,IN,1,5.851,5.086872586872587,state,in_band
MISO,2025,990,IN,2,5.235,4.642857142857142,state,in_band
MISO,2025,990,IN,3,5.246,3.803088803088803,state,in_band
MISO,2025,990,IN,4,3.595,3.2915057915057915,state,in_band
MISO,2025,990,IN,5,3.2969999999999997,3.378378378378378,state,in_band
MISO,2025,990,IN,6,3.8080000000000003,3.3397683397683395,state,in_band
MISO,2025,990,IN,7,3.833,3.542471042471042,state,in_band
MISO,2025,990,IN,8,3.427,3.2335907335907335,state,in_band
MISO,2025,990,IN,9,3.6260000000000003,3.2239382239382235,state,in_band
MISO,2025,990,IN,10,3.646000000000001,3.378378378378378,state,in_band
MISO,2025,990,IN,11,4.437,4.189189189189189,state,in_band
MISO,2025,990,IN,12,4.9430000000000005,4.546332046332046,state,in_band
MISO,2025,991,IN,1,5.324,5.086872586872587,state,in_band
MISO,2025,991,IN,2,5.575,4.642857142857142,state,in_band
MISO,2025,991,IN,3,2.895,3.803088803088803,state,in_band
MISO,2025,991,IN,4,2.62,3.2915057915057915,state,in_band
