kind,hifld_id,a,b,kv,kv2,len_km,x_pu,sub1,sub2,c1,c2,owner,in_spp
line,4,2,3,115.0,115.0,11.194127486689077,0.04102421555477767,UNKNOWN131832,UNKNOWN131833,1217,1181,WAPA-- WESTERN AREA POWER ADMINISTRATION,True
line,5,4,5,115.0,115.0,17.61904074944393,0.06457022456043035,UNKNOWN131858,UNKNOWN206844,1185,1182,WHEAT BELT PUBLIC POWER DIST,True
line,6,6,7,115.0,115.0,11.231885057901932,0.04116258942465748,UNKNOWN119501,TAP140575,2,1183,MIDWEST ENERGY INC,True
line,7,8,9,115.0,115.0,28.04495099504998,0.10277907913878875,UNKNOWN119521,TAP148884,1429,1188,"PIONEER ELECTRIC COOP, INC - (KS)",True
line,8,10,11,115.0,115.0,29.878990398735763,0.10950046300030268,UNKNOWN119532,TAP140578,1234,1219,"PIONEER ELECTRIC COOP, INC - (KS)",True
line,9,12,13,230.0,230.0,48.431189369487804,0.03982159190168905,OGALLALA,GENTLEMAN,5049,1199,NOT AVAILABLE,True
line,10,14,15,115.0,115.0,19.63145921077728,0.07194533162816052,UNKNOWN148602,UNKNOWN148603,1201,1184,NOT AVAILABLE,True
line,11,16,4,115.0,115.0,19.2748126213749,0.07063829393559204,UNKNOWN131828,UNKNOWN131858,1199,1185,WHEAT BELT PUBLIC POWER DIST,True
line,12,6,17,115.0,115.0,24.945362446518608,0.0914197133554997,UNKNOWN119501,TAP140576,2,1186,MIDWEST ENERGY INC,True
line,13,18,19,115.0,115.0,2.4498475277049425,0.008978196216937392,UNKNOWN119520,TAP155832,1202,1187,MIDWEST ENERGY INC,True
line,15,19,9,115.0,115.0,53.2449336755578,0.19513192420787687,UNKNOWN119521,TAP155832,1187,1188,MIDWEST ENERGY INC,True
line,16,20,21,115.0,115.0,11.425873896728177,0.04187351932506214,UNKNOWN131764,UNKNOWN131913,1220,1189,NEBRASKA PUBLIC POWER DISTRICT,True
line,17,22,23,115.0,115.0,3.365413447666124,0.012333560330822894,UNKNOWN157575,TAP162768,1216,1190,NOT AVAILABLE,True
line,18,21,24,115.0,115.0,27.78161080689707,0.1018139905549874,UNKNOWN131764,UNKNOWN205887,1189,1227,NEBRASKA PUBLIC POWER DISTRICT,True
line,22,25,26,230.0,230.0,0.4607324006988732,0.00037882814515546225,UNKNOWN202159,VIRGINIA SMITH CONVERTER STATION,3,1213,WHEAT BELT PUBLIC POWER DIST,True
line,23,27,16,115.0,115.0,15.961954416996093,0.05849733795305056,UNKNOWN131828,UNKNOWN131860,0,1199,WHEAT BELT PUBLIC POWER DIST,True
line,24,27,28,115.0,115.0,38.79641026080638,0.14218100510142215,UNKNOWN131812,UNKNOWN131860,0,1191,WHEAT BELT PUBLIC POWER DIST,True
line,25,29,30,115.0,115.0,18.914275112474414,0.06931699680919218,UNKNOWN131952,UNKNOWN206843,1228,1192,NOT AVAILABLE,True
line,26,31,20,115.0,115.0,51.59224510393999,0.1890751545054067,UNKNOWN131913,UNKNOWN131953,1221,1220,NOT AVAILABLE,True
line,27,31,32,115.0,115.0,48.08127629787157,0.17620816319433552,UNKNOWN131953,UNKNOWN131955,1221,2794,NOT AVAILABLE,True
line,28,22,33,115.0,115.0,7.133665666680532,0.02614344336828505,UNKNOWN131856,TAP162768,1216,1193,NOT AVAILABLE,True
line,29,5,33,115.0,115.0,37.0982094068299,0.13595744207950014,UNKNOWN131856,UNKNOWN206844,1182,1193,NOT AVAILABLE,True
line,30,34,35,115.0,115.0,6.318599844131433,0.02315639180617386,UNKNOWN119598,TAP140629,1196,1194,MIDWEST ENERGY INC,True
line,31,16,20,115.0,115.0,30.681409544855004,0.11244116704845829,UNKNOWN131828,UNKNOWN131913,1199,1220,WHEAT BELT PUBLIC POWER DIST,True
line,32,17,36,115.0,115.0,1.56657073415329,0.005741165227583042,UNKNOWN119502,TAP140576,1186,1195,MIDWEST ENERGY INC,True
line,33,37,34,115.0,115.0,17.610257436659875,0.06453803549367489,UNKNOWN119498,UNKNOWN119598,1197,1196,MIDWEST ENERGY INC,True
line,34,38,39,115.0,115.0,2.313155521314413,0.008477247631042848,ST FRANCIS,TAP140614,1205,1200,MIDWEST ENERGY INC,True
line,35,1,37,115.0,115.0,17.32550844891709,0.06349448798485338,UNKNOWN119498,TAP140613,1208,1197,MIDWEST ENERGY INC,True
line,36,40,41,115.0,115.0,31.709572077567408,0.11620917499883186,UNKNOWN118142,TAP140577,1204,1223,MIDWEST ENERGY INC,True
line,37,42,43,115.0,115.0,6.833599701220249,0.02504376223080177,KINGSLEY,KEYSTONE,1209,1224,WHEAT BELT PUBLIC POWER DIST,True
line,38,44,45,115.0,115.0,8.175087956601976,0.029960045649801852,UNKNOWN173206,UNKNOWN173207,1222,1198,MIDWEST ENERGY INC,True
line,41,46,39,115.0,115.0,20.236314041176126,0.07416200237549092,UNKNOWN119496,TAP140614,1210,1200,MIDWEST ENERGY INC,True
line,42,2,14,115.0,115.0,18.70300532812631,0.06854273573492674,UNKNOWN131832,UNKNOWN148602,1217,1201,WAPA-- WESTERN AREA POWER ADMINISTRATION,True
line,43,40,18,115.0,115.0,9.687330473443835,0.035502108937520344,UNKNOWN119520,TAP140577,1204,1202,MIDWEST ENERGY INC,True
line,44,33,47,115.0,115.0,19.58792787956329,0.0717857980944186,UNKNOWN131811,UNKNOWN131856,1193,1203,NOT AVAILABLE,True
line,45,48,49,115.0,115.0,47.71043674946058,0.17484911117457438,UNKNOWN119503,MINGO,1211,3592,MIDWEST ENERGY INC,True
line,47,16,42,115.0,115.0,8.744389734474472,0.03204642164283312,OGALLALA,KEYSTONE,1199,1209,WHEAT BELT PUBLIC POWER DIST,True
line,48,50,51,115.0,115.0,20.005038452430192,0.07331442407012023,CENTRAL PLAINS WIND FARM,TAP140580,1218,2849,MIDWEST ENERGY INC,True
line,51,7,52,115.0,115.0,8.320726263126584,0.0304937806181594,UNKNOWN119504,TAP140575,1183,1206,MIDWEST ENERGY INC,True
line,52,53,54,345.0,345.0,129.32474132250383,0.039158183446152,KEYSTONE,UNKNOWN202177,1,1209,WHEAT BELT PUBLIC POWER DIST,True
line,53,18,0,115.0,115.0,22.423178727542993,0.08217641961250426,UNKNOWN119520,TAP140579,1202,1207,MIDWEST ENERGY INC,True
line,54,39,1,115.0,115.0,4.404934753624065,0.016143195890192065,TAP140613,TAP140614,1200,1208,MIDWEST ENERGY INC,True
line,55,9,11,115.0,115.0,21.305313117066767,0.07807966800591576,UNKNOWN119521,TAP140578,1188,1219,"PIONEER ELECTRIC COOP, INC - (KS)",True
line,56,55,54,345.0,345.0,48.069277142668014,0.014554875990685435,KEYSTONE,GENTLEMAN,5049,1209,WAPA-- WESTERN AREA POWER ADMINISTRATION,True
line,57,6,46,115.0,115.0,23.794126612052985,0.08720066662017695,UNKNOWN119496,UNKNOWN119501,2,1210,MIDWEST ENERGY INC,True
line,58,36,48,115.0,115.0,23.99596894224212,0.08794037797969147,UNKNOWN119502,UNKNOWN119503,1195,1211,MIDWEST ENERGY INC,True
line,59,17,56,115.0,115.0,11.989667021295588,0.04393970721670961,UNKNOWN119505,TAP140576,1186,1212,MIDWEST ENERGY INC,True
line,60,25,26,230.0,230.0,0.6514161870600603,0.0005356141341348686,UNKNOWN202159,VIRGINIA SMITH CONVERTER STATION,3,1213,WHEAT BELT PUBLIC POWER DIST,True
line,61,16,57,115.0,115.0,19.354185576303685,0.07092917977873527,UNKNOWN131828,UNKNOWN131831,1199,1214,WAPA-- WESTERN AREA POWER ADMINISTRATION,True
line,62,25,13,230.0,230.0,110.35403945114922,0.0907364361878572,OGALLALA,UNKNOWN202159,3,1199,WHEAT BELT PUBLIC POWER DIST,True
line,65,7,58,115.0,115.0,11.305335251615192,0.04143176954459233,UNKNOWN117976,TAP140575,1183,1215,MIDWEST ENERGY INC,True
line,66,59,22,115.0,115.0,40.42187289365924,0.14813799723910193,UNKNOWN162767,TAP162768,4,1216,NOT AVAILABLE,True
line,67,57,2,115.0,115.0,4.750328574716494,0.017408994460436422,UNKNOWN131831,UNKNOWN131832,1214,1217,WAPA-- WESTERN AREA POWER ADMINISTRATION,True
line,68,0,50,115.0,115.0,10.337975793318149,0.03788659257717611,TAP140579,TAP140580,1207,1218,MIDWEST ENERGY INC,True
line,71,16,20,115.0,115.0,34.27683131024992,0.125617661392416,UNKNOWN131913,OGALLALA,1199,1220,NOT AVAILABLE,True
line,72,30,31,115.0,115.0,16.524202550058884,0.060557863762986774,UNKNOWN131952,UNKNOWN131953,1192,1221,NOT AVAILABLE,True
line,73,58,44,115.0,115.0,25.468624001283985,0.09333736123290225,UNKNOWN117976,UNKNOWN173206,1215,1222,MIDWEST ENERGY INC,True
